split,metric,n_bids,n_both_ok,e1_mean,e2_mean,raw_delta_mean_e2_minus_e1,directional_delta_mean_positive_favors_e2,e2_wins,e1_wins,ties,missing
roof_complex_candidate,wall_cov,3,3,0.6261111111111112,0.6281111111111111,0.0020000000000000018,0.0020000000000000018,1,1,1,0
roof_complex_candidate,ground_cov,3,3,0.9143333333333334,0.9351111111111111,0.020777777777777784,0.020777777777777784,1,2,0,0
roof_complex_candidate,support_cov,3,3,0.27655555555555555,0.27144444444444443,-0.005111111111111122,-0.005111111111111122,2,1,0,0
roof_complex_candidate,roof_support_cov,3,3,0.26066666666666666,0.254,-0.0066666666666666445,-0.0066666666666666445,1,2,0,0
roof_complex_candidate,wall_support_cov,3,3,0.504,0.49300000000000005,-0.01100000000000001,-0.01100000000000001,1,2,0,0
roof_complex_candidate,ground_support_cov,3,3,0.08266666666666667,0.066,-0.016666666666666666,-0.016666666666666666,1,2,0,0
roof_complex_candidate,h_err,3,3,1.3325542446903853,1.0060432772111412,-0.32651096747924413,0.32651096747924413,3,0,0,0
roof_complex_candidate,vol_ratio,3,3,0.7446668384092322,0.7335928645843176,-0.011073973824914632,-0.011073973824914632,2,1,0,0
roof_complex_candidate,chamfer,3,3,0.9832726551677009,0.9925116725510099,0.009239017383309086,-0.009239017383309086,1,2,0,0
roof_complex_candidate,hausdorff,3,3,7.28099569884979,7.316574162038381,0.03557846318859189,-0.03557846318859189,0,3,0,0
roof_complex_candidate,open_edges,3,3,0.0,0.0,0.0,0.0,0,0,3,0
roof_complex_candidate,non_manifold_edges,3,3,0.0,0.0,0.0,0.0,0,0,3,0
ground_sensitive,ok,3,3,1.0,1.0,0.0,0.0,0,0,3,0
ground_sensitive,F,3,3,0.9603255835497935,0.8979272934170589,-0.0623982901327346,-0.0623982901327346,1,2,0,0
ground_sensitive,precision,3,3,0.9625,0.9225,-0.040000000000000036,-0.040000000000000036,1,2,0,0
ground_sensitive,recall,3,3,0.9581666666666667,0.8762222222222222,-0.08194444444444444,-0.08194444444444444,1,2,0,0
ground_sensitive,roof_cov,3,3,0.739,0.6925555555555555,-0.046444444444444434,-0.046444444444444434,1,1,1,0
ground_sensitive,wall_cov,3,3,0.959111111111111,0.932,-0.027111111111111086,-0.027111111111111086,1,2,0,0
ground_sensitive,ground_cov,3,3,1.0,0.6666666666666666,-0.3333333333333333,-0.3333333333333333,0,1,2,0
ground_sensitive,support_cov,3,3,0.5657777777777778,0.5315555555555554,-0.034222222222222244,-0.034222222222222244,0,3,0,0
ground_sensitive,roof_support_cov,3,3,0.9443333333333334,0.8946666666666667,-0.04966666666666667,-0.04966666666666667,1,1,1,0
ground_sensitive,wall_support_cov,3,3,0.496,0.5106666666666667,0.014666666666666625,0.014666666666666625,2,1,0,0
ground_sensitive,ground_support_cov,3,3,0.22133333333333338,0.14933333333333335,-0.07200000000000002,-0.07200000000000002,1,2,0,0
ground_sensitive,h_err,3,3,1.331235211668187,1.424398077649026,0.093162865980839,-0.093162865980839,1,2,0,0
ground_sensitive,vol_ratio,3,3,0.8509414820095306,0.8008997716859563,-0.05004171032357426,-0.04656029908710183,1,2,0,0
ground_sensitive,chamfer,3,3,0.20179724881542702,0.22955721822690767,0.02775996941148065,-0.02775996941148065,1,2,0,0
ground_sensitive,hausdorff,3,3,1.848500644110261,1.9878895086154535,0.1393888645051927,-0.1393888645051927,0,3,0,0
ground_sensitive,open_edges,3,3,0.0,0.0,0.0,0.0,0,0,3,0
ground_sensitive,non_manifold_edges,3,3,0.0,0.0,0.0,0.0,0,0,3,0
success_reference,ok,5,5,1.0,1.0,0.0,0.0,0,0,5,0
success_reference,F,5,5,0.9632814847993696,0.9472158840828087,-0.016065600716560956,-0.016065600716560956,2,3,0,0
success_reference,precision,5,5,0.9606666666666668,0.9444333333333332,-0.016233333333333388,-0.016233333333333388,2,3,0,0
success_reference,recall,5,5,0.9660333333333334,0.9501333333333333,-0.015900000000000004,-0.015900000000000004,2,3,0,0
success_reference,roof_cov,5,5,0.7814000000000001,0.7696666666666666,-0.011733333333333328,-0.011733333333333328,3,1,1,0
success_reference,wall_cov,5,5,0.9626000000000001,0.9624666666666666,-0.00013333333333331865,-0.00013333333333331865,3,2,0,0
success_reference,ground_cov,5,5,1.0,0.9212,-0.07880000000000001,-0.07880000000000001,0,1,4,0
success_reference,support_cov,5,5,0.49379999999999996,0.489,-0.004800000000000038,-0.004800000000000038,2,3,0,0
success_reference,roof_support_cov,5,5,0.9193999999999999,0.9084,-0.01100000000000001,-0.01100000000000001,2,1,2,0
success_reference,wall_support_cov,5,5,0.4428000000000001,0.449,0.006199999999999995,0.006199999999999995,2,3,0,0
success_reference,ground_support_cov,5,5,0.11399999999999999,0.1008,-0.013199999999999993,-0.013199999999999993,1,4,0,0
success_reference,h_err,5,5,0.9997744719649354,1.0240939688296007,0.02431949686466517,-0.02431949686466517,2,3,0,0
success_reference,vol_ratio,5,5,1.2906698577032916,1.2855749676591546,-0.005094890044136902,-0.0006543487388551928,3,2,0,0
success_reference,chamfer,5,5,0.22070091138831285,0.22290562610037937,0.0022047147120665134,-0.0022047147120665134,2,3,0,0
success_reference,hausdorff,5,5,1.7442538757984025,1.7490725066279744,0.004818630829571946,-0.004818630829571946,2,3,0,0
success_reference,open_edges,5,5,0.0,0.0,0.0,0.0,0,0,5,0
success_reference,non_manifold_edges,5,5,0.0,0.0,0.0,0.0,0,0,5,0
