building_id,angle_bin,view_nadir_deg,tan_nadir,frame_r,view,n_als_inframe,align_dx_px,align_dy_px,align_sigma_px,align_conf_z,align_n_boundary,offset_m_at_zeta0,resid_u_px_zonly,resid_v_px_zonly,resid_px_zonly,resid_signed_z_m_zonly,sens_z_u_px_per_m,sens_z_v_px_per_m,sens_E_u_px_per_m,sens_E_v_px_per_m,sens_N_u_px_per_m,sens_N_v_px_per_m
DEBY_LOD2_4906972,near,8.58,0.150874,0.744,DJI_20241217084401_0044_D.JPG,12270,272.0,-100.0,158.497,5.002,180,4.5131,272.968,-99.237,290.447,-15.5821,-7.713684211451891,-6.076772483113018,53.706543726598284,-35.302545303543184,-34.9731707958631,-53.530038317706385
DEBY_LOD2_4906972,mid,32.523,0.637629,1.293,DJI_20241217084617_0112_D.JPG,10702,64.0,-32.0,161.491,4.598,160,1.2906,68.108,-33.89,76.074,-2.1108,-32.72655159945111,15.053889798102318,-45.95843137269844,31.28284274902353,32.980634673750956,52.058268151212815
DEBY_LOD2_4906972,strong,63.099,1.971049,0.781,DJI_20241217103439_0029_D.JPG,12270,-20.0,120.0,144.92,4.539,180,4.4649,-20.399,126.733,128.364,-2.3772,3.174705587756762,-53.632098852566514,-44.274717200577925,-19.879887465145202,-40.26817028845062,18.5750144460535
DEBY_LOD2_4907520,near,7.642,0.134168,0.593,DJI_20241217084342_0035_D.JPG,5613,-24.0,20.0,159.14,6.209,180,0.4982,-23.998,21.071,31.936,-2.4645,-0.013492990852682851,-8.53464642681024,29.667187401579667,55.14921877592974,55.34992280948336,-29.557247757674077
DEBY_LOD2_4907520,mid,32.138,0.628234,1.204,DJI_20241217084403_0045_D.JPG,5613,240.0,60.0,169.609,6.208,176,4.4891,236.377,57.58,243.289,6.5855,28.859366055814462,19.275034396860065,48.25999846335708,-34.441062383561984,-28.93589666845037,-47.4914506565774
DEBY_LOD2_4907520,strong,52.687,1.31207,1.052,DJI_20241217101801_0018_D.JPG,5294,136.0,260.0,158.534,3.841,180,4.1792,141.179,270.365,305.006,-3.3039,-41.255976035126196,-82.56908434812931,-109.62356964931132,26.19269733997271,0.17682168009559973,73.2136822070363
DEBY_LOD2_4959327,near,14.144,0.252003,0.816,DJI_20241217091011_0068_D.JPG,7975,188.0,24.0,150.356,5.716,180,3.0932,189.93,24.407,191.491,-12.1512,-15.370756918022607,-3.240750202352501,-57.16389230443178,22.73013001402137,22.122416592039826,57.89134769412112
DEBY_LOD2_4959327,mid,31.056,0.602184,1.274,DJI_20241217091149_0117_D.JPG,7960,72.0,36.0,149.474,5.355,171,1.4641,75.388,38.498,84.649,-2.4908,-26.98838882088694,-19.900944073502842,53.74677143841586,-23.91208153888033,-18.689974962707083,-52.903385835714744
DEBY_LOD2_4959327,strong,57.088,1.545084,1.415,DJI_20241217091237_0141_D.JPG,5799,-284.0,72.0,175.695,4.595,168,7.8247,-266.571,85.665,279.998,0.8895,-138.83776482484063,-108.85681556432701,22.906873769559752,51.541685973210406,-84.0339414202499,-47.34544279906231
DEBY_LOD2_4906985,near,15.236,0.272376,0.792,DJI_20241217090935_0050_D.JPG,11106,-132.0,152.0,148.839,5.577,180,2.9435,-129.646,151.875,199.685,7.3208,-18.75545718475678,0.9935735215524346,62.869961356666636,-25.776191757813194,-25.30359472868895,-63.77213969719196
DEBY_LOD2_4906985,mid,31.151,0.604455,1.309,DJI_20241217090813_0009_D.JPG,8444,-260.0,-16.0,151.86,6.737,140,4.2505,-255.911,-13.77,256.281,6.2329,-32.571767808406776,-17.76666709990161,-58.19160900210136,26.088519598054063,20.519401888344646,59.56747882043885
DEBY_LOD2_4906985,strong,59.542,1.700487,1.415,DJI_20241217084519_0083_D.JPG,7446,-268.0,284.0,147.599,2.578,172,18.6916,-237.759,314.012,393.869,-0.1545,-240.89415810641367,-239.07204495774886,5.046286606112972,34.05227971831437,-136.02208599543792,-130.2494409959986
DEBY_LOD2_4959460,near,7.259,0.127383,1.388,DJI_20241217091043_0084_D.JPG,51355,284.0,-248.0,173.159,2.989,95,6.009,283.594,-247.066,376.121,41.848,3.2374991740080077,-7.443305825883954,-58.322629075666555,23.35938813772418,23.57757032581685,58.203650645974676
DEBY_LOD2_4959460,mid,31.995,0.624753,1.371,DJI_20241217091037_0081_D.JPG,57580,100.0,52.0,185.385,4.054,142,1.9134,99.889,56.325,114.675,-1.5598,0.8807926986519306,-34.45096909569111,-55.68122643712513,20.37850423181453,22.652896997805783,50.67564212798197
DEBY_LOD2_4959460,strong,77.657,4.569802,1.254,DJI_20241217095907_0038_D.JPG,97264,-156.0,-48.0,134.807,7.776,166,9.2112,-155.787,-44.033,161.891,1.6531,-1.693837333846659,-31.59843418115952,-5.017408945919669,-6.603777558299726,-30.878593095280394,2.109611404534462
DEBY_LOD2_4907184,near,15.776,0.282517,1.424,DJI_20241217095607_0066_D.JPG,3336,-180.0,-132.0,161.272,4.501,149,1.3723,-178.028,-126.116,218.173,3.5637,-15.708641926458768,-46.86770242701459,-50.42661199054328,-157.81497848692197,-159.5474640477173,61.60673921900798
DEBY_LOD2_4907184,mid,32.026,0.625506,1.268,DJI_20241217084845_0186_D.JPG,9086,-36.0,200.0,170.144,4.384,158,3.4757,-39.187,203.19,206.934,-4.7728,25.38758799651532,-25.41010442941183,-48.01688641835153,30.90449132427989,35.680665828083875,51.06116535399474
DEBY_LOD2_4907184,strong,57.425,1.565148,1.33,DJI_20241217084711_0139_D.JPG,7538,-296.0,-300.0,163.837,4.344,176,6.709,-312.29,-306.604,437.642,-2.8896,129.76386215981483,52.60321384000167,-31.190776508975887,-43.778620826157066,71.48584054385947,9.135811193710424
DEBY_LOD2_4906966,near,7.969,0.139981,1.339,DJI_20241217084853_0190_D.JPG,27052,4.0,-24.0,139.253,5.653,154,0.3543,3.992,-22.772,23.119,2.33,0.06153930835262145,-9.783793745174535,-57.455267726143575,37.98329896250061,38.15632633566656,57.1991454223205
DEBY_LOD2_4906966,mid,31.141,0.604215,1.387,DJI_20241217103053_0003_D.JPG,24431,-108.0,88.0,162.163,4.987,136,1.4972,-114.581,90.934,146.28,-2.4685,52.41978311361254,-23.37257808483082,-58.15978293812259,-94.31824975789459,-81.08202734472707,46.01190241606491
DEBY_LOD2_4906966,strong,78.539,4.932229,0.861,DJI_20241217103553_0066_D.JPG,38724,188.0,96.0,172.005,7.179,180,16.0232,187.904,99.863,212.792,-3.0914,0.7660246357800133,-30.770856001677203,8.54437087478982,6.163346231276591,29.686082799886663,-1.239040476827995
DEBY_LOD2_4906982,near,7.087,0.124318,1.093,DJI_20241217090829_0017_D.JPG,16114,-196.0,-232.0,173.314,3.836,180,4.2687,-195.317,-231.098,302.581,33.533,-5.441040188138686,-7.1822456912377675,-66.21743831679396,26.6330168291845,26.409826430043722,66.09715683719969
DEBY_LOD2_4906982,mid,28.694,0.547337,1.154,DJI_20241217084755_0161_D.JPG,15675,-12.0,140.0,165.03,4.281,171,2.0301,-7.526,140.565,140.766,-0.2824,-35.636332047075484,-4.499797078925894,54.43350644185966,-38.81663463162613,-34.95280002101322,-57.18090146001282
DEBY_LOD2_4906982,strong,60.85,1.79297,1.416,DJI_20241217091053_0089_D.JPG,10517,-104.0,-280.0,169.299,4.709,161,458.0846,-31.844,-241.705,243.793,0.2174,-574.786885943603,-305.05766072323445,180.12170405602592,97.71202398640708,-235.62787169109424,-127.01840912304942
