bid,source,metric,stage3_v0_metric_v0_status,stage3_v0_metric_v1_status,stage3_v1_metric_v1_status,stage3_v0_metric_v0,stage3_v0_metric_v1,stage3_v1_metric_v1,effect_value,interpretation
B0,E2_Mutual_rendered,precision,OK,OK,OK,0.9526666666666667,0.9518333333333333,0.9518333333333333,0.0,NO_NUMERIC_CHANGE
B0,E2_Mutual_rendered,recall,OK,OK,OK,0.9681666666666666,0.9665,0.9665,0.0,NO_NUMERIC_CHANGE
B0,E2_Mutual_rendered,h_err,OK,OK,OK,0.5267500991966507,0.5267500991966507,0.5267500991966507,0.0,NO_NUMERIC_CHANGE
B0,E2_Mutual_rendered,vol_ratio,OK,OK,OK,1.1011846202996374,1.101200743096035,1.101200743096035,0.0,NO_NUMERIC_CHANGE
B0,E2_Mutual_rendered,hausdorff,OK,OK,OK,1.8606110348057399,1.9228446365893324,1.9228446365893324,0.0,NO_NUMERIC_CHANGE
B0,E2_Mutual_rendered,chamfer,OK,OK,OK,0.2284012653310558,0.22915601091957324,0.22915601091957324,0.0,NO_NUMERIC_CHANGE
B0,E2_Mutual_rendered,footprint_IoU,OK,OK,OK,1.0,1.0,1.0,0.0,NO_NUMERIC_CHANGE
B0,E2_Mutual_rendered,edge_ok,OK,OK,OK,1,1,1,0,NO_NUMERIC_CHANGE
B0,E2_Mutual_rendered,open_edges,OK,OK,OK,0.0,0.0,0.0,0.0,NO_NUMERIC_CHANGE
B0,E2_Mutual_rendered,nonmanifold_edges,OK,OK,OK,0.0,0.0,0.0,0.0,NO_NUMERIC_CHANGE
B0,E2_Mutual_rendered,n_faces,OK,OK,OK,23.0,23.0,23.0,0.0,NO_NUMERIC_CHANGE
B0,E3_Baseline_primitive,roof_cov,OK,OK,OK,0.23333333333333334,0.253,0.253,0.0,NO_NUMERIC_CHANGE
B0,E3_Baseline_primitive,wall_cov,OK,OK,OK,0.9476666666666667,0.939,0.939,0.0,NO_NUMERIC_CHANGE
B0,E3_Baseline_primitive,ground_cov,OK,OK,OK,0.9983333333333333,0.9983333333333333,0.9983333333333333,0.0,NO_NUMERIC_CHANGE
B0,E3_Baseline_primitive,semantic_face_acc,OK,OK,OK,0.9123333333333333,0.9281666666666667,0.9281666666666667,0.0,NO_NUMERIC_CHANGE
B0,E3_Baseline_primitive,support_coverage,OK,OK,OK,0.5973333333333334,0.6070000000000001,0.6070000000000001,0.0,NO_NUMERIC_CHANGE
B0,E3_Baseline_primitive,F,OK,OK,OK,0.8660439592150827,0.8627888180764773,0.8627888180764773,0.0,NO_NUMERIC_CHANGE
B0,E3_Baseline_primitive,precision,OK,OK,OK,0.8821666666666667,0.8765,0.8765,0.0,NO_NUMERIC_CHANGE
B0,E3_Baseline_primitive,recall,OK,OK,OK,0.8505,0.8495,0.8495,0.0,NO_NUMERIC_CHANGE
B0,E3_Baseline_primitive,h_err,OK,OK,OK,0.39044701820446903,0.39044701820446903,0.39044701820446903,0.0,NO_NUMERIC_CHANGE
B0,E3_Baseline_primitive,vol_ratio,OK,OK,OK,1.4066989261640739,1.4067047676300397,1.4067047676300397,0.0,NO_NUMERIC_CHANGE
B0,E3_Baseline_primitive,hausdorff,OK,OK,OK,2.4325912935316545,2.455260307058837,2.455260307058837,0.0,NO_NUMERIC_CHANGE
B0,E3_Baseline_primitive,chamfer,OK,OK,OK,0.3181200542085568,0.3219017414994742,0.3219017414994742,0.0,NO_NUMERIC_CHANGE
B0,E3_Baseline_primitive,footprint_IoU,OK,OK,OK,1.0,1.0,1.0,0.0,NO_NUMERIC_CHANGE
B0,E3_Baseline_primitive,edge_ok,OK,OK,OK,1,1,1,0,NO_NUMERIC_CHANGE
B0,E3_Baseline_primitive,open_edges,OK,OK,OK,0.0,0.0,0.0,0.0,NO_NUMERIC_CHANGE
B0,E3_Baseline_primitive,nonmanifold_edges,OK,OK,OK,0.0,0.0,0.0,0.0,NO_NUMERIC_CHANGE
B0,E3_Baseline_primitive,n_faces,OK,OK,OK,23.0,23.0,23.0,0.0,NO_NUMERIC_CHANGE
B0,E4_Mutual_primitive,roof_cov,OK,OK,OK,0.4593333333333333,0.451,0.451,0.0,NO_NUMERIC_CHANGE
B0,E4_Mutual_primitive,wall_cov,OK,OK,OK,0.9603333333333334,0.9613333333333334,0.9613333333333334,0.0,NO_NUMERIC_CHANGE
B0,E4_Mutual_primitive,ground_cov,OK,OK,OK,0.0,0.0,0.0,0.0,NO_NUMERIC_CHANGE
B0,E4_Mutual_primitive,semantic_face_acc,OK,OK,OK,0.901,0.9193333333333333,0.9193333333333333,0.0,NO_NUMERIC_CHANGE
B0,E4_Mutual_primitive,support_coverage,OK,OK,OK,0.6193333333333334,0.6310000000000001,0.6310000000000001,0.0,NO_NUMERIC_CHANGE
B0,E4_Mutual_primitive,F,OK,OK,OK,0.8272475739565494,0.8232280595201943,0.8232280595201943,0.0,NO_NUMERIC_CHANGE
B0,E4_Mutual_primitive,precision,OK,OK,OK,0.8258333333333333,0.819,0.819,0.0,NO_NUMERIC_CHANGE
B0,E4_Mutual_primitive,recall,OK,OK,OK,0.8286666666666667,0.8275,0.8275,0.0,NO_NUMERIC_CHANGE
B0,E4_Mutual_primitive,h_err,OK,OK,OK,0.5865344131450563,0.5865344131450563,0.5865344131450563,0.0,NO_NUMERIC_CHANGE
B0,E4_Mutual_primitive,vol_ratio,OK,OK,OK,2.0156338278746992,2.015670044950422,2.015670044950422,0.0,NO_NUMERIC_CHANGE
B0,E4_Mutual_primitive,hausdorff,OK,OK,OK,2.5932222128453972,2.6070458563571486,2.6070458563571486,0.0,NO_NUMERIC_CHANGE
B0,E4_Mutual_primitive,chamfer,OK,OK,OK,0.3084621499067238,0.3123844861810817,0.3123844861810817,0.0,NO_NUMERIC_CHANGE
B0,E4_Mutual_primitive,footprint_IoU,OK,OK,OK,1.0,1.0,1.0,0.0,NO_NUMERIC_CHANGE
B0,E4_Mutual_primitive,edge_ok,OK,OK,OK,1,1,1,0,NO_NUMERIC_CHANGE
B0,E4_Mutual_primitive,open_edges,OK,OK,OK,0.0,0.0,0.0,0.0,NO_NUMERIC_CHANGE
B0,E4_Mutual_primitive,nonmanifold_edges,OK,OK,OK,0.0,0.0,0.0,0.0,NO_NUMERIC_CHANGE
B0,E4_Mutual_primitive,n_faces,OK,OK,OK,23.0,23.0,23.0,0.0,NO_NUMERIC_CHANGE
B1,E0_GT_clean_upper_bound,roof_cov,OK,OK,OK,1.0,1.0,1.0,0.0,NO_NUMERIC_CHANGE
B1,E0_GT_clean_upper_bound,wall_cov,OK,OK,OK,0.9423333333333334,0.949,0.949,0.0,NO_NUMERIC_CHANGE
B1,E0_GT_clean_upper_bound,ground_cov,OK,OK,OK,1.0,1.0,1.0,0.0,NO_NUMERIC_CHANGE
B1,E0_GT_clean_upper_bound,semantic_face_acc,OK,OK,OK,0.9713333333333334,0.9846666666666667,0.9846666666666667,0.0,NO_NUMERIC_CHANGE
B1,E0_GT_clean_upper_bound,support_coverage,OK,OK,OK,0.8650000000000001,0.8689999999999999,0.8689999999999999,0.0,NO_NUMERIC_CHANGE
B1,E0_GT_clean_upper_bound,F,OK,OK,OK,0.9884995503849829,0.9899164912871453,0.9899164912871453,0.0,NO_NUMERIC_CHANGE
B1,E0_GT_clean_upper_bound,precision,OK,OK,OK,0.9878333333333333,0.9895,0.9895,0.0,NO_NUMERIC_CHANGE
B1,E0_GT_clean_upper_bound,recall,OK,OK,OK,0.9891666666666666,0.9903333333333333,0.9903333333333333,0.0,NO_NUMERIC_CHANGE
B1,E0_GT_clean_upper_bound,h_err,OK,OK,OK,0.0,0.0,0.0,0.0,NO_NUMERIC_CHANGE
B1,E0_GT_clean_upper_bound,vol_ratio,OK,OK,OK,1.0000097547675866,1.0000097547675852,1.0000097547675852,0.0,NO_NUMERIC_CHANGE
B1,E0_GT_clean_upper_bound,hausdorff,OK,OK,OK,0.716354706962,0.6848885227301452,0.6848885227301452,0.0,NO_NUMERIC_CHANGE
B1,E0_GT_clean_upper_bound,chamfer,OK,OK,OK,0.20820992713058006,0.21001457921437408,0.21001457921437408,0.0,NO_NUMERIC_CHANGE
B1,E0_GT_clean_upper_bound,footprint_IoU,OK,OK,OK,1.0,1.0,1.0,0.0,NO_NUMERIC_CHANGE
B1,E0_GT_clean_upper_bound,edge_ok,OK,OK,OK,1,1,1,0,NO_NUMERIC_CHANGE
B1,E0_GT_clean_upper_bound,open_edges,OK,OK,OK,0.0,0.0,0.0,0.0,NO_NUMERIC_CHANGE
B1,E0_GT_clean_upper_bound,nonmanifold_edges,OK,OK,OK,0.0,0.0,0.0,0.0,NO_NUMERIC_CHANGE
B1,E0_GT_clean_upper_bound,n_faces,OK,OK,OK,11.0,11.0,11.0,0.0,NO_NUMERIC_CHANGE
B1,E1_Baseline_rendered,roof_cov,SOURCE_MISSING,SOURCE_MISSING,SOURCE_MISSING,,,,,NA
B1,E1_Baseline_rendered,wall_cov,SOURCE_MISSING,SOURCE_MISSING,SOURCE_MISSING,,,,,NA
B1,E1_Baseline_rendered,ground_cov,SOURCE_MISSING,SOURCE_MISSING,SOURCE_MISSING,,,,,NA
B1,E1_Baseline_rendered,semantic_face_acc,SOURCE_MISSING,SOURCE_MISSING,SOURCE_MISSING,,,,,NA
B1,E1_Baseline_rendered,support_coverage,SOURCE_MISSING,SOURCE_MISSING,SOURCE_MISSING,,,,,NA
B1,E1_Baseline_rendered,F,SOURCE_MISSING,SOURCE_MISSING,SOURCE_MISSING,,,,,NA
B1,E1_Baseline_rendered,precision,SOURCE_MISSING,SOURCE_MISSING,SOURCE_MISSING,,,,,NA
B1,E1_Baseline_rendered,recall,SOURCE_MISSING,SOURCE_MISSING,SOURCE_MISSING,,,,,NA
B1,E1_Baseline_rendered,h_err,SOURCE_MISSING,SOURCE_MISSING,SOURCE_MISSING,,,,,NA
B1,E1_Baseline_rendered,vol_ratio,SOURCE_MISSING,SOURCE_MISSING,SOURCE_MISSING,,,,,NA
B1,E1_Baseline_rendered,hausdorff,SOURCE_MISSING,SOURCE_MISSING,SOURCE_MISSING,,,,,NA
B1,E1_Baseline_rendered,chamfer,SOURCE_MISSING,SOURCE_MISSING,SOURCE_MISSING,,,,,NA
B1,E1_Baseline_rendered,footprint_IoU,SOURCE_MISSING,SOURCE_MISSING,SOURCE_MISSING,,,,,NA
B1,E1_Baseline_rendered,edge_ok,SOURCE_MISSING,SOURCE_MISSING,SOURCE_MISSING,,,,,NA
B1,E1_Baseline_rendered,open_edges,SOURCE_MISSING,SOURCE_MISSING,SOURCE_MISSING,,,,,NA
B1,E1_Baseline_rendered,nonmanifold_edges,SOURCE_MISSING,SOURCE_MISSING,SOURCE_MISSING,,,,,NA
B1,E1_Baseline_rendered,n_faces,SOURCE_MISSING,SOURCE_MISSING,SOURCE_MISSING,0.0,,,,NA
B1,E2_Mutual_rendered,roof_cov,OK,OK,OK,0.8013333333333333,0.7803333333333333,0.7803333333333333,0.0,NO_NUMERIC_CHANGE
B1,E2_Mutual_rendered,wall_cov,OK,OK,OK,0.917,0.9293333333333333,0.9293333333333333,0.0,NO_NUMERIC_CHANGE
B1,E2_Mutual_rendered,ground_cov,OK,OK,OK,0.9653333333333334,0.963,0.963,0.0,NO_NUMERIC_CHANGE
B1,E2_Mutual_rendered,semantic_face_acc,OK,OK,OK,0.9625,0.9568333333333333,0.9568333333333333,0.0,NO_NUMERIC_CHANGE
B1,E2_Mutual_rendered,support_coverage,OK,OK,OK,0.492,0.48933333333333334,0.48933333333333334,0.0,NO_NUMERIC_CHANGE
B1,E2_Mutual_rendered,F,OK,OK,OK,0.9152138759901667,0.9140608933454877,0.9140608933454877,0.0,NO_NUMERIC_CHANGE
B1,E2_Mutual_rendered,precision,OK,OK,OK,0.921,0.924,0.924,0.0,NO_NUMERIC_CHANGE
B1,E2_Mutual_rendered,recall,OK,OK,OK,0.9095,0.9043333333333333,0.9043333333333333,0.0,NO_NUMERIC_CHANGE
B1,E2_Mutual_rendered,h_err,OK,OK,OK,0.32589166941419023,0.32589166941419023,0.32589166941419023,0.0,NO_NUMERIC_CHANGE
B1,E2_Mutual_rendered,vol_ratio,OK,OK,OK,0.8318257428614786,0.8318275308772364,0.8318275308772364,0.0,NO_NUMERIC_CHANGE
B1,E2_Mutual_rendered,hausdorff,OK,OK,OK,1.522083312615867,1.3294199845074028,1.3294199845074028,0.0,NO_NUMERIC_CHANGE
B1,E2_Mutual_rendered,chamfer,OK,OK,OK,0.26601823424212845,0.26164930122034225,0.26164930122034225,0.0,NO_NUMERIC_CHANGE
B1,E2_Mutual_rendered,footprint_IoU,OK,OK,OK,1.0,1.0,1.0,0.0,NO_NUMERIC_CHANGE
B1,E2_Mutual_rendered,edge_ok,OK,OK,OK,1,1,1,0,NO_NUMERIC_CHANGE
B1,E2_Mutual_rendered,open_edges,OK,OK,OK,0.0,0.0,0.0,0.0,NO_NUMERIC_CHANGE
B1,E2_Mutual_rendered,nonmanifold_edges,OK,OK,OK,0.0,0.0,0.0,0.0,NO_NUMERIC_CHANGE
B1,E2_Mutual_rendered,n_faces,OK,OK,OK,11.0,11.0,11.0,0.0,NO_NUMERIC_CHANGE
B1,E3_Baseline_primitive,roof_cov,OK,OK,OK,0.298,0.312,0.312,0.0,NO_NUMERIC_CHANGE
B1,E3_Baseline_primitive,wall_cov,OK,OK,OK,0.8933333333333333,0.884,0.884,0.0,NO_NUMERIC_CHANGE
B1,E3_Baseline_primitive,ground_cov,OK,OK,OK,0.0,0.0,0.0,0.0,NO_NUMERIC_CHANGE
