building_id,roofType,roofType_name,class4,ref_facets,als_facets,dim_facets,dim_minus_als,dim_minus_ref,als_minus_ref,dim_over_ref,als_nmad_m,dim_nmad_m,als_chamfer_m,dim_chamfer_m,gs_dense_facets_mobharness,gs_acmp_facets_mobharness
DEBY_LOD2_4908166,1000,Flachdach,flat,1,1,,,,0,,,,,,0,0
DEBY_LOD2_4908176,1000,Flachdach,flat,1,1,,,,0,,,,,,0,0
DEBY_LOD2_4908352,1000,Flachdach,flat,1,1,1,0,0,0,1.0,0.013,0.039,0.098,0.098,,
DEBY_LOD2_4908353,3100,Satteldach,sloped,2,3,4,1,2,1,2.0,0.109,0.036,0.001,0.152,,
DEBY_LOD2_4908354,1000,Flachdach,flat,1,2,3,1,2,1,3.0,,,,,,
DEBY_LOD2_4959322,3100,Satteldach,sloped,2,2,2,0,0,0,1.0,0.141,0.165,0.001,0.001,,
DEBY_LOD2_4959323,3100,Satteldach,sloped,6,9,8,-1,2,3,1.33,0.03,0.032,0.077,0.112,,
DEBY_LOD2_4959324,1000,Flachdach,flat,1,2,3,1,2,1,3.0,0.011,0.498,0.101,0.001,,
DEBY_LOD2_4959325,1000,Flachdach,flat,11,12,21,9,10,1,1.91,0.508,0.052,0.172,0.372,,
DEBY_LOD2_4959326,3100,Satteldach,sloped,19,40,52,12,33,21,2.74,,,,,,
DEBY_LOD2_4959327,3100,Satteldach,sloped,6,8,8,0,2,2,1.33,0.271,0.274,0.036,0.016,,
DEBY_LOD2_4959336,1000,Flachdach,flat,6,9,9,0,3,3,1.5,0.089,0.064,0.243,0.194,,
DEBY_LOD2_4959340,3200,Walmdach,sloped,3,3,3,0,0,0,1.0,0.026,0.048,0.18,0.101,,
DEBY_LOD2_4959457,1000,Flachdach,flat,2,2,2,0,0,0,1.0,0.004,0.009,0.079,0.775,,
DEBY_LOD2_4959458,3100,Satteldach,sloped,2,3,3,0,1,1,1.5,0.012,0.027,0.139,0.139,,
DEBY_LOD2_4959459,3100,Satteldach,sloped,2,3,9,6,7,1,4.5,,,0.051,0.219,,
DEBY_LOD2_4959460,9999,Sonstiges,other,3,14,10,-4,7,11,3.33,0.032,0.009,0.111,7.448,,
DEBY_LOD2_4959461,1000,Flachdach,flat,7,4,18,14,11,-3,2.57,0.009,0.098,1.066,1.003,,
DEBY_LOD2_4959463,1000,Flachdach,flat,1,3,2,-1,1,2,2.0,0.026,0.006,0.242,0.001,,
DEBY_LOD2_4959464,1000,Flachdach,flat,1,1,3,2,2,0,3.0,0.009,0.008,0.213,0.07,,
DEBY_LOD2_4959753,1000,Flachdach,flat,1,2,6,4,5,1,6.0,,,,,,
DEBY_LOD2_4959793,3200,Walmdach,sloped,4,4,4,0,0,0,1.0,0.029,0.014,0.229,0.173,,
DEBY_LOD2_60042,1000,Flachdach,flat,20,23,44,21,24,3,2.2,,,,,,
DEBY_LOD2_8573849,3100,Satteldach,sloped,8,15,17,2,9,7,2.12,0.162,0.104,0.018,0.13,,
