bid,kind,roofType,ref_z_ortho,GS_roofz_ellip,ALS_roofz_ellip,GS_minus_ALS_z_m,geoid_m(ALS-ref),GS_localslope_deg,ALS_localslope_deg,GS_planeRMS,ALS_planeRMS,GS_rms_to_ref,ALS_rms_to_ref,GS_facets,ALS_facets,ref_facets,GS_valid,ALS_valid,DIM_class6_pts
42364609,flat,1000,517.36,562.27,565.35,-3.08,47.99,0.0,57.4,0.0,0.355,0.12,0.432,1,1,1,False,True,48
4908050,flat,1000,516.92,562.62,564.88,-2.25,47.96,0.1,2.6,0.046,0.015,0.131,0.071,1,1,1,True,True,108
4908166,flat,1000,516.91,562.23,564.99,-2.76,48.08,0.0,2.4,0.009,0.065,0.032,0.112,1,1,1,False,True,13
4907182,shed(2100),2100,520.33,565.83,568.17,-2.34,47.84,0.0,28.0,0.013,1.013,0.141,1.73,1,2,2,False,True,502
