predictor,target,n,spearman_r,p_value,predictor_note,target_note
sharp_low_texture_pixel_ratio,dim_plane_f1,70,0.0920,0.4452,higher means more roof pixels below the T9 low-gradient threshold,DIM plane F1
sharp_low_texture_pixel_ratio,delta_plane_f1_als_minus_dim,70,-0.0196,0.8731,higher means more roof pixels below the T9 low-gradient threshold,ALS-DIM plane F1 gap
sharp_low_texture_pixel_ratio,dim_internal_boundary_hausdorff_m,35,-0.0420,0.8093,higher means more roof pixels below the T9 low-gradient threshold,DIM internal Hausdorff
sharp_gradient_p10,dim_plane_f1,70,-0.0966,0.4311,higher means stronger worst-decile near-nadir roof texture,DIM plane F1
sharp_gradient_p10,delta_plane_f1_als_minus_dim,70,0.0184,0.8762,higher means stronger worst-decile near-nadir roof texture,ALS-DIM plane F1 gap
sharp_gradient_p10,dim_internal_boundary_hausdorff_m,35,0.0794,0.6453,higher means stronger worst-decile near-nadir roof texture,DIM internal Hausdorff
sharp_gradient_median,dim_plane_f1,70,-0.0786,0.5101,higher means stronger median near-nadir roof texture,DIM plane F1
sharp_gradient_median,delta_plane_f1_als_minus_dim,70,0.0204,0.8639,higher means stronger median near-nadir roof texture,ALS-DIM plane F1 gap
sharp_gradient_median,dim_internal_boundary_hausdorff_m,35,0.0742,0.6731,higher means stronger median near-nadir roof texture,DIM internal Hausdorff
sharp_gradient_mean,dim_plane_f1,70,-0.1217,0.3087,higher means stronger mean near-nadir roof texture,DIM plane F1
sharp_gradient_mean,delta_plane_f1_als_minus_dim,70,-0.0180,0.8850,higher means stronger mean near-nadir roof texture,ALS-DIM plane F1 gap
sharp_gradient_mean,dim_internal_boundary_hausdorff_m,35,-0.0218,0.9033,higher means stronger mean near-nadir roof texture,DIM internal Hausdorff
sharp_shadow_ratio_median,dim_plane_f1,70,0.2449,0.0433,higher means darker/shadowed roof pixels,DIM plane F1
sharp_shadow_ratio_median,delta_plane_f1_als_minus_dim,70,0.0040,0.9737,higher means darker/shadowed roof pixels,ALS-DIM plane F1 gap
sharp_shadow_ratio_median,dim_internal_boundary_hausdorff_m,35,-0.2835,0.1013,higher means darker/shadowed roof pixels,DIM internal Hausdorff
