bid,e1_n_points,e2_n_points,delta_n_points,ratio_n_points,e1_n_roof,e2_n_roof,delta_n_roof,ratio_n_roof,e1_n_wall,e2_n_wall,delta_n_wall,ratio_n_wall,e1_n_ground,e2_n_ground,delta_n_ground,ratio_n_ground,e1_n_bg,e2_n_bg,delta_n_bg,ratio_n_bg,e1_semantic_entropy,e2_semantic_entropy,delta_semantic_entropy,ratio_semantic_entropy,e1_normal_consistency,e2_normal_consistency,delta_normal_consistency,ratio_normal_consistency,e1_confidence_mean,e2_confidence_mean,delta_confidence_mean,ratio_confidence_mean,x_range_overlap_ratio,y_range_overlap_ratio,z_range_overlap_ratio
B0,4935,4922,13.0,1.0026412027631044,1866,1873,-7.0,0.996262680192205,2748,2734,14.0,1.0051207022677395,321,315,6.0,1.019047619047619,0,0,0.0,,0.04419041597775489,0.02497193421950914,0.019218481758245747,1.7696032509660964,0.8403808579125968,0.8355345067578336,0.004846351154763173,1.005800300425136,0.9375008852708907,0.9437978793539589,-0.006296994083068164,0.9933280268786167,0.9983122947277164,0.9914618156254695,0.9971483447347401
B1,4877,4859,18.0,1.0037044659394938,3562,3547,15.0,1.0042289258528334,1228,1232,-4.0,0.9967532467532467,87,80,7.0,1.0875,0,0,0.0,,0.04174756324472767,0.029614673053433276,0.012132890191294394,1.4096918500299906,0.9071676837244328,0.9077962028690941,-0.0006285191446613325,0.9993076429019256,0.9544056112300746,0.9583819544939107,-0.003976343263836113,0.995850982747337,0.9980385914451848,0.9927935710074663,0.9923358139663798
B2,3753,3748,5.0,1.001334044823906,2613,2612,1.0,1.0003828483920367,1062,1051,11.0,1.0104662226451,78,85,-7.0,0.9176470588235294,0,0,0.0,,0.03777910532868008,0.0229952926902272,0.014783812638452878,1.6429060433197213,0.945767589967548,0.9614193906005296,-0.01565180063298166,0.9837201113416226,0.9434460711707886,0.943710089342126,-0.0002640181713373657,0.9997202338151101,0.9986654675394242,0.9958962893216701,0.999650618583077
B8,4265,4372,-107.0,0.9755260750228728,2783,2784,-1.0,0.9996408045977011,1391,1513,-122.0,0.9193654990085922,91,75,16.0,1.2133333333333334,0,0,0.0,,0.03834404466904759,0.02486343899334463,0.013480605675702959,1.542185885038325,0.9580756482334624,0.955549879918647,0.0025257683148153243,1.0026432616108227,0.9416822767900555,0.9370786513270911,0.004603625462964334,1.0049127418028836,0.9940166775622512,0.998019045630456,0.9951553334921338
B6,3272,3205,67.0,1.0209048361934476,2065,2086,-21.0,0.9899328859060402,1117,1056,61.0,1.0577651515151516,90,63,27.0,1.4285714285714286,0,0,0.0,,0.07428400184904987,0.056303936850734176,0.017980064998315698,1.319339392660626,0.8849440334553274,0.8785118932533129,0.006432140202014436,1.0073216313306754,0.9286088282105793,0.9349048256130189,-0.006295997402439579,0.9932656274414764,0.9932834241829631,0.9975051278659312,0.9967804236951743
B3,27767,27799,-32.0,0.9988488794560956,21917,21962,-45.0,0.9979510062835807,5062,5152,-90.0,0.9825310559006211,788,685,103.0,1.1503649635036497,0,0,0.0,,0.04365386134763997,0.03412118383547774,0.009532677512162226,1.279377103623543,0.8247840259821557,0.8313168999088155,-0.006532873926659799,0.9921415360046495,0.9243751680317123,0.9259032667819049,-0.0015280987501926635,0.9983496129617258,0.9989776344586437,0.9919976216498176,0.9990116208125371
B123,26010,26052,-42.0,0.998387839705205,18388,18397,-9.0,0.9995107898026853,6771,6846,-75.0,0.9890446976336547,851,809,42.0,1.0519159456118665,0,0,0.0,,0.04273223300303725,0.030837850204077488,0.011894382798959765,1.3857072629980882,0.9551463319025095,0.9585415937305513,-0.003395261828041729,0.9964578878472788,0.9195392878424635,0.9201783407453785,-0.0006390529029149938,0.9993055119050104,0.9936279557407467,0.28173217161726155,0.9997520275187817
B126,16904,17179,-275.0,0.9839920833575877,12794,12999,-205.0,0.9842295561197015,3752,3813,-61.0,0.984002098085497,358,367,-9.0,0.9754768392370572,0,0,0.0,,0.05695322542995373,0.04492839850720461,0.012024826922749116,1.2676442366584877,0.8908410705492088,0.8887264696898276,0.0021146008593811993,1.0023793607274005,0.9166785748481532,0.9094879234188947,0.0071906514292584545,1.0079062637821816,0.9968631038909523,0.9992504792316252,0.9965082015622324
B50,4225,4146,79.0,1.0190545103714423,3257,3275,-18.0,0.9945038167938931,872,850,22.0,1.0258823529411765,96,21,75.0,4.571428571428571,0,0,0.0,,0.06468982761378919,0.04476896492889887,0.019920862684890323,1.4449703654424046,0.8236167574459619,0.8216287454919198,0.0019880119540420793,1.0024195988333537,0.924201136823942,0.9459302151837156,-0.021729078359773557,0.9770288780176523,0.9959873759300567,0.9920073065136684,0.9992855972216803
B104,688,604,84.0,1.1390728476821192,445,420,25.0,1.0595238095238095,83,83,0.0,1.0,160,101,59.0,1.5841584158415842,0,0,0.0,,0.1255090966044617,0.1276953683943638,-0.0021862717899021056,0.9828790047956147,0.9545309876030299,0.935451711294423,0.01907927630860695,1.0203957896257478,0.7904582484083813,0.7477642484626036,0.042693999945777716,1.057095535168412,0.9471034134343288,0.8831909273855532,0.9552180807564292
