seed,paired_rms_n,rms_median_delta_m,hausdorff_median_delta_m,completeness_median_delta,lod2_count_delta,valid_count_delta
1001,14,-2.979875509,-9.65,0.1151,7,-7
1002,15,1.915949884,14.345,0.0,-3,-1
