run_label,arm,condition_id,seed,role,population_n,rms_measurable_n,published_rms_m,datum_corrected_rms_m,datum_corrected_hausdorff_m,completeness_median,completeness_ge_0p9_n,val3dity_valid_n,lod2_n,rule_a,rule_b,rule_c,rule_d,rule_abcd
01/1001,① 표면,01,1001,honest,30,22,46.523225975,1.1808858555846529,5.047018604832601,0.904283625,16,26,22,False,True,False,False,False
01/1002,① 표면,01,1002,honest,30,19,46.142043069,1.1521524591791086,5.252041390859972,0.917999372,17,27,19,False,False,False,False,False
02/1001,② +사진 통제,02,1001,honest,30,20,46.16791169,0.9025034081807283,7.061631053836891,0.99904325,19,26,20,False,True,False,False,False
02/1002,② +사진 통제,02,1002,honest,30,18,46.216379677,0.9072511930373521,3.2927495527792985,0.590783346,13,28,18,False,True,False,False,False
03/1001,③ +평면 약,03,1001,honest,30,21,46.453891436,1.6132311590194806,5.2010659067199185,0.639920588,11,26,19,False,True,False,False,False
03/1002,③ +평면 약,03,1002,honest,30,20,46.357164815,1.1064328999238713,2.908706366711556,0.248434994,7,26,19,False,True,False,False,False
04a/1001,④a +평면 강·vision,04a,1001,honest,30,14,48.778362097,7.300038826522236,18.46770591779773,0.0,5,27,14,False,False,False,False,False
04a/1002,④a +평면 강·vision,04a,1002,honest,30,18,44.815522613,4.108350333162838,7.230227899071622,0.082669302,8,25,18,False,False,False,False,False
04b/1001,④b +평면 강·GT 상한,04b,1001,GT upper bound,30,21,45.040129272,3.8348069055462095,11.281033470625857,0.924132136,15,20,21,False,True,False,False,False
04b/1002,④b +평면 강·GT 상한,04b,1002,GT upper bound,30,15,46.842713238,5.984301152909939,17.803668307738803,0.001994283,10,24,15,False,False,False,False,False
