setting,run_name,arm,replicate,coverage_pre_minobs,coverage_post_minobs,coverage_post_sor,drop_pre_to_minobs,drop_minobs_to_sor,drop_pre_to_final
base,gs_e5_C001_s2_arm0_dense_r1,dense,r1,0.8714,0.2733,0.1483,0.5981,0.1250,0.7230
base,gs_e5_C001_s2_arm0_dense_r2,dense,r2,0.6753,0.2259,0.1207,0.4494,0.1051,0.5545
base,gs_e5_C001_s2_arm1_dense_r1,dense,r1,0.6314,0.2963,0.1321,0.3351,0.1642,0.4993
base,gs_e5_C001_s2_arm1_dense_r2,dense,r2,0.5024,0.2026,0.1018,0.2998,0.1008,0.4006
base,gs_e5_C001_s2_arm2_dense_r1,dense,r1,0.4837,0.1678,0.0965,0.3159,0.0713,0.3872
base,gs_e5_C001_s2_arm2_dense_r2,dense,r2,0.5475,0.2146,0.1098,0.3329,0.1049,0.4378
