building_id,source_group,source_run,display_label,source_role,seed,replicate,pair_raw,source_badge,readout,z_shift_to_reference_m,complexity_lens,size_lens,texture_lens,observation_lens,label_lens,has_lod22,val3dity_valid,status,status_reason,rf_success,rf_pointcloud_unusable,roof_planes,status_rf_roof_planes,ref_roof_planes,match_count,completeness,correctness,mean_match_iou,ref_rms_m,ref_hausdorff_m,ref_distance_samples,rf_rmse_lod22,shell_bucket,ref_rms_tail,ref_rms_tail_fence_m,setting,run_name,arm,readout_min_obs,readout_voxel_m,readout_alpha,readout_sor,readout_sor_std
DEBY_LOD2_4907184,gs_dense,base__gs_e5_C001_s2_arm1_dense_r2,base dense r2,gs,dense,r2,raw_dense,base_405repair,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2); 405 winding repair overlay,-45.7000,high,high,not_reviewed,high,none,true,true,success,success,True,False,5,35,4,4,1.0000,0.8000,0.8703,0.4947,1.9663,1354,0.556319,조립,false,22.7378,base,gs_e5_C001_s2_arm1_dense_r2,dense,3,0.05,0.5,on,2.0
DEBY_LOD2_4907185,gs_dense,base__gs_e5_C001_s2_arm1_dense_r2,base dense r2,gs,dense,r2,raw_dense,base_405repair,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2); 405 winding repair overlay,-45.7000,low,mid,not_reviewed,high,none,true,true,success,success,True,False,4,11,2,2,1.0000,0.5000,0.3602,2.9684,6.5534,647,0.485333,조립,false,22.7378,base,gs_e5_C001_s2_arm1_dense_r2,dense,3,0.05,0.5,on,2.0
DEBY_LOD2_4907186,gs_dense,base__gs_e5_C001_s2_arm1_dense_r2,base dense r2,gs,dense,r2,raw_dense,base_405repair,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2); 405 winding repair overlay,-45.7000,low,mid,not_reviewed,mid,none,true,false,failure,val3dity_invalid,True,False,1,5,2,1,0.5000,1.0000,0.4981,7.6903,18.0985,674,1.763536,무효·붕괴,false,22.7378,base,gs_e5_C001_s2_arm1_dense_r2,dense,3,0.05,0.5,on,2.0
DEBY_LOD2_4907188,gs_dense,base__gs_e5_C001_s2_arm1_dense_r2,base dense r2,gs,dense,r2,raw_dense,base_405repair,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2); 405 winding repair overlay,-45.7000,low,mid,not_reviewed,low,none,true,false,failure,val3dity_invalid,True,False,1,2,2,0,0.0000,0.0000,,14.7652,29.1761,664,0.710989,무효·붕괴,false,22.7378,base,gs_e5_C001_s2_arm1_dense_r2,dense,3,0.05,0.5,on,2.0
DEBY_LOD2_4907194,gs_dense,base__gs_e5_C001_s2_arm1_dense_r2,base dense r2,gs,dense,r2,raw_dense,base_405repair,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2); 405 winding repair overlay,-45.7000,low,mid,not_reviewed,low,none,false,true,failure,pointcloud_unusable_no_points,True,True,0,0,2,0,0.0000,,,,,0,,미조립,false,22.7378,base,gs_e5_C001_s2_arm1_dense_r2,dense,3,0.05,0.5,on,2.0
DEBY_LOD2_4907195,gs_dense,base__gs_e5_C001_s2_arm1_dense_r2,base dense r2,gs,dense,r2,raw_dense,base_405repair,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2); 405 winding repair overlay,-45.7000,low,mid,not_reviewed,low,none,true,true,success,success,True,False,1,6,2,0,0.0000,0.0000,,12.5033,26.2141,710,2.816317,조립,false,22.7378,base,gs_e5_C001_s2_arm1_dense_r2,dense,3,0.05,0.5,on,2.0
DEBY_LOD2_4907198,gs_dense,base__gs_e5_C001_s2_arm1_dense_r2,base dense r2,gs,dense,r2,raw_dense,base_405repair,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2); 405 winding repair overlay,-45.7000,high,high,not_reviewed,mid,none,true,false,failure,val3dity_invalid,True,False,2,7,4,1,0.2500,0.5000,0.0599,1.3368,2.5715,33,11.217265,무효·붕괴,false,22.7378,base,gs_e5_C001_s2_arm1_dense_r2,dense,3,0.05,0.5,on,2.0
DEBY_LOD2_4907199,gs_dense,base__gs_e5_C001_s2_arm1_dense_r2,base dense r2,gs,dense,r2,raw_dense,base_405repair,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2); 405 winding repair overlay,-45.7000,low,low,무텍스처,mid,무텍스처,false,true,failure,pointcloud_unusable_no_points,True,True,0,0,1,0,0.0000,,,,,0,,미조립,false,22.7378,base,gs_e5_C001_s2_arm1_dense_r2,dense,3,0.05,0.5,on,2.0
DEBY_LOD2_4907202,gs_dense,base__gs_e5_C001_s2_arm1_dense_r2,base dense r2,gs,dense,r2,raw_dense,base_405repair,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2); 405 winding repair overlay,-45.7000,low,mid,not_reviewed,mid,none,false,false,failure,pointcloud_unusable_no_points,True,True,0,0,2,0,0.0000,,,,,0,,미조립,false,22.7378,base,gs_e5_C001_s2_arm1_dense_r2,dense,3,0.05,0.5,on,2.0
DEBY_LOD2_4908168,gs_dense,base__gs_e5_C001_s2_arm1_dense_r2,base dense r2,gs,dense,r2,raw_dense,base_405repair,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2); 405 winding repair overlay,-45.7000,low,low,not_reviewed,high,none,false,true,failure,pointcloud_unusable_no_points,True,True,0,0,1,0,0.0000,,,,,0,,미조립,false,22.7378,base,gs_e5_C001_s2_arm1_dense_r2,dense,3,0.05,0.5,on,2.0
