source_run,stage,building_id,occupied_cells,grid_total_cells,coverage_frac
gs_e5_C001_s1_acmp_r1,render_depth_backproj_sample_pre_readout,DEBY_LOD2_4907186,492,673,0.7310549777117384
gs_e5_C001_s1_acmp_r1,render_depth_backproj_sample_pre_readout,DEBY_LOD2_4907194,360,850,0.4235294117647059
gs_e5_C001_s1_acmp_r1,render_depth_backproj_sample_pre_readout,DEBY_LOD2_4907199,307,393,0.7811704834605598
gs_e5_C001_s1_acmp_r1,render_depth_backproj_sample_pre_readout,DEBY_LOD2_108247351,94,260,0.36153846153846153
gs_e5_C001_s1_acmp_r1,render_depth_backproj_sample_pre_readout,DEBY_LOD2_108247350,11,48,0.22916666666666666
gs_e5_C001_s1_acmp_r1,render_depth_backproj_sample_pre_readout,DEBY_LOD2_4907185,477,644,0.7406832298136646
gs_e5_C001_s1_acmp_r1,render_depth_backproj_sample_pre_readout,DEBY_LOD2_4907188,217,664,0.32680722891566266
gs_e5_C001_s1_acmp_r1,render_depth_backproj_sample_pre_readout,DEBY_LOD2_4907202,619,641,0.9656786271450858
gs_e5_C001_s1_acmp_r1,render_depth_backproj_sample_pre_readout,DEBY_LOD2_60098,513,784,0.6543367346938775
gs_e5_C001_s1_acmp_r1,render_depth_backproj_sample_pre_readout,DEBY_LOD2_4908168,104,114,0.9122807017543859
gs_e5_C001_s1_sparse_r1,tsdf_minobs_voxel_pre_sor,DEBY_LOD2_4907198,677,1438,0.47079276773296247
gs_e5_C001_s1_sparse_r1,tsdf_minobs_voxel_pre_sor,DEBY_LOD2_4908179,33,474,0.06962025316455696
gs_e5_C001_s1_sparse_r1,tsdf_minobs_voxel_pre_sor,DEBY_LOD2_4907195,404,710,0.5690140845070423
gs_e5_C001_s1_sparse_r1,tsdf_minobs_voxel_pre_sor,DEBY_LOD2_8568391,19,221,0.08597285067873303
gs_e5_C001_s1_sparse_r1,tsdf_minobs_voxel_pre_sor,DEBY_LOD2_108247349,30,402,0.07462686567164178
gs_e5_C001_s1_sparse_r1,tsdf_minobs_voxel_pre_sor,DEBY_LOD2_4907184,1438,1352,1.0
gs_e5_C001_s1_sparse_r1,tsdf_minobs_voxel_pre_sor,DEBY_LOD2_4908178,193,454,0.4251101321585903
gs_e5_C001_s1_sparse_r1,tsdf_minobs_voxel_pre_sor,DEBY_LOD2_8568392,4,24,0.16666666666666666
gs_e5_C001_s1_sparse_r1,tsdf_minobs_voxel_pre_sor,DEBY_LOD2_4907186,308,673,0.4576523031203566
gs_e5_C001_s1_sparse_r1,tsdf_minobs_voxel_pre_sor,DEBY_LOD2_4907194,301,850,0.35411764705882354
gs_e5_C001_s1_sparse_r1,tsdf_minobs_voxel_pre_sor,DEBY_LOD2_4907199,51,393,0.1297709923664122
gs_e5_C001_s1_sparse_r1,tsdf_minobs_voxel_pre_sor,DEBY_LOD2_108247351,45,260,0.17307692307692307
gs_e5_C001_s1_sparse_r1,tsdf_minobs_voxel_pre_sor,DEBY_LOD2_108247350,5,48,0.10416666666666667
gs_e5_C001_s1_sparse_r1,tsdf_minobs_voxel_pre_sor,DEBY_LOD2_4907185,446,644,0.6925465838509317
gs_e5_C001_s1_sparse_r1,tsdf_minobs_voxel_pre_sor,DEBY_LOD2_4907188,210,664,0.31626506024096385
gs_e5_C001_s1_sparse_r1,tsdf_minobs_voxel_pre_sor,DEBY_LOD2_4907202,319,641,0.49765990639625585
gs_e5_C001_s1_sparse_r1,tsdf_minobs_voxel_pre_sor,DEBY_LOD2_60098,326,784,0.41581632653061223
gs_e5_C001_s1_sparse_r1,tsdf_minobs_voxel_pre_sor,DEBY_LOD2_4908168,68,114,0.5964912280701754
gs_e5_C001_s1_sparse_r1,tsdf_minobs_voxel_post_sor,DEBY_LOD2_4907198,373,1438,0.25938803894297635
gs_e5_C001_s1_sparse_r1,tsdf_minobs_voxel_post_sor,DEBY_LOD2_4908179,3,474,0.006329113924050633
gs_e5_C001_s1_sparse_r1,tsdf_minobs_voxel_post_sor,DEBY_LOD2_4907195,183,710,0.2577464788732394
gs_e5_C001_s1_sparse_r1,tsdf_minobs_voxel_post_sor,DEBY_LOD2_8568391,1,221,0.004524886877828055
gs_e5_C001_s1_sparse_r1,tsdf_minobs_voxel_post_sor,DEBY_LOD2_108247349,5,402,0.012437810945273632
gs_e5_C001_s1_sparse_r1,tsdf_minobs_voxel_post_sor,DEBY_LOD2_4907184,1436,1352,1.0
gs_e5_C001_s1_sparse_r1,tsdf_minobs_voxel_post_sor,DEBY_LOD2_4908178,176,454,0.3876651982378855
gs_e5_C001_s1_sparse_r1,tsdf_minobs_voxel_post_sor,DEBY_LOD2_8568392,0,24,0.0
gs_e5_C001_s1_sparse_r1,tsdf_minobs_voxel_post_sor,DEBY_LOD2_4907186,54,673,0.08023774145616643
gs_e5_C001_s1_sparse_r1,tsdf_minobs_voxel_post_sor,DEBY_LOD2_4907194,24,850,0.02823529411764706
gs_e5_C001_s1_sparse_r1,tsdf_minobs_voxel_post_sor,DEBY_LOD2_4907199,41,393,0.10432569974554708
gs_e5_C001_s1_sparse_r1,tsdf_minobs_voxel_post_sor,DEBY_LOD2_108247351,31,260,0.11923076923076924
gs_e5_C001_s1_sparse_r1,tsdf_minobs_voxel_post_sor,DEBY_LOD2_108247350,2,48,0.041666666666666664
gs_e5_C001_s1_sparse_r1,tsdf_minobs_voxel_post_sor,DEBY_LOD2_4907185,320,644,0.4968944099378882
gs_e5_C001_s1_sparse_r1,tsdf_minobs_voxel_post_sor,DEBY_LOD2_4907188,40,664,0.060240963855421686
gs_e5_C001_s1_sparse_r1,tsdf_minobs_voxel_post_sor,DEBY_LOD2_4907202,280,641,0.43681747269890797
gs_e5_C001_s1_sparse_r1,tsdf_minobs_voxel_post_sor,DEBY_LOD2_60098,110,784,0.14030612244897958
gs_e5_C001_s1_sparse_r1,tsdf_minobs_voxel_post_sor,DEBY_LOD2_4908168,62,114,0.543859649122807
gs_e5_C001_s1_dense_r1,tsdf_minobs_voxel_pre_sor,DEBY_LOD2_4907198,815,1438,0.566759388038943
gs_e5_C001_s1_dense_r1,tsdf_minobs_voxel_pre_sor,DEBY_LOD2_4908179,13,474,0.027426160337552744
gs_e5_C001_s1_dense_r1,tsdf_minobs_voxel_pre_sor,DEBY_LOD2_4907195,363,710,0.5112676056338028
gs_e5_C001_s1_dense_r1,tsdf_minobs_voxel_pre_sor,DEBY_LOD2_8568391,38,221,0.17194570135746606
gs_e5_C001_s1_dense_r1,tsdf_minobs_voxel_pre_sor,DEBY_LOD2_108247349,0,402,0.0
gs_e5_C001_s1_dense_r1,tsdf_minobs_voxel_pre_sor,DEBY_LOD2_4907184,1437,1352,1.0
gs_e5_C001_s1_dense_r1,tsdf_minobs_voxel_pre_sor,DEBY_LOD2_4908178,271,454,0.5969162995594713
gs_e5_C001_s1_dense_r1,tsdf_minobs_voxel_pre_sor,DEBY_LOD2_8568392,15,24,0.625
gs_e5_C001_s1_dense_r1,tsdf_minobs_voxel_pre_sor,DEBY_LOD2_4907186,259,673,0.3848439821693908
gs_e5_C001_s1_dense_r1,tsdf_minobs_voxel_pre_sor,DEBY_LOD2_4907194,158,850,0.18588235294117647
gs_e5_C001_s1_dense_r1,tsdf_minobs_voxel_pre_sor,DEBY_LOD2_4907199,103,393,0.26208651399491095
gs_e5_C001_s1_dense_r1,tsdf_minobs_voxel_pre_sor,DEBY_LOD2_108247351,22,260,0.08461538461538462
gs_e5_C001_s1_dense_r1,tsdf_minobs_voxel_pre_sor,DEBY_LOD2_108247350,7,48,0.14583333333333334
gs_e5_C001_s1_dense_r1,tsdf_minobs_voxel_pre_sor,DEBY_LOD2_4907185,397,644,0.6164596273291926
gs_e5_C001_s1_dense_r1,tsdf_minobs_voxel_pre_sor,DEBY_LOD2_4907188,201,664,0.30271084337349397
gs_e5_C001_s1_dense_r1,tsdf_minobs_voxel_pre_sor,DEBY_LOD2_4907202,454,641,0.7082683307332294
gs_e5_C001_s1_dense_r1,tsdf_minobs_voxel_pre_sor,DEBY_LOD2_60098,339,784,0.43239795918367346
gs_e5_C001_s1_dense_r1,tsdf_minobs_voxel_pre_sor,DEBY_LOD2_4908168,73,114,0.6403508771929824
gs_e5_C001_s1_dense_r1,tsdf_minobs_voxel_post_sor,DEBY_LOD2_4907198,396,1438,0.2753824756606398
gs_e5_C001_s1_dense_r1,tsdf_minobs_voxel_post_sor,DEBY_LOD2_4908179,2,474,0.004219409282700422
gs_e5_C001_s1_dense_r1,tsdf_minobs_voxel_post_sor,DEBY_LOD2_4907195,153,710,0.21549295774647886
gs_e5_C001_s1_dense_r1,tsdf_minobs_voxel_post_sor,DEBY_LOD2_8568391,4,221,0.01809954751131222
gs_e5_C001_s1_dense_r1,tsdf_minobs_voxel_post_sor,DEBY_LOD2_108247349,0,402,0.0
gs_e5_C001_s1_dense_r1,tsdf_minobs_voxel_post_sor,DEBY_LOD2_4907184,1437,1352,1.0
gs_e5_C001_s1_dense_r1,tsdf_minobs_voxel_post_sor,DEBY_LOD2_4908178,210,454,0.46255506607929514
gs_e5_C001_s1_dense_r1,tsdf_minobs_voxel_post_sor,DEBY_LOD2_8568392,5,24,0.20833333333333334
gs_e5_C001_s1_dense_r1,tsdf_minobs_voxel_post_sor,DEBY_LOD2_4907186,65,673,0.09658246656760773
gs_e5_C001_s1_dense_r1,tsdf_minobs_voxel_post_sor,DEBY_LOD2_4907194,16,850,0.018823529411764704
gs_e5_C001_s1_dense_r1,tsdf_minobs_voxel_post_sor,DEBY_LOD2_4907199,55,393,0.13994910941475827
