source_run,building_id,error_code,description,category,count
gs_acmp_r2,DEBY_LOD2_4907185,,valid,valid,0
gs_acmp_r2,DEBY_LOD2_4907186,,valid,valid,0
gs_acmp_r2,DEBY_LOD2_4907188,302,SHELL_NOT_CLOSED,non_closed_shell,2
gs_acmp_r2,DEBY_LOD2_4907194,302,SHELL_NOT_CLOSED,non_closed_shell,2
gs_acmp_r2,DEBY_LOD2_4907195,,valid,valid,0
gs_acmp_r2,DEBY_LOD2_4907198,,valid,valid,0
gs_acmp_r2,DEBY_LOD2_4907199,302,SHELL_NOT_CLOSED,non_closed_shell,2
gs_acmp_r2,DEBY_LOD2_4907202,,valid,valid,0
gs_acmp_r2,DEBY_LOD2_4908168,,valid,valid,0
gs_acmp_r2,DEBY_LOD2_4908178,302,SHELL_NOT_CLOSED,non_closed_shell,2
gs_acmp_r2,DEBY_LOD2_4908179,,valid,valid,0
gs_acmp_r2,DEBY_LOD2_60098,,valid,valid,0
gs_acmp_r2,DEBY_LOD2_8568391,,valid,valid,0
gs_acmp_r2,DEBY_LOD2_8568392,,valid,valid,0
