building_id,subset,variant,hypothesis,als_baseline_status,als_baseline_reason,dim_baseline_status,dim_baseline_reason,dim_baseline_bucket_v1,variant_status,variant_reason,variant_bucket_v1,variant_rf_pt_density,variant_rf_nodata_frac,variant_rf_rmse_lod22,variant_has_lod22,variant_val3dity_valid,baseline_pair_category,variant_pair_category
DEBY_LOD2_108246888,eval,wall_removed,H-wall,success,success,success,success,success,success,success,success,61.962265,0.053571,0.697652,True,True,both_success,both_success
DEBY_LOD2_108246888,eval,thinned,H-density,success,success,success,success,success,success,success,success,16.615385,0.071429,1.128053,True,True,both_success,both_success
DEBY_LOD2_108247714,eval,wall_removed,H-wall,failure,pointcloud_unusable,success,success,success,success,success,success,45.570370,0.014599,1.216615,True,True,DIM_only,DIM_only
DEBY_LOD2_108247714,eval,thinned,H-density,failure,pointcloud_unusable,success,success,success,success,success,success,13.185185,0.014599,1.915088,True,True,DIM_only,DIM_only
DEBY_LOD2_108580335,eval,wall_removed,H-wall,success,success,success,success,success,failure,val3dity_invalid,validity,133.488129,0.000000,0.567107,True,False,both_success,ALS_only
DEBY_LOD2_108580335,eval,thinned,H-density,success,success,success,success,success,failure,val3dity_invalid,validity,11.889954,0.002939,1.778747,True,False,both_success,ALS_only
DEBY_LOD2_108580336,eval,wall_removed,H-wall,failure,val3dity_invalid,success,success,success,success,success,success,288.241669,0.000000,2.035528,True,True,DIM_only,DIM_only
DEBY_LOD2_108580336,eval,thinned,H-density,failure,val3dity_invalid,success,success,success,failure,val3dity_invalid,validity,23.236744,0.000990,3.231928,True,False,DIM_only,both_fail
DEBY_LOD2_42364609,dev,wall_removed,H-wall,success,success,failure,missing_lod22_geometry,roof_matching_assembly_failure,failure,missing_lod22_geometry,roof_matching_assembly_failure,36.428570,0.164179,0.000000,False,True,ALS_only,ALS_only
DEBY_LOD2_42364609,dev,thinned,H-density,success,success,failure,missing_lod22_geometry,roof_matching_assembly_failure,failure,missing_lod22_geometry,roof_matching_assembly_failure,8.145454,0.179104,0.000000,False,True,ALS_only,ALS_only
DEBY_LOD2_42364657,eval,wall_removed,H-wall,success,success,success,success,success,success,success,success,48.642685,0.027972,0.300729,True,True,both_success,both_success
DEBY_LOD2_42364657,eval,thinned,H-density,success,success,success,success,success,success,success,success,11.298077,0.030303,0.610407,True,True,both_success,both_success
DEBY_LOD2_42364659,eval,wall_removed,H-wall,success,success,failure,missing_lod22_geometry,roof_matching_assembly_failure,failure,missing_lod22_geometry,roof_matching_assembly_failure,87.954544,0.000000,0.000000,False,True,ALS_only,ALS_only
DEBY_LOD2_42364659,eval,thinned,H-density,success,success,failure,missing_lod22_geometry,roof_matching_assembly_failure,failure,missing_lod22_geometry,roof_matching_assembly_failure,13.924242,0.000000,0.000000,False,True,ALS_only,ALS_only
DEBY_LOD2_42364663,eval,wall_removed,H-wall,success,success,success,success,success,failure,missing_lod22_geometry,roof_matching_assembly_failure,1144.118286,0.000000,0.000000,False,True,both_success,ALS_only
DEBY_LOD2_42364663,eval,thinned,H-density,success,success,success,success,success,failure,missing_lod22_geometry,roof_matching_assembly_failure,151.810654,0.000000,0.000000,False,True,both_success,ALS_only
DEBY_LOD2_42364665,eval,wall_removed,H-wall,success,success,success,success,success,success,success,success,718.080811,0.000000,2.095560,True,True,both_success,both_success
DEBY_LOD2_42364665,eval,thinned,H-density,success,success,success,success,success,success,success,success,34.626263,0.000000,4.451812,True,True,both_success,both_success
DEBY_LOD2_42364667,eval,wall_removed,H-wall,success,success,success,success,success,success,success,success,1228.415283,0.000000,3.039787,True,True,both_success,both_success
DEBY_LOD2_42364667,eval,thinned,H-density,success,success,success,success,success,failure,lod11_fallback,roof_matching_assembly_failure,34.382515,0.000000,5.336615,True,True,both_success,ALS_only
DEBY_LOD2_4906965,eval,wall_removed,H-wall,failure,val3dity_invalid,success,success,success,failure,val3dity_invalid,validity,829.569580,0.000000,1.916853,True,False,DIM_only,both_fail
DEBY_LOD2_4906965,eval,thinned,H-density,failure,val3dity_invalid,success,success,success,failure,val3dity_invalid,validity,29.962048,0.000000,3.335880,True,False,DIM_only,both_fail
DEBY_LOD2_4906966,eval,wall_removed,H-wall,success,success,success,success,success,success,success,success,695.674377,0.000000,2.301901,True,True,both_success,both_success
DEBY_LOD2_4906966,eval,thinned,H-density,success,success,success,success,success,success,success,success,25.821156,0.000174,4.062866,True,True,both_success,both_success
DEBY_LOD2_4906967,eval,wall_removed,H-wall,failure,val3dity_invalid,failure,val3dity_invalid,validity,success,success,success,653.236084,0.001266,0.790266,True,True,both_fail,DIM_only
DEBY_LOD2_4906967,eval,thinned,H-density,failure,val3dity_invalid,failure,val3dity_invalid,validity,failure,val3dity_invalid,validity,24.001562,0.002240,1.682840,True,False,both_fail,both_fail
DEBY_LOD2_4906968,eval,wall_removed,H-wall,success,success,failure,val3dity_invalid,validity,failure,val3dity_invalid,validity,298.132355,0.018103,2.533795,True,False,ALS_only,ALS_only
DEBY_LOD2_4906968,eval,thinned,H-density,success,success,failure,val3dity_invalid,validity,failure,val3dity_invalid,validity,30.499496,0.026242,2.859977,True,False,ALS_only,ALS_only
DEBY_LOD2_4906969,dev,wall_removed,H-wall,success,success,failure,val3dity_invalid,validity,success,success,success,188.571426,0.000000,0.668756,True,True,ALS_only,both_success
DEBY_LOD2_4906969,dev,thinned,H-density,success,success,failure,val3dity_invalid,validity,success,success,success,35.076481,0.000000,1.060045,True,True,ALS_only,both_success
DEBY_LOD2_4906970,eval,wall_removed,H-wall,success,success,success,success,success,success,success,success,476.767731,0.000000,2.085309,True,True,both_success,both_success
DEBY_LOD2_4906970,eval,thinned,H-density,success,success,success,success,success,failure,val3dity_invalid,validity,35.941936,0.000000,4.348430,True,False,both_success,ALS_only
DEBY_LOD2_4906972,eval,wall_removed,H-wall,success,success,success,success,success,success,success,success,650.869873,0.000000,1.356754,True,True,both_success,both_success
DEBY_LOD2_4906972,eval,thinned,H-density,success,success,success,success,success,success,success,success,29.844910,0.000000,2.967128,True,True,both_success,both_success
DEBY_LOD2_4906973,eval,wall_removed,H-wall,success,success,success,success,success,success,success,success,136.468475,0.000000,1.259163,True,True,both_success,both_success
DEBY_LOD2_4906973,eval,thinned,H-density,success,success,success,success,success,success,success,success,38.090092,0.000000,1.480590,True,True,both_success,both_success
DEBY_LOD2_4906974,eval,wall_removed,H-wall,success,success,success,success,success,success,success,success,233.338608,0.000000,0.963832,True,True,both_success,both_success
DEBY_LOD2_4906974,eval,thinned,H-density,success,success,success,success,success,success,success,success,21.995249,0.000791,2.516625,True,True,both_success,both_success
