input,selected_config_id,plane_detect_epsilon,plane_detect_min_points,complexity_factor,dev_n,dev_success,dev_success_rate,dev_lod22_generated,dev_lod22_rate,dev_val3dity_valid,dev_valid_rate,dev_mean_rf_rmse_lod22,selection_basis
ALS,default,0.3,15,0.888,15,15,100.0%,15,100.0%,15,100.0%,1.188927,"max success, then LoD2.2 count, validity count, lower RMSE, lower complexity/epsilon/min-points"
DIM,default,0.3,15,0.888,15,13,86.7%,13,86.7%,15,100.0%,1.194971,"max success, then LoD2.2 count, validity count, lower RMSE, lower complexity/epsilon/min-points"
