building_id,paired_category,w2_1c_both_attempted,w2_1c_coverage_control_population,w2_1c_als_bucket,w2_1c_dim_bucket,reference_mismatch_exclude,exclude_reason,city3d_als_status,city3d_als_reason,city3d_als_density,city3d_als_val3dity_valid,city3d_dim_status,city3d_dim_reason,city3d_dim_density,city3d_dim_val3dity_valid,roofer_als_status,roofer_dim_status
DEBY_LOD2_4959459,both_fail,yes,yes,success,success,no,,failure,val3dity_invalid,16.552723,False,failure,city3d_reconstruction_failed,482.278345,,success,success
DEBY_LOD2_4959460,both_fail,yes,yes,success,success,no,,failure,city3d_timeout,14.414788,,failure,city3d_timeout,358.958678,,success,success
DEBY_LOD2_4959461,both_fail,yes,yes,success,success,no,,failure,val3dity_invalid,11.298519,False,failure,city3d_reconstruction_failed,174.321107,,success,success
DEBY_LOD2_4959463,both_fail,yes,yes,success,success,no,,failure,val3dity_invalid,20.128864,False,failure,val3dity_invalid,137.998532,False,success,success
DEBY_LOD2_4959464,both_fail,yes,yes,success,success,no,,failure,val3dity_invalid,19.566724,False,failure,city3d_reconstruction_failed,190.155549,,success,success
DEBY_LOD2_4959465,both_fail,no,no,aoi_edge_excluded,aoi_edge_excluded,no,aoi_edge_centroid_outside_roofer_box,failure,val3dity_invalid,20.440948,False,failure,city3d_timeout,76.935036,,failure,failure
DEBY_LOD2_4959753,both_fail,yes,yes,validity,success,no,,failure,val3dity_invalid,16.287430,False,failure,city3d_timeout,156.126363,,failure,success
DEBY_LOD2_4959758,both_fail,yes,no,success,coverage,no,,failure,val3dity_invalid,19.218767,False,failure,val3dity_invalid,4.556763,False,success,failure
DEBY_LOD2_4959759,both_fail,no,no,aoi_edge_excluded,aoi_edge_excluded,no,aoi_edge_centroid_outside_roofer_box,failure,val3dity_invalid,17.934865,False,failure,val3dity_invalid,13.091266,False,failure,failure
DEBY_LOD2_4959793,both_fail,yes,yes,success,success,no,,failure,val3dity_invalid,17.913680,False,failure,city3d_timeout,243.067086,,success,success
DEBY_LOD2_60042,both_fail,yes,yes,success,validity,no,,failure,city3d_timeout,18.561609,,failure,city3d_timeout,631.616227,,success,failure
DEBY_LOD2_60097,both_fail,yes,no,success,success,no,,failure,val3dity_invalid,17.457133,False,failure,val3dity_invalid,8.377685,False,success,success
DEBY_LOD2_60098,both_fail,yes,no,success,success,no,,failure,val3dity_invalid,20.471597,False,failure,val3dity_invalid,3.409381,False,success,success
DEBY_LOD2_60109,both_fail,no,no,aoi_edge_excluded,aoi_edge_excluded,no,aoi_edge_centroid_outside_roofer_box,failure,val3dity_invalid,19.012863,False,failure,val3dity_invalid,1.032427,False,failure,failure
DEBY_LOD2_8568391,both_fail,yes,no,success,coverage,no,,failure,val3dity_invalid,17.052309,False,failure,pointcloud_unusable_no_points,0.000000,,success,failure
DEBY_LOD2_8568392,both_fail,yes,no,success,coverage,no,,failure,val3dity_invalid,18.802829,False,failure,pointcloud_unusable_no_points,0.000000,,success,failure
DEBY_LOD2_8568403,both_fail,yes,no,success,success,no,,failure,val3dity_invalid,18.746235,False,failure,val3dity_invalid,13.253482,False,success,success
DEBY_LOD2_8573617,both_fail,yes,no,success,coverage,no,,failure,val3dity_invalid,18.039013,False,failure,pointcloud_unusable_no_points,0.000000,,success,failure
DEBY_LOD2_8573847,both_fail,no,no,aoi_edge_excluded,aoi_edge_excluded,no,aoi_edge_centroid_outside_roofer_box,failure,val3dity_invalid,18.428661,False,failure,city3d_reconstruction_failed,52.587076,,failure,failure
DEBY_LOD2_8573848,both_fail,yes,no,validity,success,no,,failure,val3dity_invalid,18.878487,False,failure,city3d_timeout,61.904503,,failure,success
DEBY_LOD2_8573849,both_fail,yes,yes,success,success,no,,failure,val3dity_invalid,12.845202,False,failure,city3d_reconstruction_failed,214.079169,,success,success
