block_id,building_id,baseline_median_m,candidate_median_m,adopted
capture_block_01,DEBY_LOD2_4906974,0.10156719709658724,0.05292218086052504,False
capture_block_01,DEBY_LOD2_4906980,0.35,0.35,False
capture_block_01,DEBY_LOD2_4906981,0.35,0.35,False
capture_block_01,DEBY_LOD2_4907521,0.24161764831633828,0.24431707009172332,False
capture_block_01,DEBY_LOD2_4959322,0.05652685140257101,0.051266513956396566,False
capture_block_01,DEBY_LOD2_4959457,0.35,0.35,False
capture_block_01,DEBY_LOD2_4959459,0.07395342829670623,0.06911335671872373,False
capture_block_02,DEBY_LOD2_42364657,0.35,0.35,False
capture_block_02,DEBY_LOD2_4959322,0.05347708562651679,0.04978290049967018,False
capture_block_02,DEBY_LOD2_4959340,0.1718580188183429,0.0868668434897828,False
capture_block_02,DEBY_LOD2_4959459,0.08905071084132343,0.08870368694725116,False
capture_block_03,DEBY_LOD2_4906974,0.35,0.35,False
capture_block_03,DEBY_LOD2_4906981,0.10155795749901401,0.055232570788062166,False
capture_block_03,DEBY_LOD2_4907521,0.35,0.35,False
capture_block_03,DEBY_LOD2_4959322,0.054398888386385624,0.04072329681398984,False
capture_block_03,DEBY_LOD2_4959457,0.35,0.35,False
capture_block_03,DEBY_LOD2_4959459,0.35,0.35,False
