building_id,role,surface_count,symmetric_median_m,all_support_p90_m,bidirectional_matched_support,absolute_signed_bias_m,absolute_criteria_pass
DEBY_LOD2_42364657,trigger,2,0.099518949,0.350000000,0.586946387,0.018422462,false
DEBY_LOD2_4906974,trigger,2,0.122465617,0.350000000,0.671314286,0.066242739,false
DEBY_LOD2_4906980,trigger,2,0.209942605,0.350000000,0.500698324,0.054764489,false
DEBY_LOD2_4906981,trigger,2,0.179946897,0.350000000,0.534566897,0.012246869,false
DEBY_LOD2_4907521,trigger,2,0.097829649,0.350000000,0.653286281,0.013706253,false
DEBY_LOD2_4959322,trigger,2,0.100003900,0.350000000,0.617923497,0.007904381,false
DEBY_LOD2_4959340,trigger,2,0.085727025,0.350000000,0.704335017,0.015972757,false
DEBY_LOD2_4959457,trigger,2,0.350000000,0.350000000,0.420399579,0.016502544,false
DEBY_LOD2_4959459,trigger,2,0.157681982,0.350000000,0.528416601,0.010519789,false
