source,n_bids,nonempty_bids,roof_wall_nonzero_bids,ground_nonzero_bids,basic_pass_bids,mean_n_points,min_n_points,mean_n_roof,min_n_roof,mean_n_wall,min_n_wall,mean_n_ground,min_n_ground,mean_n_bg,min_n_bg,mean_semantic_entropy,min_semantic_entropy,mean_normal_consistency,min_normal_consistency,mean_confidence_mean,min_confidence_mean,mean_invalid_coordinate_count,min_invalid_coordinate_count,mean_footprint_crop_hit_rate,min_footprint_crop_hit_rate
E1_Baseline_rendered,10,10,10,10,10,9669.6,688.0,6969.0,445.0,2408.6,83.0,292.0,78.0,0.0,0.0,0.05698833750681418,0.03777910532868008,0.8985254986776233,0.8236167574459619,0.9180896088627041,0.7904582484083813,0.0,0.0,0.0036565789568222215,0.00026016860286813196
E2_Mutual_rendered,10,10,10,10,10,9688.6,604.0,6995.5,420.0,2433.0,83.0,260.1,21.0,0.0,0.0,0.04411010416772709,0.0229952926902272,0.8974477293514955,0.8216287454919198,0.9167137394722602,0.7477642484626036,0.0,0.0,0.0036612980024336604,0.00022825010770079586
