variant,arm,outcome,outcome_kind,spec,fit_type,n,predictor,coef,se,ci_low,ci_high,status
main_cook_excluded,raw_dense,val3dity_valid,binary,attributes_only,logistic,125,pt_density_m2_reg,0.760379,0.678410,-0.569304,2.090062,max_iter
main_cook_excluded,raw_dense,val3dity_valid,binary,attributes_only,logistic,125,coverage_frac_reg,-1.563432,1.607583,-4.714295,1.587431,max_iter
main_cook_excluded,raw_dense,val3dity_valid,binary,attributes_only,logistic,125,local_plane_rms_m,-0.681561,0.532780,-1.725811,0.362689,max_iter
main_cook_excluded,raw_dense,val3dity_valid,binary,attributes_only,logistic,125,floater_frac,-0.104863,0.538575,-1.160471,0.950744,max_iter
main_cook_excluded,raw_dense,val3dity_valid,binary,attributes_only,logistic,125,label_proxy_frac_all,448.576653,813.434587,-1145.755138,2042.908444,max_iter
main,raw_dense,val3dity_valid,binary,observation_only,logistic,179,median_incidence_deg,0.075234,0.323719,-0.559256,0.709724,ok
main,raw_dense,val3dity_valid,binary,observation_only,logistic,179,median_pair_angle_deg,-0.429785,0.393813,-1.201658,0.342088,ok
main,raw_dense,val3dity_valid,binary,observation_only,logistic,179,n_views_nadir,0.109092,0.454859,-0.782432,1.000615,ok
main,raw_dense,val3dity_valid,binary,observation_only,logistic,179,recon_score_median,-0.433672,0.547557,-1.506883,0.639539,ok
main_cook_excluded,raw_dense,val3dity_valid,binary,observation_only,logistic,170,median_incidence_deg,-0.105660,0.620611,-1.322058,1.110739,ok
main_cook_excluded,raw_dense,val3dity_valid,binary,observation_only,logistic,170,median_pair_angle_deg,-1.917245,1.551730,-4.958636,1.124146,ok
main_cook_excluded,raw_dense,val3dity_valid,binary,observation_only,logistic,170,n_views_nadir,0.407315,0.946655,-1.448129,2.262760,ok
main_cook_excluded,raw_dense,val3dity_valid,binary,observation_only,logistic,170,recon_score_median,-2.168980,1.915526,-5.923412,1.585452,ok
main,raw_dense,val3dity_valid,binary,attributes_plus_observation,logistic,133,pt_density_m2_reg,0.207921,0.425144,-0.625361,1.041204,ok
main,raw_dense,val3dity_valid,binary,attributes_plus_observation,logistic,133,coverage_frac_reg,-0.555365,0.597254,-1.725982,0.615252,ok
main,raw_dense,val3dity_valid,binary,attributes_plus_observation,logistic,133,local_plane_rms_m,-0.630879,0.346583,-1.310182,0.048424,ok
main,raw_dense,val3dity_valid,binary,attributes_plus_observation,logistic,133,floater_frac,-0.322254,0.276721,-0.864627,0.220119,ok
main,raw_dense,val3dity_valid,binary,attributes_plus_observation,logistic,133,label_proxy_frac_all,-0.152686,0.392533,-0.922050,0.616678,ok
main,raw_dense,val3dity_valid,binary,attributes_plus_observation,logistic,133,median_incidence_deg,0.048362,0.416688,-0.768346,0.865070,ok
main,raw_dense,val3dity_valid,binary,attributes_plus_observation,logistic,133,median_pair_angle_deg,-0.134009,0.434210,-0.985060,0.717042,ok
main,raw_dense,val3dity_valid,binary,attributes_plus_observation,logistic,133,n_views_nadir,0.445396,0.601931,-0.734389,1.625180,ok
main,raw_dense,val3dity_valid,binary,attributes_plus_observation,logistic,133,recon_score_median,-0.186597,0.598844,-1.360331,0.987138,ok
main_cook_excluded,raw_dense,val3dity_valid,binary,attributes_plus_observation,logistic,124,pt_density_m2_reg,0.212167,0.698536,-1.156964,1.581298,ok
main_cook_excluded,raw_dense,val3dity_valid,binary,attributes_plus_observation,logistic,124,coverage_frac_reg,-0.441883,2.141831,-4.639871,3.756106,ok
main_cook_excluded,raw_dense,val3dity_valid,binary,attributes_plus_observation,logistic,124,local_plane_rms_m,-1.362441,0.713299,-2.760508,0.035626,ok
main_cook_excluded,raw_dense,val3dity_valid,binary,attributes_plus_observation,logistic,124,floater_frac,-0.439291,0.488963,-1.397658,0.519077,ok
main_cook_excluded,raw_dense,val3dity_valid,binary,attributes_plus_observation,logistic,124,label_proxy_frac_all,0.187849,1.915944,-3.567400,3.943098,ok
main_cook_excluded,raw_dense,val3dity_valid,binary,attributes_plus_observation,logistic,124,median_incidence_deg,0.225602,0.968361,-1.672385,2.123589,ok
main_cook_excluded,raw_dense,val3dity_valid,binary,attributes_plus_observation,logistic,124,median_pair_angle_deg,-1.413427,1.702359,-4.750050,1.923196,ok
main_cook_excluded,raw_dense,val3dity_valid,binary,attributes_plus_observation,logistic,124,n_views_nadir,0.463509,1.778981,-3.023294,3.950313,ok
main_cook_excluded,raw_dense,val3dity_valid,binary,attributes_plus_observation,logistic,124,recon_score_median,-0.615277,2.024675,-4.583640,3.353087,ok
main,raw_dense,rf_rmse_lod22,continuous,attributes_only,huber_rlm,131,pt_density_m2_reg,0.228347,0.059181,0.112353,0.344341,ok
main,raw_dense,rf_rmse_lod22,continuous,attributes_only,huber_rlm,131,coverage_frac_reg,-0.058749,0.054764,-0.166087,0.048589,ok
main,raw_dense,rf_rmse_lod22,continuous,attributes_only,huber_rlm,131,local_plane_rms_m,0.153491,0.049534,0.056403,0.250578,ok
main,raw_dense,rf_rmse_lod22,continuous,attributes_only,huber_rlm,131,floater_frac,-0.005058,0.048600,-0.100314,0.090197,ok
