source_run,source_group,label,n,has_lod22,val3dity_valid,미조립,지붕면0 성공,무효·붕괴,조립,mean_completeness,mean_correctness,median_ref_rms_m,mean_ref_rms_m
raw_sparse,raw_sparse,raw sparse,18,2,18,16,0,0,2,0.0556,1.0000,1.8555,1.8555
raw_dense,raw_dense,raw dense(MVS),18,10,15,8,0,0,10,0.4583,0.7833,0.9896,1.4624
raw_acmp,raw_acmp,raw acmp,18,12,17,6,0,1,11,0.5556,0.4794,2.1467,3.7305
gs_sparse_r1,gs_sparse,GS sparse r1,18,9,14,9,0,4,5,0.1528,0.3651,6.8284,7.6422
gs_sparse_r2,gs_sparse,GS sparse r2,18,11,16,7,0,2,9,0.2361,0.5668,6.8449,7.7565
gs_dense_r1,gs_dense,GS dense r1,18,8,15,10,0,3,5,0.1250,0.4250,7.1227,7.2875
gs_dense_r2,gs_dense,GS dense r2,18,13,16,5,0,3,10,0.3472,0.6209,3.9967,5.5431
gs_acmp_r1,gs_acmp,GS acmp r1,18,9,15,9,0,3,6,0.2361,0.5503,4.6174,7.3087
gs_acmp_r2,gs_acmp,GS acmp r2,18,11,14,7,0,4,7,0.2639,0.5331,5.9575,7.1370
lidar,lidar,LiDAR (완전측량 기준선),18,15,14,3,0,1,14,0.8333,0.7137,0.2512,0.6968
reference,reference,참조 LoD2,18,18,18,0,0,0,0,1.0000,1.0000,0.0000,0.0000
