arm,replicate,run_name,z_min,z_max,n_gaussians,fraction_of_all,opacity_p50,ckpt
s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,566.0000,568.0000,2383,0.00439502,0.2827,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/ckpt/final.pt
s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,568.0000,570.0000,4415,0.00814268,0.5014,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/ckpt/final.pt
s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,570.0000,572.0000,8608,0.01587591,0.8047,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/ckpt/final.pt
s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,572.0000,574.0000,9668,0.01783089,0.7413,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/ckpt/final.pt
s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,574.0000,576.0000,17217,0.03175367,0.8314,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/ckpt/final.pt
s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,576.0000,578.0000,33221,0.06127018,0.9306,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/ckpt/final.pt
s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,578.0000,580.0000,59709,0.11012256,0.8674,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/ckpt/final.pt
s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,580.0000,582.0000,80521,0.14850656,0.8568,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/ckpt/final.pt
s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,582.0000,584.0000,58736,0.10832803,0.8685,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/ckpt/final.pt
s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,584.0000,586.0000,52921,0.09760331,0.8758,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/ckpt/final.pt
s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,586.0000,588.0000,26362,0.04861999,0.9642,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/ckpt/final.pt
s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,588.0000,590.0000,18056,0.03330106,0.7126,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/ckpt/final.pt
s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,590.0000,592.0000,23997,0.04425817,0.8005,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/ckpt/final.pt
s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,592.0000,594.0000,29342,0.05411606,0.5852,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/ckpt/final.pt
s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,594.0000,596.0000,25959,0.04787673,0.7857,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/ckpt/final.pt
s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,596.0000,598.0000,27465,0.05065427,0.6742,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/ckpt/final.pt
s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,598.0000,600.0000,11386,0.02099944,0.8045,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/ckpt/final.pt
s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,600.0000,602.0000,7500,0.01383241,0.9655,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/ckpt/final.pt
s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,602.0000,604.0000,8420,0.01552918,0.9489,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/ckpt/final.pt
s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,604.0000,606.0000,6675,0.01231084,0.9345,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/ckpt/final.pt
s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,606.0000,608.0000,7948,0.01465866,0.5004,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/ckpt/final.pt
