setting,run_name,arm,replicate,coverage_pre_minobs,coverage_post_minobs,coverage_post_sor,drop_pre_to_minobs,drop_minobs_to_sor,drop_pre_to_final
base,gs_e5_C001_s3a_semantic_guided_r1,s3a,r1,0.5942,0.2488,0.1209,0.3454,0.1279,0.4733
base,gs_e5_C001_s3a_semantic_guided_r2,s3a,r2,0.6638,0.2510,0.1428,0.4128,0.1082,0.5210
