row_scope,arm,replicate,run_name,claim_scope,axis1_completeness_threshold,axis1_authentic_count,axis1_authentic_buildings,axis1_textureless_detail,axis1_locked_line_met,axis2_accuracy_threshold,axis2_pair_count,axis2_expected_pair_count,axis2_paired_median_delta_vs_arm1p_m,axis2_paired_max_delta_vs_arm1p_m,axis2_catastrophe_count,axis2_pair_detail,axis2_locked_line_met,axis2_observed_median_delta_vs_s1_dense_r1_m,axis3_shape_scoring,axis3_pk_mode_ge1_azimuth_within25_buildings,axis3_pk_any_mode_ge1_azimuth_within25,shape_4907185_mode_count,shape_4907185_azimuths_deg,shape_4907185_azimuth_min_delta_deg,shape_4907185_mode_ge1_azimuth_within25,shape_60098_mode_count,shape_60098_azimuths_deg,shape_60098_azimuth_min_delta_deg,shape_60098_mode_ge1_azimuth_within25,axis4_validity_scoring,axis4_assembled_count,axis4_valid_assembled_count,axis4_invalid_assembled_count,axis4_error302_repaired,axis4_error302_arm1p_same_replicate,axis4_error302_delta_vs_arm1p,axis5_cleaning_scoring,axis5_final_n_gaussians,axis5_n_threshold,axis5_n_within_threshold,axis5_rend_dist_mean_tail_m,axis5_rend_dist_threshold_m,axis5_rend_dist_within_threshold,axis5_both_observations_within,all18_median_ref_rms_m,locked_i_and_ii_this_run,prediction_pj_5k_textureless_counts,watch_4907202_5k_count,watch_4907202_10k_count,watch_4907202_survival_ratio,watch_s2p_reference_survival_ratio,watch_survival_above_s2p_reference,human_verdict,paired_base_run,ckpt,readout,two_run_axis1_both_met,two_run_axis2_both_met,two_run_i_and_ii_both_met,mechanical_branch_material
run,s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,oracle-label mechanism upper bound; not FM/paper claim,textureless3 authentic>=1; authentic=rms<=3m AND valid AND completeness>=0.5,0,,"4907199:authentic=false,rms=9.0790,valid=false,completeness=0.0000;8568391:authentic=false,rms=,valid=true,completeness=0.0000;8568392:authentic=false,rms=,valid=true,completeness=0.0000",false,good6 paired vs Arm1p same replicate: median<=+0.3m AND catastrophe(+1.5m)>0 count=0,4,6,2.0362,11.4519,3,"4907184:s3=1.9110,arm1p=0.3276,delta=1.5834;4907185:s3=4.2081,arm1p=3.2180,delta=0.9901;4907198:s3=4.4825,arm1p=1.9936,delta=2.4889;4907202:s3=,arm1p=,delta=;4908168:s3=,arm1p=8.8290,delta=;4908178:s3=12.1106,arm1p=0.6587,delta=11.4519",false,2.6944,observation_only; RMS good with mode_count=0 is not shape success,60098,true,0,,,false,1,269.8,20.9000,true,observation_only,9,6,3,6.0000,6.0000,0.0000,observation_only; N<=1150636 and rend_dist<=0.5 monitored,542205.0000,1150636,true,0.4957,0.5,true,true,9.0790,false,4907199=129;8568391=14;8568392=1,432.0000,31.0000,0.071759,0.082073,false,not_assigned,gs_e5_C001_s2p_arm1p_dense_r1,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/ckpt/final.pt,canonical base; post-Roofer ring-only 405 overlay; repaired evaluation,,,,
run,s3a,r2,gs_e5_C001_s3a_semantic_guided_r2,oracle-label mechanism upper bound; not FM/paper claim,textureless3 authentic>=1; authentic=rms<=3m AND valid AND completeness>=0.5,0,,"4907199:authentic=false,rms=5.7497,valid=false,completeness=1.0000;8568391:authentic=false,rms=,valid=true,completeness=0.0000;8568392:authentic=false,rms=,valid=true,completeness=0.0000",false,good6 paired vs Arm1p same replicate: median<=+0.3m AND catastrophe(+1.5m)>0 count=0,4,6,0.7444,2.2008,2,"4907184:s3=1.9556,arm1p=0.3334,delta=1.6222;4907185:s3=3.9691,arm1p=4.1026,delta=-0.1335;4907198:s3=3.8269,arm1p=1.6261,delta=2.2008;4907202:s3=1.3001,arm1p=6.2353,delta=-4.9352;4908168:s3=,arm1p=,delta=;4908178:s3=4.4598,arm1p=,delta=",false,2.1623,observation_only; RMS good with mode_count=0 is not shape success,4907185,true,1,235.2,13.6000,true,1,301.3,52.4000,false,observation_only,11,9,2,4.0000,8.0000,-4.0000,observation_only; N<=1150636 and rend_dist<=0.5 monitored,541070.0000,1150636,true,0.3606,0.5,true,true,5.7497,false,4907199=380;8568391=1;8568392=1,446.0000,28.0000,0.062780,0.082073,false,not_assigned,gs_e5_C001_s2p_arm1p_dense_r2,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r2/ckpt/final.pt,canonical base; post-Roofer ring-only 405 overlay; repaired evaluation,,,,
two_run_aggregate,s3a,r1+r2,s3a_two_run_aggregate,oracle-label mechanism upper bound; not FM/paper claim,,,,,false,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_applicable,,,,,,,not_assigned,,,aggregate of r1/r2 mechanical observations only,false,false,false,one_or_more_locked_lines_not_observed_in_both_runs
