metric,n,median,p10,p25,p75,p90
DIM density pts/m2,71,341.331,70.518,145.479,635.620,835.887
DIM hole ratio,71,0.000,0.000,0.000,0.006,0.092
DIM plane RMSE m,71,0.652,0.059,0.355,1.087,2.083
ALS density pts/m2,71,19.295,12.845,17.252,20.094,21.685
ALS hole ratio,71,0.000,0.000,0.000,0.000,0.000
ALS plane RMSE m,71,0.663,0.057,0.240,1.077,1.604
View count,71,289.000,183.000,228.500,376.000,395.000
Median incidence deg,71,60.644,56.096,57.691,63.380,68.075
Occlusion-risk view fraction,71,0.045,0.000,0.000,0.286,0.549
