population,n,als_success,dim_success,both_success,als_only,dim_only,both_fail,als_val3dity_valid,dim_val3dity_valid
full_199,199,166/199 (83.4%),102/199 (51.3%),93/199 (46.7%),73/199 (36.7%),9/199 (4.5%),24/199 (12.1%),167/199 (83.9%),167/199 (83.9%)
both_attempted_179,179,166/179 (92.7%),102/179 (57.0%),93/179 (52.0%),73/179 (40.8%),9/179 (5.0%),4/179 (2.2%),167/179 (93.3%),167/179 (93.3%)
coverage_controlled_93,93,87/93 (93.5%),75/93 (80.6%),71/93 (76.3%),16/93 (17.2%),4/93 (4.3%),2/93 (2.2%),88/93 (94.6%),83/93 (89.2%)
