building_id,als_missing_roofer_output,dim_missing_roofer_output,same_missing_state,diagnosis,action,future_fix,area_m2,min_x,min_y,max_x,max_y,centroid_in_box,fully_inside_box,bbox_intersects_box,ring_closed,ring_area_positive
DEBY_LOD2_108247349,yes,yes,yes,footprint_intersects_box_but_centroid_outside,exclude_from_both_attempted_population,rerun_with_expanded_or_no_roofer_box_if_aoi_edge_buildings_are_required,101.102,690778.390,5336051.520,690793.360,5336063.540,no,no,yes,yes,yes
DEBY_LOD2_42364661,yes,yes,yes,footprint_intersects_box_but_centroid_outside,exclude_from_both_attempted_population,rerun_with_expanded_or_no_roofer_box_if_aoi_edge_buildings_are_required,58.561,691082.728,5336353.129,691093.350,5336362.490,no,no,yes,yes,yes
DEBY_LOD2_4906990,yes,yes,yes,footprint_intersects_box_but_centroid_outside,exclude_from_both_attempted_population,rerun_with_expanded_or_no_roofer_box_if_aoi_edge_buildings_are_required,292.582,690974.910,5336346.100,690996.420,5336369.250,no,no,yes,yes,yes
DEBY_LOD2_4906997,yes,yes,yes,footprint_intersects_box_but_centroid_outside,exclude_from_both_attempted_population,rerun_with_expanded_or_no_roofer_box_if_aoi_edge_buildings_are_required,193.582,690946.557,5336353.498,690963.169,5336374.162,no,no,yes,yes,yes
DEBY_LOD2_4907000,yes,yes,yes,footprint_intersects_box_but_centroid_outside,exclude_from_both_attempted_population,rerun_with_expanded_or_no_roofer_box_if_aoi_edge_buildings_are_required,198.246,690895.340,5336351.800,690915.600,5336368.830,no,no,yes,yes,yes
DEBY_LOD2_4907011,yes,yes,yes,footprint_intersects_box_but_centroid_outside,exclude_from_both_attempted_population,rerun_with_expanded_or_no_roofer_box_if_aoi_edge_buildings_are_required,194.988,690828.452,5336348.984,690847.668,5336366.304,no,no,yes,yes,yes
DEBY_LOD2_4907035,yes,yes,yes,footprint_intersects_box_but_centroid_outside,exclude_from_both_attempted_population,rerun_with_expanded_or_no_roofer_box_if_aoi_edge_buildings_are_required,325.258,690764.617,5336257.499,690794.487,5336278.362,no,no,yes,yes,yes
DEBY_LOD2_4907156,yes,yes,yes,footprint_intersects_box_but_centroid_outside,exclude_from_both_attempted_population,rerun_with_expanded_or_no_roofer_box_if_aoi_edge_buildings_are_required,295.441,690773.948,5336218.085,690793.578,5336243.459,no,no,yes,yes,yes
DEBY_LOD2_4907164,yes,yes,yes,footprint_intersects_box_but_centroid_outside,exclude_from_both_attempted_population,rerun_with_expanded_or_no_roofer_box_if_aoi_edge_buildings_are_required,322.770,690771.170,5336137.667,690792.382,5336166.519,no,no,yes,yes,yes
DEBY_LOD2_4907166,yes,yes,yes,footprint_intersects_box_but_centroid_outside,exclude_from_both_attempted_population,rerun_with_expanded_or_no_roofer_box_if_aoi_edge_buildings_are_required,160.195,690780.929,5336162.063,690797.260,5336178.584,no,no,yes,yes,yes
DEBY_LOD2_4907194,yes,yes,yes,footprint_intersects_box_but_centroid_outside,exclude_from_both_attempted_population,rerun_with_expanded_or_no_roofer_box_if_aoi_edge_buildings_are_required,212.727,690774.550,5336076.450,690792.810,5336096.540,no,no,yes,yes,yes
DEBY_LOD2_4907208,yes,yes,yes,footprint_intersects_box_but_centroid_outside,exclude_from_both_attempted_population,rerun_with_expanded_or_no_roofer_box_if_aoi_edge_buildings_are_required,284.496,690774.410,5335988.900,690794.220,5336011.890,no,no,yes,yes,yes
DEBY_LOD2_4908059,yes,yes,yes,footprint_intersects_box_but_centroid_outside,exclude_from_both_attempted_population,rerun_with_expanded_or_no_roofer_box_if_aoi_edge_buildings_are_required,87.068,690778.010,5336329.410,690792.410,5336340.360,no,no,yes,yes,yes
DEBY_LOD2_4908172,yes,yes,yes,footprint_intersects_box_but_centroid_outside,exclude_from_both_attempted_population,rerun_with_expanded_or_no_roofer_box_if_aoi_edge_buildings_are_required,39.803,690786.482,5336120.418,690794.105,5336134.225,no,no,yes,yes,yes
DEBY_LOD2_4908179,yes,yes,yes,footprint_intersects_box_but_centroid_outside,exclude_from_both_attempted_population,rerun_with_expanded_or_no_roofer_box_if_aoi_edge_buildings_are_required,118.250,690774.840,5336044.130,690795.840,5336057.150,no,no,yes,yes,yes
DEBY_LOD2_4959314,yes,yes,yes,footprint_intersects_box_but_centroid_outside,exclude_from_both_attempted_population,rerun_with_expanded_or_no_roofer_box_if_aoi_edge_buildings_are_required,833.102,691140.040,5336148.660,691188.310,5336197.720,no,no,yes,yes,yes
DEBY_LOD2_4959465,yes,yes,yes,footprint_intersects_box_but_centroid_outside,exclude_from_both_attempted_population,rerun_with_expanded_or_no_roofer_box_if_aoi_edge_buildings_are_required,212.270,691015.940,5336348.570,691041.530,5336368.680,no,no,yes,yes,yes
DEBY_LOD2_4959759,yes,yes,yes,footprint_intersects_box_but_centroid_outside,exclude_from_both_attempted_population,rerun_with_expanded_or_no_roofer_box_if_aoi_edge_buildings_are_required,59.047,691150.102,5336340.460,691163.196,5336349.033,no,no,yes,yes,yes
DEBY_LOD2_60109,yes,yes,yes,footprint_intersects_box_but_centroid_outside,exclude_from_both_attempted_population,rerun_with_expanded_or_no_roofer_box_if_aoi_edge_buildings_are_required,1838.387,690729.070,5335934.090,690796.680,5335984.000,no,no,yes,yes,yes
DEBY_LOD2_8573847,yes,yes,yes,footprint_intersects_box_but_centroid_outside,exclude_from_both_attempted_population,rerun_with_expanded_or_no_roofer_box_if_aoi_edge_buildings_are_required,696.578,691141.300,5336297.870,691172.350,5336340.460,no,no,yes,yes,yes
