metric,n_paired_finite,als_median,dim_median,dim_minus_als,dim_over_als,definition
internal_boundary_chamfer_m,35,0.345675,0.377285,0.031610,1.091444,matched roof-surface shared boundaries sampled at 0.50 m
internal_boundary_hausdorff_m,35,1.470091,1.744066,0.273975,1.186366,matched roof-surface shared boundaries sampled at 0.50 m
