population,n,als_success,dim_success,both_success,als_only,dim_only,both_fail
full_199,199,163/199 (81.9%),102/199 (51.3%),89/199 (44.7%),74/199 (37.2%),13/199 (6.5%),23/199 (11.6%)
both_attempted_179,179,163/179 (91.1%),102/179 (57.0%),89/179 (49.7%),74/179 (41.3%),13/179 (7.3%),3/179 (1.7%)
coverage_controlled,93,84/93 (90.3%),75/93 (80.6%),67/93 (72.0%),17/93 (18.3%),8/93 (8.6%),1/93 (1.1%)
