building_id,ref_roof_planes,als_pred_roof_planes,dim_pred_roof_planes,als_plane_tp,als_plane_precision,als_plane_recall,als_plane_f1,als_mean_matched_iou,als_boundary_chamfer_m,als_boundary_hausdorff_m,als_boundary_ref_samples,als_boundary_pred_samples,als_height_bias_m,als_height_nmad_m,als_height_sample_count,dim_plane_tp,dim_plane_precision,dim_plane_recall,dim_plane_f1,dim_mean_matched_iou,dim_boundary_chamfer_m,dim_boundary_hausdorff_m,dim_boundary_ref_samples,dim_boundary_pred_samples,dim_height_bias_m,dim_height_nmad_m,dim_height_sample_count,dim_minus_als_plane_f1,dim_over_als_boundary_chamfer,dim_over_als_boundary_hausdorff,dim_minus_als_height_bias_m,dim_over_als_height_nmad
DEBY_LOD2_108246888,4,2,2,1,0.500000,0.250000,0.333333,0.521607,0.000779,0.001437,31,31,0.058540,0.093591,13,1,0.500000,0.250000,0.333333,0.564268,0.000810,0.001437,31,31,0.018154,0.102883,13,0.000000,1.039663,0.999868,-0.040387,1.099286
DEBY_LOD2_108580336,14,27,54,13,0.481481,0.928571,0.634146,0.837738,0.208486,0.249900,884,885,-0.077944,0.059665,17667,11,0.203704,0.785714,0.323529,0.787956,1.553911,18.045454,884,1019,-0.124156,0.085869,10127,-0.310617,7.453311,72.210840,-0.046212,1.439195
DEBY_LOD2_42364657,1,1,1,1,1.000000,1.000000,1.000000,0.999670,0.167230,0.169420,107,107,-0.098575,0.042033,429,1,1.000000,1.000000,1.000000,0.999670,0.167230,0.169420,107,107,-0.166200,0.065898,429,0.000000,1.000000,1.000000,-0.067625,1.567781
DEBY_LOD2_42364665,1,2,2,1,0.500000,1.000000,0.666667,0.939207,0.243854,0.246944,119,119,-0.034908,0.455324,187,1,0.500000,1.000000,0.666667,0.855791,0.121941,0.324506,119,119,-0.102872,0.429084,169,0.000000,0.500056,1.314090,-0.067964,0.942370
DEBY_LOD2_42364667,1,2,1,1,0.500000,1.000000,0.666667,0.995826,0.230298,0.233121,111,111,0.055796,0.046961,183,1,1.000000,1.000000,1.000000,0.999408,0.230298,0.233121,111,111,-0.013256,0.052996,183,0.333333,0.999999,1.000000,-0.069052,1.128517
DEBY_LOD2_4906966,6,10,12,5,0.500000,0.833333,0.625000,0.790439,0.122990,8.223652,437,434,0.141602,0.315374,4571,4,0.333333,0.666667,0.444444,0.829034,0.247791,8.223871,437,434,0.429075,0.372544,2841,-0.180556,2.014726,1.000027,0.287472,1.181278
DEBY_LOD2_4906968,8,8,46,4,0.500000,0.500000,0.500000,0.570466,0.038573,0.039799,543,543,-0.156366,0.374298,4019,1,0.021739,0.125000,0.037037,0.522752,0.170553,2.527513,543,542,-0.279947,0.116587,924,-0.462963,4.421600,63.507483,-0.123581,0.311482
DEBY_LOD2_4906969,3,4,11,3,0.750000,1.000000,0.857143,0.762831,0.128671,0.129887,111,111,-0.033193,0.036436,601,2,0.181818,0.666667,0.285714,0.702438,0.156744,0.157703,111,111,0.072677,0.149339,372,-0.571429,1.218173,1.214159,0.105870,4.098655
DEBY_LOD2_4906970,2,6,5,2,0.333333,1.000000,0.500000,0.574448,0.188442,0.189491,102,102,0.485831,0.549095,361,2,0.400000,1.000000,0.571429,0.834751,0.126318,0.247778,102,103,0.549583,0.511391,534,0.071429,0.670330,1.307598,0.063752,0.931334
DEBY_LOD2_4906972,3,3,3,3,1.000000,1.000000,1.000000,0.968226,0.233203,0.242373,179,179,0.204294,0.156036,1465,3,1.000000,1.000000,1.000000,0.956096,0.231143,0.234334,179,179,0.124820,0.164423,1461,0.000000,0.991166,0.966835,-0.079474,1.053752
