building_id,in_full_199,in_control_93,in_failure_8,paired_category,coverage_control_population,dim_failure_bucket_v1,floor_area_m2,perimeter_m,exterior_vertex_count,part_count,height_m,height_source_files,height_coordinate_count
DEBY_LOD2_4906997,yes,no,no,both_fail,no,aoi_edge_excluded,193.582,57.541,11,1,21.600,690_5336.gml,73
DEBY_LOD2_4906998,yes,no,no,DIM_only,no,success,326.336,78.804,10,1,22.190,690_5336.gml,91
DEBY_LOD2_4906999,yes,no,no,ALS_only,no,coverage,221.160,63.435,14,1,19.640,690_5336.gml,107
DEBY_LOD2_4907000,yes,no,no,both_fail,no,aoi_edge_excluded,198.246,57.550,9,1,19.458,690_5336.gml,72
DEBY_LOD2_4907011,yes,no,no,both_fail,no,aoi_edge_excluded,194.988,56.666,13,1,19.992,690_5336.gml,84
DEBY_LOD2_4907012,yes,no,no,ALS_only,no,coverage,51.113,33.136,10,1,21.200,690_5336.gml,66
DEBY_LOD2_4907013,yes,no,no,ALS_only,no,coverage,116.320,43.593,6,1,21.305,690_5336.gml,41
DEBY_LOD2_4907014,yes,no,no,ALS_only,no,coverage,149.949,49.210,10,1,20.538,690_5336.gml,70
DEBY_LOD2_4907015,yes,no,no,ALS_only,no,coverage,168.434,52.533,8,1,20.500,690_5336.gml,59
DEBY_LOD2_4907016,yes,no,no,ALS_only,no,coverage,282.211,70.875,11,1,20.390,690_5336.gml,70
DEBY_LOD2_4907017,yes,no,no,ALS_only,no,validity,287.672,71.675,8,1,20.400,690_5336.gml,55
DEBY_LOD2_4907018,yes,yes,no,both_success,yes,success,257.297,66.839,15,1,22.110,690_5336.gml,101
DEBY_LOD2_4907019,yes,no,no,ALS_only,no,coverage,206.424,59.367,6,1,19.035,690_5336.gml,49
DEBY_LOD2_4907020,yes,yes,no,both_success,yes,success,330.555,78.868,9,1,22.393,690_5336.gml,72
DEBY_LOD2_4907021,yes,no,no,ALS_only,no,coverage,249.031,66.485,26,1,18.720,690_5336.gml,165
DEBY_LOD2_4907022,yes,no,no,ALS_only,no,coverage,240.906,65.338,29,1,18.700,690_5336.gml,180
DEBY_LOD2_4907023,yes,yes,no,both_success,yes,success,181.232,54.121,6,1,22.370,690_5336.gml,41
DEBY_LOD2_4907024,yes,yes,no,both_success,yes,success,289.031,71.964,7,1,22.415,690_5336.gml,48
DEBY_LOD2_4907025,yes,yes,no,ALS_only,yes,validity,468.750,100.825,25,1,22.618,690_5336.gml,165
DEBY_LOD2_4907026,yes,no,no,both_success,no,success,132.693,46.705,8,1,22.440,690_5336.gml,58
DEBY_LOD2_4907027,yes,no,no,ALS_only,no,coverage,264.336,67.838,9,1,22.310,690_5336.gml,59
DEBY_LOD2_4907028,yes,no,no,both_success,no,success,199.660,57.180,8,1,22.190,690_5336.gml,49
DEBY_LOD2_4907029,yes,no,no,ALS_only,no,coverage,425.699,100.397,10,1,18.245,690_5336.gml,74
DEBY_LOD2_4907030,yes,no,no,ALS_only,no,coverage,177.418,54.567,16,1,22.944,690_5336.gml,105
DEBY_LOD2_4907031,yes,no,no,ALS_only,no,coverage,163.719,51.318,9,1,22.040,690_5336.gml,59
DEBY_LOD2_4907032,yes,no,no,ALS_only,no,coverage,375.523,91.492,14,1,19.600,690_5336.gml,100
DEBY_LOD2_4907033,yes,no,no,ALS_only,no,coverage,128.949,45.449,12,1,22.960,690_5336.gml,83
DEBY_LOD2_4907034,yes,no,no,ALS_only,no,coverage,549.504,125.026,11,1,19.500,690_5336.gml,89
DEBY_LOD2_4907035,yes,no,no,both_fail,no,aoi_edge_excluded,325.258,78.580,9,1,23.230,690_5336.gml,56
