p0_section6_item,observed_value,threshold_value,observed_minus_threshold,definition
plane_f1_drop,0.128571,0.100000,0.028571,ALS median plane_f1 - DIM median plane_f1
boundary_chamfer_ratio,1.083626,1.500000,-0.416374,DIM median boundary_chamfer_m / ALS median boundary_chamfer_m
boundary_hausdorff_ratio,0.993783,1.500000,-0.506217,DIM median boundary_hausdorff_m / ALS median boundary_hausdorff_m
