bid,source,stage3_algo_version,metric_version,status,metric_artifact_dir,readout_artifact_dir,failure_reason,n_faces,n_roof_faces,n_wall_faces,n_ground_faces,roof_cov,wall_cov,ground_cov,semantic_face_acc,face_planarity_mean,face_planarity_max,support_coverage,F,precision,recall,h_err,vol_ratio,hausdorff,chamfer,footprint_IoU,edge_ok,open_edges,nonmanifold_edges,roof_wall_adjacency_count,wall_ground_adjacency_count,shell_completeness,roof_support_cov,wall_support_cov,ground_support_cov,support_cov,non_manifold_edges,source_family,footprint_buffer_m,bid_int
B3,E1_Baseline_rendered_buffer_0.25m,Stage3Algo-v1,Metric-v1,OK,results/footprint_conditioned_readout/FC_S3_mutual_loss_alignment_g2_target_definition/phase5_footprint_sensitivity/metric_v1/buffer_0.25m/E1_Baseline_rendered/B3,results/footprint_conditioned_readout/FC_S3_mutual_loss_alignment_g2_target_definition/phase5_footprint_sensitivity/readout/buffer_0.25m/E1_Baseline_rendered/B3,,83,40,42,1,0.144,0.593,0.0,0.7613333333333333,1.244821960752288e-15,7.773900408399412e-15,0.23566666666666666,0.3030712125378059,0.3011666666666667,0.305,2.866413655423827,0.9321828271184259,11.093890265059906,1.1337004632126122,1.0,True,0,0,42,42,CLOSED,0.298,0.402,0.031,0.23566666666666666,0,E1_Baseline_rendered,0.25,3
B3,E2_Mutual_rendered_buffer_0.25m,Stage3Algo-v1,Metric-v1,OK,results/footprint_conditioned_readout/FC_S3_mutual_loss_alignment_g2_target_definition/phase5_footprint_sensitivity/metric_v1/buffer_0.25m/E2_Mutual_rendered/B3,results/footprint_conditioned_readout/FC_S3_mutual_loss_alignment_g2_target_definition/phase5_footprint_sensitivity/readout/buffer_0.25m/E2_Mutual_rendered/B3,,83,40,42,1,0.15833333333333333,0.595,0.0,0.763,1.3072713388890363e-15,8.533737046452868e-15,0.232,0.3065956521739131,0.302,0.31133333333333335,2.4390101205421217,0.9302733590807277,11.052097322101742,1.1473743769983433,1.0,True,0,0,42,42,CLOSED,0.279,0.425,0.027,0.232,0,E2_Mutual_rendered,0.25,3
B123,E1_Baseline_rendered_buffer_0.25m,Stage3Algo-v1,Metric-v1,OK,results/footprint_conditioned_readout/FC_S3_mutual_loss_alignment_g2_target_definition/phase5_footprint_sensitivity/metric_v1/buffer_0.25m/E1_Baseline_rendered/B123,results/footprint_conditioned_readout/FC_S3_mutual_loss_alignment_g2_target_definition/phase5_footprint_sensitivity/readout/buffer_0.25m/E1_Baseline_rendered/B123,,55,26,28,1,0.16566666666666666,0.6376666666666667,0.0,0.8281666666666667,1.6344335845657691e-15,7.293265168272619e-15,0.3273333333333333,0.41738631830873557,0.4315,0.4041666666666667,0.808992321656838,0.9568999308914184,5.305519254153722,0.9059454264762558,1.0,True,0,0,28,28,CLOSED,0.292,0.628,0.088,0.3273333333333333,0,E1_Baseline_rendered,0.25,123
B123,E2_Mutual_rendered_buffer_0.25m,Stage3Algo-v1,Metric-v1,OK,results/footprint_conditioned_readout/FC_S3_mutual_loss_alignment_g2_target_definition/phase5_footprint_sensitivity/metric_v1/buffer_0.25m/E2_Mutual_rendered/B123,results/footprint_conditioned_readout/FC_S3_mutual_loss_alignment_g2_target_definition/phase5_footprint_sensitivity/readout/buffer_0.25m/E2_Mutual_rendered/B123,,55,26,28,1,0.148,0.6426666666666667,0.9716666666666667,0.842,1.630901312975517e-15,8.50518462195344e-15,0.31366666666666665,0.5896270715630886,0.6048333333333333,0.5751666666666667,0.16749383453391076,0.7755611661580233,5.348908854212128,0.8531544894787632,1.0,True,0,0,28,28,CLOSED,0.272,0.613,0.088,0.31366666666666665,0,E2_Mutual_rendered,0.25,123
B126,E1_Baseline_rendered_buffer_0.25m,Stage3Algo-v1,Metric-v1,OK,results/footprint_conditioned_readout/FC_S3_mutual_loss_alignment_g2_target_definition/phase5_footprint_sensitivity/metric_v1/buffer_0.25m/E1_Baseline_rendered/B126,results/footprint_conditioned_readout/FC_S3_mutual_loss_alignment_g2_target_definition/phase5_footprint_sensitivity/readout/buffer_0.25m/E1_Baseline_rendered/B126,,49,23,25,1,0.15233333333333332,0.6223333333333333,0.9883333333333333,0.7438333333333333,2.7024314503664205e-15,1.0890134665614142e-14,0.23433333333333337,0.5582371938192477,0.5808333333333333,0.5373333333333333,1.2039718261126673,0.2119171369317909,5.417874489875546,1.027486247635541,1.0,True,0,0,25,25,CLOSED,0.229,0.463,0.037,0.23433333333333337,0,E1_Baseline_rendered,0.25,126
B126,E2_Mutual_rendered_buffer_0.25m,Stage3Algo-v1,Metric-v1,OK,results/footprint_conditioned_readout/FC_S3_mutual_loss_alignment_g2_target_definition/phase5_footprint_sensitivity/metric_v1/buffer_0.25m/E2_Mutual_rendered/B126,results/footprint_conditioned_readout/FC_S3_mutual_loss_alignment_g2_target_definition/phase5_footprint_sensitivity/readout/buffer_0.25m/E2_Mutual_rendered/B126,,49,23,25,1,0.15533333333333332,0.6223333333333333,0.962,0.7398333333333333,2.728123087403547e-15,1.0862379089998514e-14,0.2406666666666667,0.5375757200371633,0.556,0.5203333333333333,1.1413084728089409,0.4749152144867128,5.416819502782191,1.040738371014752,1.0,True,0,0,25,25,CLOSED,0.241,0.463,0.045,0.2406666666666667,0,E2_Mutual_rendered,0.25,126
B50,E1_Baseline_rendered_buffer_0.25m,Stage3Algo-v1,Metric-v1,OK,results/footprint_conditioned_readout/FC_S3_mutual_loss_alignment_g2_target_definition/phase5_footprint_sensitivity/metric_v1/buffer_0.25m/E1_Baseline_rendered/B50,results/footprint_conditioned_readout/FC_S3_mutual_loss_alignment_g2_target_definition/phase5_footprint_sensitivity/readout/buffer_0.25m/E1_Baseline_rendered/B50,,19,8,10,1,0.5326666666666666,0.947,1.0,0.9386666666666666,1.012854013833384e-15,4.535652032484896e-15,0.4406666666666667,0.9257256278692951,0.9305,0.921,0.6489005868987547,0.9833327183369223,1.5425270509774753,0.2531120271521213,1.0,True,0,0,10,10,CLOSED,0.92,0.335,0.062,0.4406666666666667,0,E1_Baseline_rendered,0.25,50
B50,E2_Mutual_rendered_buffer_0.25m,Stage3Algo-v1,Metric-v1,OK,results/footprint_conditioned_readout/FC_S3_mutual_loss_alignment_g2_target_definition/phase5_footprint_sensitivity/metric_v1/buffer_0.25m/E2_Mutual_rendered/B50,results/footprint_conditioned_readout/FC_S3_mutual_loss_alignment_g2_target_definition/phase5_footprint_sensitivity/readout/buffer_0.25m/E2_Mutual_rendered/B50,,19,8,10,1,0.45366666666666666,0.9436666666666667,1.0,0.9268333333333333,8.97768906723278e-16,3.4024458178222215e-15,0.43166666666666664,0.9278314172804024,0.9291666666666667,0.9265,0.11877581492477418,1.0168548503753803,1.563030377051344,0.2433738831111827,1.0,True,0,0,10,10,CLOSED,0.916,0.341,0.015,0.43166666666666664,0,E2_Mutual_rendered,0.25,50
B104,E1_Baseline_rendered_buffer_0.25m,Stage3Algo-v1,Metric-v1,OK,results/footprint_conditioned_readout/FC_S3_mutual_loss_alignment_g2_target_definition/phase5_footprint_sensitivity/metric_v1/buffer_0.25m/E1_Baseline_rendered/B104,results/footprint_conditioned_readout/FC_S3_mutual_loss_alignment_g2_target_definition/phase5_footprint_sensitivity/readout/buffer_0.25m/E1_Baseline_rendered/B104,,7,2,4,1,1.0,0.94,0.0,0.8603333333333333,2.2233382198225263e-15,7.146456704764039e-15,0.7886666666666667,0.83941162514828,0.898,0.788,0.5551637048533427,0.8453612767430793,0.6967740549225012,0.1837185826984044,1.0,True,0,0,4,4,CLOSED,1.0,0.8,0.529,0.7886666666666667,0,E1_Baseline_rendered,0.25,104
B104,E2_Mutual_rendered_buffer_0.25m,Stage3Algo-v1,Metric-v1,OK,results/footprint_conditioned_readout/FC_S3_mutual_loss_alignment_g2_target_definition/phase5_footprint_sensitivity/metric_v1/buffer_0.25m/E2_Mutual_rendered/B104,results/footprint_conditioned_readout/FC_S3_mutual_loss_alignment_g2_target_definition/phase5_footprint_sensitivity/readout/buffer_0.25m/E2_Mutual_rendered/B104,,7,2,4,1,0.8793333333333333,0.7173333333333334,0.0,0.6886666666666666,2.2213019706430724e-15,7.317403294980697e-15,0.7616666666666667,0.7267878516528619,0.8593333333333333,0.6296666666666667,1.264200928417806,0.520145172370391,1.3976403857260822,0.38198104944280065,1.0,True,0,0,4,4,CLOSED,1.0,0.9,0.364,0.7616666666666667,0,E2_Mutual_rendered,0.25,104
