view_id,local_view_id,image_name,height,width,n_pixels_sampled,n_valid_samples,mean_alpha,mean_sem_conf
0,0,waypt_00_00_nadir.png,384,512,49152,47441,0.9489256143569946,0.9484506249427795
10,1,waypt_00_02_nadir.png,384,512,49152,46307,0.8405971527099609,0.9749221205711365
20,2,waypt_00_04_nadir.png,384,512,49152,48172,0.7849694490432739,0.9797380566596985
30,3,waypt_00_06_nadir.png,384,512,49152,48162,0.8983131647109985,0.9654982089996338
40,4,waypt_01_00_nadir.png,384,512,49152,47416,0.9428215622901917,0.9613617658615112
50,5,waypt_01_02_nadir.png,384,512,49152,46031,0.8182963728904724,0.9812481999397278
60,6,waypt_01_04_nadir.png,384,512,49152,48218,0.7413859367370605,0.9821773171424866
71,7,waypt_01_06_oblique_az000.png,384,512,49152,47868,0.7958511710166931,0.9811371564865112
81,8,waypt_02_00_oblique_az000.png,384,512,49152,47359,0.9233476519584656,0.9517769813537598
91,9,waypt_02_02_oblique_az000.png,384,512,49152,46796,0.7865960001945496,0.9685249328613281
101,10,waypt_02_04_oblique_az000.png,384,512,49152,47501,0.7282045483589172,0.9823645949363708
111,11,waypt_02_06_oblique_az000.png,384,512,49152,47716,0.7857720255851746,0.9813689589500427
121,12,waypt_03_00_oblique_az000.png,384,512,49152,48111,0.9284015893936157,0.9523811936378479
132,13,waypt_03_02_oblique_az090.png,384,512,49152,48604,0.760653555393219,0.9825708270072937
142,14,waypt_03_04_oblique_az090.png,384,512,49152,49152,0.8431723713874817,0.9762520790100098
152,15,waypt_03_06_oblique_az090.png,384,512,49152,48746,0.965196430683136,0.9614133238792419
162,16,waypt_04_00_oblique_az090.png,384,512,49152,46795,0.7954199314117432,0.9807371497154236
172,17,waypt_04_02_oblique_az090.png,384,512,49152,48818,0.7451714277267456,0.9843915104866028
182,18,waypt_04_04_oblique_az090.png,384,512,49152,49152,0.8085524439811707,0.9798323512077332
193,19,waypt_04_06_oblique_az180.png,384,512,49152,48888,0.9044093489646912,0.9693358540534973
203,20,waypt_05_00_oblique_az180.png,384,512,49152,47712,0.9410356283187866,0.9490140080451965
213,21,waypt_05_02_oblique_az180.png,384,512,49152,48707,0.8478569984436035,0.9718479514122009
223,22,waypt_05_04_oblique_az180.png,384,512,49152,48169,0.8299686312675476,0.9765798449516296
233,23,waypt_05_06_oblique_az180.png,384,512,49152,48634,0.8724476099014282,0.9719541072845459
243,24,waypt_06_00_oblique_az180.png,384,512,49152,48374,0.9325223565101624,0.9493473172187805
254,25,waypt_06_02_oblique_az270.png,384,512,49152,48829,0.9090961217880249,0.9456489682197571
264,26,waypt_06_04_oblique_az270.png,384,512,49152,48065,0.8522431254386902,0.9638689160346985
274,27,waypt_06_06_oblique_az270.png,384,512,49152,47767,0.6484724283218384,0.9803016781806946
284,28,waypt_07_00_oblique_az270.png,384,512,49152,49152,0.9994762539863586,0.8739830851554871
294,29,waypt_07_02_oblique_az270.png,384,512,49152,48910,0.9050623774528503,0.9420467615127563
304,30,waypt_07_04_oblique_az270.png,384,512,49152,48125,0.8785797357559204,0.9624804258346558
315,31,waypt_07_07_nadir.png,384,512,49152,48017,0.8264830708503723,0.9777324199676514
325,32,waypt_08_01_nadir.png,384,512,49152,48764,0.8192166686058044,0.9651872515678406
335,33,waypt_08_03_nadir.png,384,512,49152,48263,0.6842084527015686,0.9891412258148193
345,34,waypt_08_05_nadir.png,384,512,49152,47851,0.5378826260566711,0.9944702982902527
355,35,waypt_08_07_nadir.png,384,512,49152,48438,0.8180612325668335,0.9793742299079895
365,36,waypt_09_01_nadir.png,384,512,49152,48779,0.8217288255691528,0.963927686214447
376,37,waypt_09_03_oblique_az000.png,384,512,49152,48183,0.849678635597229,0.9715284705162048
386,38,waypt_09_05_oblique_az000.png,384,512,49152,48475,0.840151309967041,0.974923312664032
396,39,waypt_09_07_oblique_az000.png,384,512,49152,49147,0.904976487159729,0.9742698669433594
406,40,waypt_10_01_oblique_az000.png,384,512,49152,49096,0.9401509165763855,0.9341488480567932
416,41,waypt_10_03_oblique_az000.png,384,512,49152,48769,0.8776726126670837,0.9678623676300049
426,42,waypt_10_05_oblique_az000.png,384,512,49152,48938,0.8777512311935425,0.9722638726234436
437,43,waypt_10_07_oblique_az090.png,384,512,49152,49152,0.9994352459907532,0.9684208035469055
447,44,waypt_11_01_oblique_az090.png,384,512,49152,47989,0.8344435691833496,0.9800751805305481
457,45,waypt_11_03_oblique_az090.png,384,512,49152,48784,0.7754116058349609,0.9840127229690552
467,46,waypt_11_05_oblique_az090.png,384,512,49152,49124,0.8710266351699829,0.979637861251831
477,47,waypt_11_07_oblique_az090.png,384,512,49152,49152,0.9993185997009277,0.9724918007850647
487,48,waypt_12_01_oblique_az090.png,384,512,49152,47665,0.8436499238014221,0.9768035411834717
498,49,waypt_12_03_oblique_az180.png,384,512,49152,47250,0.7643482685089111,0.9801934361457825
508,50,waypt_12_05_oblique_az180.png,384,512,49152,47812,0.7254567742347717,0.986240565776825
518,51,waypt_12_07_oblique_az180.png,384,512,49152,48949,0.7867400646209717,0.9795992970466614
528,52,waypt_13_01_oblique_az180.png,384,512,49152,47441,0.8719285726547241,0.954282283782959
538,53,waypt_13_03_oblique_az180.png,384,512,49152,46724,0.7321235537528992,0.9801305532455444
548,54,waypt_13_05_oblique_az180.png,384,512,49152,48025,0.7132572531700134,0.9865921139717102
559,55,waypt_13_07_oblique_az270.png,384,512,49152,48428,0.825741171836853,0.9764297604560852
