run_label,series,building_count
01/1001,실제 owner assignment,22
01/1001,요구값,30
01/1002,실제 owner assignment,19
01/1002,요구값,30
02/1001,실제 owner assignment,20
02/1001,요구값,30
02/1002,실제 owner assignment,18
02/1002,요구값,30
03/1001,실제 owner assignment,21
03/1001,요구값,30
03/1002,실제 owner assignment,20
03/1002,요구값,30
04a/1001,실제 owner assignment,14
04a/1001,요구값,30
04a/1002,실제 owner assignment,18
04a/1002,요구값,30
04b/1001,실제 owner assignment,21
04b/1001,요구값,30
04b/1002,실제 owner assignment,15
04b/1002,요구값,30
