run_label,rows_in_0p5_to_2x,defined_rows,rate,first_iter,first_ratio
04a/1001,29,200,0.145,100,1.4919
04a/1002,25,200,0.125,400,1.9171
04b/1001,19,200,0.095,100,1.4247
04b/1002,11,200,0.055,400,1.8014
