source_id,source_role,condition_id,seed,cityjson_path,prediction_buildings_with_roofs,published_rms_n,published_rms_median_m,recomputed_zero_shift_rms_median_m,max_published_vs_recomputed_zero_shift_rms_delta_m,canonical_shift_m,datum_corrected_rms_n,datum_corrected_rms_median_m,published_hausdorff_median_m,recomputed_zero_shift_hausdorff_median_m,datum_corrected_hausdorff_median_m,datum_corrected_rms_lt_dense_bar,datum_corrected_rms_lt_2m
01_seed1001,honest,01,1001,phases/p2-gsjso/runs/20260721_pilot_1wave/training/postprocess/attempts/01_seed1001/prepare/attempt_001/runtime/assembled.city.json,22,22,46.523225975,46.52322597499821,4.2651748799471534e-10,-45.7,22,1.1808858555846529,50.077577199000004,50.07757719866879,5.047018604832601,False,True
01_seed1002,honest,01,1002,phases/p2-gsjso/runs/20260721_pilot_1wave/training/postprocess/attempts/01_seed1002/prepare/attempt_001/runtime/assembled.city.json,19,19,46.142043069,46.142043068849055,4.469811187846062e-10,-45.7,19,1.1521524591791086,50.508869492,50.508869491787664,5.252041390859972,False,True
02_seed1001,honest,02,1001,phases/p2-gsjso/runs/20260721_pilot_1wave/training/postprocess/attempts/02_seed1001/prepare/attempt_001/runtime/assembled.city.json,20,20,46.16791169,46.16791169004182,4.3082337697342155e-10,-45.7,20,0.9025034081807283,50.334764816,50.33476481578094,7.061631053836891,False,True
02_seed1002,honest,02,1002,phases/p2-gsjso/runs/20260721_pilot_1wave/training/postprocess/attempts/02_seed1002/prepare/attempt_001/runtime/assembled.city.json,18,18,46.216379677,46.216379677311764,4.377582740744401e-10,-45.7,18,0.9072511930373521,48.9927495525,48.992749552779344,3.2927495527792985,False,True
03_seed1001,honest,03,1001,phases/p2-gsjso/runs/20260721_pilot_1wave/training/postprocess/attempts/03_seed1001/prepare/attempt_001/runtime/assembled.city.json,21,21,46.453891436,46.45389143563069,4.970175382368325e-10,-45.7,21,1.6132311590194806,50.901065907,50.901065906719964,5.2010659067199185,False,True
03_seed1002,honest,03,1002,phases/p2-gsjso/runs/20260721_pilot_1wave/training/postprocess/attempts/03_seed1002/prepare/attempt_001/runtime/assembled.city.json,20,20,46.357164815,46.357164815057324,4.559836952466867e-10,-45.7,20,1.1064328999238713,48.403530834,48.4035308339179,2.908706366711556,False,True
04a_seed1001,honest,04a,1001,phases/p2-gsjso/runs/20260721_pilot_1wave/training/postprocess/attempts/04a_seed1001/prepare/attempt_001/runtime/assembled.city.json,14,14,48.778362097,48.77836209686733,4.805400521945558e-10,-45.7,14,7.300038826522236,62.778922103,62.77892210309227,18.46770591779773,False,False
04a_seed1002,honest,04a,1002,phases/p2-gsjso/runs/20260721_pilot_1wave/training/postprocess/attempts/04a_seed1002/prepare/attempt_001/runtime/assembled.city.json,18,18,44.815522612500004,44.81552261232675,4.858691227127565e-10,-45.7,18,4.108350333162838,48.123645498,48.12364549764652,7.230227899071622,False,False
04b_seed1001,seg_upperbound,04b,1001,phases/p2-gsjso/runs/20260721_pilot_1wave/training/postprocess/attempts/04b_seed1001/prepare/attempt_001/runtime/assembled.city.json,21,21,45.040129272,45.04012927186875,4.778186735165946e-10,-45.7,21,3.8348069055462095,50.770795252,50.77079525201623,11.281033470625857,False,False
04b_seed1002,seg_upperbound,04b,1002,phases/p2-gsjso/runs/20260721_pilot_1wave/training/postprocess/attempts/04b_seed1002/prepare/attempt_001/runtime/assembled.city.json,15,15,46.842713238,46.84271323830299,4.6219383875722997e-10,-45.7,15,5.984301152909939,63.503668308,63.50366830773885,17.803668307738803,False,False
