source_id,source_role,condition_id,seed,building_id,prediction_roof_surface_count,published_score_time_z_shift_m,published_rms_m,recomputed_zero_shift_rms_m,canonical_shift_m,datum_corrected_rms_m,published_hausdorff_m,recomputed_zero_shift_hausdorff_m,datum_corrected_hausdorff_m
01_seed1001,honest,01,1001,DEBY_LOD2_4906966,17,0.0,46.075355882,46.07535588219436,-45.7,1.1048316349664589,50.900558657,50.90055865691181,20.662735792989793
01_seed1001,honest,01,1001,DEBY_LOD2_4907178,6,0.0,46.575807605,46.575807605012706,-45.7,1.179783643348977,48.909302218,48.90930221762619,3.2093022176261456
01_seed1001,honest,01,1001,DEBY_LOD2_4907183,4,0.0,46.47250868,46.472508679867325,-45.7,0.9122019396752504,50.501607329,50.50160732879169,4.801607328791647
01_seed1001,honest,01,1001,DEBY_LOD2_4907184,16,0.0,46.004056744,46.004056744215795,-45.7,1.0987235545875624,47.898406187,47.89840618715573,12.782975705432591
01_seed1001,honest,01,1001,DEBY_LOD2_4907185,2,0.0,48.585865835,48.58586583457348,-45.7,3.328278156482462,52.666941803,52.66694180288005,6.966941802880001
01_seed1001,honest,01,1001,DEBY_LOD2_4907186,0,0.0,,,-45.7,,,,
01_seed1001,honest,01,1001,DEBY_LOD2_4907188,0,0.0,,,-45.7,,,,
01_seed1001,honest,01,1001,DEBY_LOD2_4907195,1,0.0,49.009023752,49.009023751975874,-45.7,4.078671220095126,55.480206219,55.48020621905289,9.780206219052843
01_seed1001,honest,01,1001,DEBY_LOD2_4907196,7,0.0,46.132160783,46.13216078279875,-45.7,0.7274394483662219,49.653547069,49.65354706854589,3.953547068545845
01_seed1001,honest,01,1001,DEBY_LOD2_4907198,0,0.0,,,-45.7,,,,
01_seed1001,honest,01,1001,DEBY_LOD2_4907201,4,0.0,46.131393358,46.1313933582438,-45.7,0.49579044895680596,47.272164255,47.272164254859604,1.5721642548595582
01_seed1001,honest,01,1001,DEBY_LOD2_4907202,1,0.0,82.989799236,82.98979923636924,-45.7,37.61864008088024,96.869366494,96.86936649442737,51.16936649442732
01_seed1001,honest,01,1001,DEBY_LOD2_4907204,9,0.0,46.57394327,46.5739432701291,-45.7,1.1819880678203285,49.502175054,49.50217505374462,3.802175053744577
01_seed1001,honest,01,1001,DEBY_LOD2_4907205,0,0.0,,,-45.7,,,,
01_seed1001,honest,01,1001,DEBY_LOD2_4907206,5,0.0,45.965760777,45.965760776836625,-45.7,0.46768035113123846,48.007965011,48.00796501098057,2.3079650109805243
01_seed1001,honest,01,1001,DEBY_LOD2_4908168,0,0.0,,,-45.7,,,,
01_seed1001,honest,01,1001,DEBY_LOD2_4908178,0,0.0,,,-45.7,,,,
01_seed1001,honest,01,1001,DEBY_LOD2_60098,0,0.0,,,-45.7,,,,
01_seed1001,honest,01,1001,DEBY_LOD2_4907207,8,0.0,48.260495807,48.26049580700466,-45.7,2.8832154707650677,50.992429881,50.9924298808736,5.292429880873556
01_seed1001,honest,01,1001,DEBY_LOD2_4907165,0,0.0,,,-45.7,,,,
01_seed1001,honest,01,1001,DEBY_LOD2_4907177,1,0.0,48.827129092,48.82712909204191,-45.7,4.621289363410994,58.010105468,58.010105467708854,12.310105467708809
01_seed1001,honest,01,1001,DEBY_LOD2_4907179,9,0.0,47.460226814,47.46022681419584,-45.7,2.421504875732627,51.609207108,51.60920710756159,5.909207107561542
01_seed1001,honest,01,1001,DEBY_LOD2_42364665,3,0.0,45.747918442,45.747918441889524,-45.7,0.31393699216285875,46.235941214,46.23594121396411,0.6531553254048958
01_seed1001,honest,01,1001,DEBY_LOD2_4906965,59,0.0,46.759681652,46.75968165240217,-45.7,2.5421517015034376,59.570706784,59.570706784203026,19.7108248128053
01_seed1001,honest,01,1001,DEBY_LOD2_42364667,1,0.0,45.845416349,45.84541634877485,-45.7,0.1478581797598014,45.889789393,45.88978939315882,0.18978939315877597
01_seed1001,honest,01,1001,DEBY_LOD2_4907176,1,0.0,46.279,46.27900000000011,-45.7,0.5790000000000646,46.279,46.27900000000011,0.5790000000000646
01_seed1001,honest,01,1001,DEBY_LOD2_4907180,9,0.0,49.229682742,49.22968274227712,-45.7,5.7321662843116234,60.068199746,60.06819974638131,14.368199746381265
01_seed1001,honest,01,1001,DEBY_LOD2_4906967,47,0.0,46.253691636,46.253691636268414,-45.7,2.409790302940855,70.395826068,70.39582606754709,24.695826067547046
01_seed1001,honest,01,1001,DEBY_LOD2_4908023,4,0.0,46.659766079,46.659766079042086,-45.7,1.2209637626766425,47.612065135,47.61206513461275,2.413169161888959
01_seed1001,honest,01,1001,DEBY_LOD2_4908024,1,0.0,45.733552115,45.73355211487351,-45.7,0.11096851032748299,45.946587419,45.94658741867113,0.24658741867108347
01_seed1002,honest,01,1002,DEBY_LOD2_4906966,15,0.0,45.975367496,45.97536749644698,-45.7,1.3515352900199187,51.022032751,51.022032750503286,11.950629931875937
01_seed1002,honest,01,1002,DEBY_LOD2_4907178,4,0.0,47.1983978,47.1983978001896,-45.7,1.9197162042263074,50.508869492,50.508869491787664,4.808869491787618
01_seed1002,honest,01,1002,DEBY_LOD2_4907183,14,0.0,46.384825403,46.384825402956785,-45.7,1.141668440166118,51.215885559,51.215885558535206,5.51588555853516
01_seed1002,honest,01,1002,DEBY_LOD2_4907184,11,0.0,46.086540174,46.086540173587046,-45.7,0.7094588093524872,48.196513718,48.19651371784698,10.939834599638175
01_seed1002,honest,01,1002,DEBY_LOD2_4907185,2,0.0,47.066190872,47.066190872333955,-45.7,1.9077120984254279,49.118443152,49.11844315203314,3.418443152033092
01_seed1002,honest,01,1002,DEBY_LOD2_4907186,0,0.0,,,-45.7,,,,
01_seed1002,honest,01,1002,DEBY_LOD2_4907188,0,0.0,,,-45.7,,,,
01_seed1002,honest,01,1002,DEBY_LOD2_4907195,0,0.0,,,-45.7,,,,
01_seed1002,honest,01,1002,DEBY_LOD2_4907196,11,0.0,46.111333442,46.111333441801754,-45.7,0.7504239985514513,49.313952933,49.31395293301398,3.613952933013934
01_seed1002,honest,01,1002,DEBY_LOD2_4907198,0,0.0,,,-45.7,,,,
01_seed1002,honest,01,1002,DEBY_LOD2_4907201,5,0.0,46.011663278,46.01166327832585,-45.7,0.5489802165548332,48.072404331,48.07240433057245,2.372404330572408
01_seed1002,honest,01,1002,DEBY_LOD2_4907202,0,0.0,,,-45.7,,,,
01_seed1002,honest,01,1002,DEBY_LOD2_4907204,6,0.0,46.46221303,46.46221302980872,-45.7,1.0662870076240978,48.748217703,48.7482177025139,3.0482177025138526
01_seed1002,honest,01,1002,DEBY_LOD2_4907205,0,0.0,,,-45.7,,,,
01_seed1002,honest,01,1002,DEBY_LOD2_4907206,5,0.0,45.809966595,45.80996659484082,-45.7,0.3216483716350788,47.05924444,47.05924443994388,1.3592444399438364
01_seed1002,honest,01,1002,DEBY_LOD2_4908168,0,0.0,,,-45.7,,,,
01_seed1002,honest,01,1002,DEBY_LOD2_4908178,0,0.0,,,-45.7,,,,
01_seed1002,honest,01,1002,DEBY_LOD2_60098,0,0.0,,,-45.7,,,,
01_seed1002,honest,01,1002,DEBY_LOD2_4907207,8,0.0,48.511098304,48.51109830365875,-45.7,3.294069357788699,53.179763548,53.17976354814198,7.479763548141932
01_seed1002,honest,01,1002,DEBY_LOD2_4907165,0,0.0,,,-45.7,,,,
01_seed1002,honest,01,1002,DEBY_LOD2_4907177,1,0.0,51.252737268,51.25273726768597,-45.7,6.930222842587023,61.227687229,61.22768722876356,15.527687228763511
01_seed1002,honest,01,1002,DEBY_LOD2_4907179,8,0.0,47.338038146,47.338038146103955,-45.7,2.1775744965278085,50.952041391,50.95204139086002,5.252041390859972
01_seed1002,honest,01,1002,DEBY_LOD2_42364665,3,0.0,45.845427845,45.84542784487114,-45.7,0.31121746747160717,46.198545453,46.198545452543385,0.4985454525433397
01_seed1002,honest,01,1002,DEBY_LOD2_4906965,49,0.0,46.716462391,46.7164623910697,-45.7,2.4631197152304884,62.39763011,62.3976301101161,23.476765554437804
01_seed1002,honest,01,1002,DEBY_LOD2_42364667,3,0.0,46.025975157,46.025975157327814,-45.7,0.9882459633963143,51.591599381,51.591599380913976,5.891599380913931
01_seed1002,honest,01,1002,DEBY_LOD2_4907176,0,0.0,,,-45.7,,,,
01_seed1002,honest,01,1002,DEBY_LOD2_4907180,9,0.0,52.033000257,52.03300025700491,-45.7,8.95461649128835,62.507306799,62.50730679904791,16.807306799047865
01_seed1002,honest,01,1002,DEBY_LOD2_4906967,42,0.0,46.142043069,46.142043068849055,-45.7,1.5116098889655332,61.910828102,61.910828101539664,16.21082810153962
01_seed1002,honest,01,1002,DEBY_LOD2_4908023,3,0.0,44.755103788,44.755103787799534,-45.7,1.1521524591791086,45.667583038,45.667583038305224,2.7308354089940394
01_seed1002,honest,01,1002,DEBY_LOD2_4908024,2,0.0,44.771664421,44.77166442064874,-45.7,1.1088542194354336,45.254433459,45.254433458654944,2.384303804185379
02_seed1001,honest,02,1001,DEBY_LOD2_4906966,12,0.0,46.139355258,46.139355258220675,-45.7,0.9782226753670366,51.060069772,51.06006977191737,14.971538483220343
02_seed1001,honest,02,1001,DEBY_LOD2_4907178,13,0.0,46.649174659,46.64917465901967,-45.7,1.9229307213193376,52.475116307,52.475116307227495,7.418114671445551
02_seed1001,honest,02,1001,DEBY_LOD2_4907183,13,0.0,46.196468122,46.19646812186296,-45.7,0.8159069429584674,49.243438089,49.24343808884453,3.543438088844482
02_seed1001,honest,02,1001,DEBY_LOD2_4907184,11,0.0,45.958446836,45.958446835681755,-45.7,0.4399336199589865,47.438117656,47.438117656048234,3.0936441316566743
02_seed1001,honest,02,1001,DEBY_LOD2_4907185,1,0.0,49.345591016,49.34559101581029,-45.7,4.173350806999842,55.344162411,55.34416241094334,9.644162410943295
02_seed1001,honest,02,1001,DEBY_LOD2_4907186,0,0.0,,,-45.7,,,,
02_seed1001,honest,02,1001,DEBY_LOD2_4907188,0,0.0,,,-45.7,,,,
02_seed1001,honest,02,1001,DEBY_LOD2_4907195,0,0.0,,,-45.7,,,,
02_seed1001,honest,02,1001,DEBY_LOD2_4907196,7,0.0,45.938121538,45.93812153810396,-45.7,0.37092411376439466,48.612196962,48.61219696178375,2.9121969617837067
02_seed1001,honest,02,1001,DEBY_LOD2_4907198,0,0.0,,,-45.7,,,,
02_seed1001,honest,02,1001,DEBY_LOD2_4907201,7,0.0,45.966566571,45.966566570697054,-45.7,0.3396038054487741,47.626525169,47.62652516857463,1.9265251685745852
02_seed1001,honest,02,1001,DEBY_LOD2_4907202,0,0.0,,,-45.7,,,,
02_seed1001,honest,02,1001,DEBY_LOD2_4907204,6,0.0,46.21780433,46.21780432974716,-45.7,0.82678414099442,49.089612395,49.089612394888036,3.3896123948879904
02_seed1001,honest,02,1001,DEBY_LOD2_4907205,0,0.0,,,-45.7,,,,
02_seed1001,honest,02,1001,DEBY_LOD2_4907206,3,0.0,45.81594088,45.81594088043082,-45.7,0.2830047443258379,47.369731187,47.369731187276784,1.6697311872767386
02_seed1001,honest,02,1001,DEBY_LOD2_4908168,0,0.0,,,-45.7,,,,
02_seed1001,honest,02,1001,DEBY_LOD2_4908178,0,0.0,,,-45.7,,,,
