footprint_buffer_m,split,metric,e1_mean,e2_mean,raw_delta_mean_e2_minus_e1,directional_delta_mean_positive_favors_e2
0.25,all_10,F,0.7860535675347635,0.7847078714399076,-0.0013456960948560414,-0.0013456960948560414
0.25,all_10,roof_cov,0.6076333333333334,0.5797333333333333,-0.02789999999999999,-0.02789999999999999
0.25,all_10,wall_cov,0.8532333333333334,0.8308666666666668,-0.022366666666666667,-0.022366666666666667
0.25,all_10,ground_cov,0.6988333333333333,0.7636333333333333,0.0648,0.0648
0.25,all_10,support_cov,0.4439666666666667,0.43793333333333334,-0.006033333333333354,-0.006033333333333354
0.25,all_10,h_err,1.1122672473807897,1.0105404810267182,-0.10172676635407144,0.10172676635407144
0.25,all_10,chamfer,0.46363727121389775,0.48095227156497355,0.01731500035107577,-0.01731500035107577
0.25,hard_diagnostic,F,0.6132370210395475,0.6183588698236604,0.005121848784112792,0.005121848784112792
0.25,hard_diagnostic,roof_cov,0.42713333333333325,0.37399999999999994,-0.05313333333333333,-0.05313333333333333
0.25,hard_diagnostic,wall_cov,0.7457999999999999,0.7018,-0.044,-0.044
0.25,hard_diagnostic,ground_cov,0.39766666666666667,0.5867333333333333,0.18906666666666666,0.18906666666666666
0.25,hard_diagnostic,support_cov,0.40593333333333337,0.39039999999999997,-0.015533333333333338,-0.015533333333333338
0.25,hard_diagnostic,h_err,1.7873977476526677,1.6577992641482626,-0.1295984835044049,0.1295984835044049
0.25,hard_diagnostic,chamfer,0.6963297667495879,0.7324280953676443,0.03609832861805634,-0.03609832861805634
0.25,easier_control,F,0.9588701140299796,0.9510568730561546,-0.007813240973824876,-0.007813240973824876
0.25,easier_control,roof_cov,0.7881333333333334,0.7854666666666666,-0.002666666666666662,-0.002666666666666662
0.25,easier_control,wall_cov,0.9606666666666666,0.9599333333333334,-0.0007333333333333414,-0.0007333333333333414
0.25,easier_control,ground_cov,1.0,0.9405333333333333,-0.05946666666666667,-0.05946666666666667
0.25,easier_control,support_cov,0.48200000000000004,0.48546666666666666,0.003466666666666629,0.003466666666666629
0.25,easier_control,h_err,0.4371367471089119,0.36328169790517395,-0.07385504920373798,0.07385504920373798
