stable_id,group_id,bbox_min_x,bbox_min_y,bbox_max_x,bbox_max_y,reference_patch_ids,expected_score_cells
DEBY_LOD2_4906983,GROUP_37b5107f054e56e8,690938.550,5336252.080,690974.560,5336314.200,UASPATCH_248dda2d97322b9ada53;UASPATCH_69e275ce771d0a750133;UASPATCH_c8924edf091cf6c7956c,785
DEBY_LOD2_4906984,GROUP_37b5107f054e56e8,690963.750,5336276.000,690982.390,5336299.110,UASPATCH_12ff643a0733a835ca6c;UASPATCH_69e275ce771d0a750133;UASPATCH_c8924edf091cf6c7956c,102
DEBY_LOD2_4906985,GROUP_37b5107f054e56e8,690973.730,5336261.050,691012.380,5336298.850,UASPATCH_12ff643a0733a835ca6c;UASPATCH_c8924edf091cf6c7956c,110
DEBY_LOD2_4907173,GROUP_37b5107f054e56e8,690873.808,5336175.864,690895.781,5336205.091,UASPATCH_37822ffb137153e5fb33;UASPATCH_9e4b8d2fb331a69d1a6c;UASPATCH_b416b4eac5ca4569341c,66
DEBY_LOD2_4907176,GROUP_37b5107f054e56e8,690835.490,5336151.500,690864.200,5336182.000,UASPATCH_9ca12975b0b948fafc89,109
DEBY_LOD2_4907177,GROUP_37b5107f054e56e8,690844.491,5336144.454,690861.615,5336154.794,UASPATCH_9ca12975b0b948fafc89,15
DEBY_LOD2_4907180,GROUP_37b5107f054e56e8,690859.480,5336154.860,690886.900,5336180.260,UASPATCH_537037da352962df7a5e;UASPATCH_9ca12975b0b948fafc89,34
DEBY_LOD2_4907181,GROUP_37b5107f054e56e8,690820.660,5336120.226,690842.434,5336135.392,UASPATCH_d1fb8ff82dfb8aff72ab,20
DEBY_LOD2_4907183,GROUP_37b5107f054e56e8,690847.560,5336106.450,690869.160,5336135.870,UASPATCH_06ff9f271ae7c01d713f,14
DEBY_LOD2_4907196,GROUP_37b5107f054e56e8,690821.060,5336047.490,690845.770,5336079.520,UASPATCH_7dd9d2efb928bedc190b;UASPATCH_ad158225e611ea7e6f3f;UASPATCH_ef0a367b936ea730cfac,48
DEBY_LOD2_4907201,GROUP_37b5107f054e56e8,690816.020,5336036.010,690835.390,5336053.690,UASPATCH_ad158225e611ea7e6f3f,38
DEBY_LOD2_4907205,GROUP_37b5107f054e56e8,690792.583,5336009.794,690804.228,5336027.123,UASPATCH_be70bdc029eb2292b136,24
DEBY_LOD2_4907206,GROUP_37b5107f054e56e8,690806.425,5336001.916,690823.630,5336021.659,UASPATCH_88264721a3b805bb9d83,68
DEBY_LOD2_4907509,GROUP_37b5107f054e56e8,690819.610,5335885.760,690841.300,5335915.580,UASPATCH_5c4400a814b8c3416794;UASPATCH_61f6e7a87bf259854b4c;UASPATCH_c235b8f25c205a19550f,55
DEBY_LOD2_4907510,GROUP_37b5107f054e56e8,690833.800,5335893.300,690847.430,5335910.840,UASPATCH_c235b8f25c205a19550f,6
DEBY_LOD2_4907514,GROUP_37b5107f054e56e8,690851.990,5335916.930,690873.800,5335942.960,UASPATCH_34f440f846d9fd5d365d;UASPATCH_ef97ec111d9552460e1d,23
DEBY_LOD2_4907515,GROUP_37b5107f054e56e8,690865.680,5335911.860,690887.160,5335938.040,UASPATCH_34f440f846d9fd5d365d;UASPATCH_ef97ec111d9552460e1d,46
DEBY_LOD2_4907516,GROUP_37b5107f054e56e8,690887.950,5335913.060,690904.810,5335930.760,UASPATCH_30064478b8c81470058a,25
DEBY_LOD2_4907517,GROUP_37b5107f054e56e8,690899.730,5335906.980,690917.390,5335926.180,UASPATCH_30064478b8c81470058a,20
DEBY_LOD2_4908353,GROUP_37b5107f054e56e8,690835.060,5335910.130,690849.360,5335928.810,UASPATCH_61f6e7a87bf259854b4c,63
DEBY_LOD2_4959314,GROUP_a47a79580ecbedd1,691140.040,5336148.660,691188.310,5336197.720,UASPATCH_8ec365db2fd7473aa3f5,66
DEBY_LOD2_4959322,GROUP_37b5107f054e56e8,691040.130,5336116.990,691070.480,5336140.510,UASPATCH_2672438319afd50cb036;UASPATCH_982d5d0c3c1b38beeda3;UASPATCH_d0cc37b9c0522663d43d,283
DEBY_LOD2_4959323,GROUP_37b5107f054e56e8,691042.680,5336062.490,691088.730,5336131.180,UASPATCH_2672438319afd50cb036;UASPATCH_26bfd76ae43014405b8f;UASPATCH_4ded119f930c1c3edfd6;UASPATCH_524c9cebb952a474708d;UASPATCH_85d0e6d16af6b10ee85b;UASPATCH_93e6beef7caed2a92796;UASPATCH_982d5d0c3c1b38beeda3;UASPATCH_98f1cda685fffad4750b;UASPATCH_a5b4c9c6d4b8842526d7;UASPATCH_ae2b27079d565d98d693;UASPATCH_d0cc37b9c0522663d43d;UASPATCH_efbd2288b2a537c92237,1341
DEBY_LOD2_4959324,GROUP_37b5107f054e56e8,691036.120,5336070.110,691048.080,5336077.870,UASPATCH_524c9cebb952a474708d,5
DEBY_LOD2_4959325,GROUP_37b5107f054e56e8,691060.290,5336228.550,691097.420,5336265.730,UASPATCH_3f9d238d2ed2de4e00b1;UASPATCH_6fa0938c4c32bac647f8,24
DEBY_LOD2_4959326,GROUP_37b5107f054e56e8,691067.690,5336145.250,691118.080,5336220.920,UASPATCH_11c5a73473d77100a22c;UASPATCH_2ba4f8c81b3562409e55;UASPATCH_52c077918300bf2574d6;UASPATCH_5a57cd120b7eb1f4f9ed;UASPATCH_5c7e885e02a6c33cb3ca;UASPATCH_7fd8b0adc1fbe993e952;UASPATCH_fe2321430a75e310bc33,445
DEBY_LOD2_4959327,GROUP_32a743e7f900e7ae,691055.130,5336286.780,691086.740,5336318.210,UASPATCH_129bc4f3f0e845a2bc32;UASPATCH_2ea5c2fbb940265043eb;UASPATCH_32401968ded607f220e8,102
DEBY_LOD2_4959457,GROUP_37b5107f054e56e8,691009.160,5335994.570,691054.070,5336047.410,UASPATCH_645b470a16a22b93a0c3;UASPATCH_8d9ecdcefd5f2939a355;UASPATCH_a5b4c9c6d4b8842526d7;UASPATCH_bc37c5021ce4cc803c12;UASPATCH_f2828ca96095d8e3ebf1,826
DEBY_LOD2_4959458,GROUP_37b5107f054e56e8,691000.960,5336127.140,691045.400,5336155.890,UASPATCH_982d5d0c3c1b38beeda3;UASPATCH_d0cc37b9c0522663d43d;UASPATCH_fba29ad0725c613b322b,410
DEBY_LOD2_4959459,GROUP_37b5107f054e56e8,691017.450,5336096.020,691040.130,5336131.240,UASPATCH_d0cc37b9c0522663d43d,6
DEBY_LOD2_4959460,GROUP_37b5107f054e56e8,690963.520,5336140.510,691075.030,5336248.470,UASPATCH_0f7e50c7505d3d548979;UASPATCH_0fc37524451d9502eed4;UASPATCH_248dda2d97322b9ada53;UASPATCH_2ba4f8c81b3562409e55;UASPATCH_3f9d238d2ed2de4e00b1;UASPATCH_47b19c90f63a15f20731;UASPATCH_4b6b9615b5a1fa5b9de5;UASPATCH_52027cf085586be34024;UASPATCH_52c077918300bf2574d6;UASPATCH_53818c9e92e5516463aa;UASPATCH_5c7e885e02a6c33cb3ca;UASPATCH_5d4f2ffa52f06c3f2a2d;UASPATCH_67ab6d0058a8288905ee;UASPATCH_7d1be8eacc640f1f26e8;UASPATCH_7d9b4a09548644aae921;UASPATCH_982d5d0c3c1b38beeda3;UASPATCH_cf767c28bf4bc75ef64c;UASPATCH_d0cc37b9c0522663d43d;UASPATCH_f5559b5d995c0aace553,3543
DEBY_LOD2_4959461,GROUP_660281d563f14018,691016.050,5336244.330,691055.870,5336282.570,UASPATCH_490435f3ada46fee342c;UASPATCH_9e5d19399d8c689c6eca,58
DEBY_LOD2_4959793,GROUP_37b5107f054e56e8,691038.570,5336097.420,691055.410,5336117.320,UASPATCH_26bfd76ae43014405b8f;UASPATCH_ae2b27079d565d98d693,97
DEBY_LOD2_60042,GROUP_37b5107f054e56e8,690876.700,5336096.010,691006.100,5336191.760,UASPATCH_012006e59b7f5344edeb;UASPATCH_018d42d12cf5aa6e39aa;UASPATCH_0f7e50c7505d3d548979;UASPATCH_15452f07fa1e2a671fb8;UASPATCH_1df0e45fc7bfee9c968f;UASPATCH_33a851d0073ad9ecaa05;UASPATCH_37822ffb137153e5fb33;UASPATCH_486d25144a9848f6d933;UASPATCH_537037da352962df7a5e;UASPATCH_53818c9e92e5516463aa;UASPATCH_56d48d6afa21762aeace;UASPATCH_66139cd23ca2a46572a0;UASPATCH_74b887e0556ef20d5e77;UASPATCH_79347ef78dd344d8bdef;UASPATCH_7d9b4a09548644aae921;UASPATCH_982d5d0c3c1b38beeda3;UASPATCH_9e4b8d2fb331a69d1a6c;UASPATCH_a73c56325a3cd1c36295;UASPATCH_aeae990664d7c7f4b023;UASPATCH_b04aa7218b096d6f03c9;UASPATCH_b416b4eac5ca4569341c;UASPATCH_cf767c28bf4bc75ef64c;UASPATCH_d0cc37b9c0522663d43d;UASPATCH_ed39019847c59fe256ef;UASPATCH_f5559b5d995c0aace553;UASPATCH_fafbddf43a9da9a05b81;UASPATCH_fba29ad0725c613b322b,2303
DEBY_LOD2_8568403,GROUP_37b5107f054e56e8,690834.527,5335920.207,690840.783,5335929.722,UASPATCH_61f6e7a87bf259854b4c,10
