building_id,group_id,split,method_id,run_id,operation_id,criterion_version,reference_provenance,component_id,operation_unit_id,G0_generated,G1_schema_semantic,G1_check_class,G1_failure_reasons,geometry_ring_diagnostic,geometry_ring_diagnostic_class,G2_geometry_topology_valid,G2_null_reason,G3_roof_structure_acceptable,G4_geometric_accuracy_acceptable,PASS_usable,threshold_null_reason,attempt_count,retry_count,runtime_seconds,peak_memory_bytes,peak_memory_unavailable_reason,input_point_count,roofer_input_point_count,output_bytes,reference_cell_count,vertically_scored_cell_count,reference_vertical_coverage,height_error_signed_mean_m,height_error_signed_median_m,height_error_mae_m,RMSZ_m,RMSXY_m,surface_distance_rmse_m,surface_distance_p95_m,normal_angular_error_median_deg,normal_angular_error_p95_deg,failure_reasons
DEBY_LOD2_108580335,GROUP_37b5107f054e56e8,development,C1_L_upper,P2-C1-C2-FEASIBILITY-PILOT-RECOVERY-R3-RUN-v1,5c34f533655997f54e0321c7d3e72aa42054cbf6bf0a02abce1e7ef5669feea3,C1C5_CANON_v2_PROVISIONAL_P2_FEASIBILITY,SELF_REFERENCE_UPPER_BASELINE,C1_L_upper_COMP_84a837b5d7c79565f0e8,C1_L_upper|C1_L_upper_COMP_84a837b5d7c79565f0e8,True,True,INTERNAL_CITYJSON_BOUNDARY_SEMANTICS_PARENT_CHILD_VALIDATION,,True,DIAGNOSTIC_RING_INDEX_SANITY_NOT_G2_NOT_VAL3DITY,,CANONICAL_VALIDATOR_UNAVAILABLE,,,,THRESHOLD_NOT_FROZEN,1,0,1.0,,ROOFER_IMAGE_GNU_TIME_UNAVAILABLE_VERIFIED_IMMUTABLE_IMAGE,100638,223714,3627,133,133,1.0,2.13663684210522,2.8521999999999252,2.250463909774418,2.4913095429053493,0.0,2.491309542905357,2.9399599999999735,3.3799295234070215,10.921075145026414,
DEBY_LOD2_108580335,GROUP_37b5107f054e56e8,development,C2_MVS,P2-C1-C2-FEASIBILITY-PILOT-RECOVERY-R3-RUN-v1,5c34f533655997f54e0321c7d3e72aa42054cbf6bf0a02abce1e7ef5669feea3,C1C5_CANON_v2_PROVISIONAL_P2_FEASIBILITY,INDEPENDENT_UAS_SCORE_ONLY,C2_MVS_COMP_3b9ac290b64ed07a8b9b,C2_MVS|C2_MVS_COMP_3b9ac290b64ed07a8b9b,True,True,INTERNAL_CITYJSON_BOUNDARY_SEMANTICS_PARENT_CHILD_VALIDATION,,True,DIAGNOSTIC_RING_INDEX_SANITY_NOT_G2_NOT_VAL3DITY,,CANONICAL_VALIDATOR_UNAVAILABLE,,,,THRESHOLD_NOT_FROZEN,1,0,0.0,,ROOFER_IMAGE_GNU_TIME_UNAVAILABLE_VERIFIED_IMMUTABLE_IMAGE,73697,191430,3514,133,133,1.0,2.824636842105221,3.5401999999999134,2.8291781954886837,3.1016091844892455,0.0,3.1016091844892437,3.6279599999999617,3.3799295234070215,10.921075145026414,
DEBY_LOD2_108580336,GROUP_37b5107f054e56e8,development,C1_L_upper,P2-C1-C2-FEASIBILITY-PILOT-RECOVERY-R3-RUN-v1,5c34f533655997f54e0321c7d3e72aa42054cbf6bf0a02abce1e7ef5669feea3,C1C5_CANON_v2_PROVISIONAL_P2_FEASIBILITY,SELF_REFERENCE_UPPER_BASELINE,C1_L_upper_COMP_84a837b5d7c79565f0e8,C1_L_upper|C1_L_upper_COMP_84a837b5d7c79565f0e8,True,True,INTERNAL_CITYJSON_BOUNDARY_SEMANTICS_PARENT_CHILD_VALIDATION,,True,DIAGNOSTIC_RING_INDEX_SANITY_NOT_G2_NOT_VAL3DITY,,CANONICAL_VALIDATOR_UNAVAILABLE,,,,THRESHOLD_NOT_FROZEN,1,0,1.0,,ROOFER_IMAGE_GNU_TIME_UNAVAILABLE_VERIFIED_IMMUTABLE_IMAGE,100638,223714,3627,2568,2568,1.0,-1.7610522975078156,-1.2135000000001241,7.975832281931474,10.20405194741259,0.0,10.204051947412589,17.983779999999975,5.625509270732932,17.088786965685244,
DEBY_LOD2_108580336,GROUP_37b5107f054e56e8,development,C2_MVS,P2-C1-C2-FEASIBILITY-PILOT-RECOVERY-R3-RUN-v1,5c34f533655997f54e0321c7d3e72aa42054cbf6bf0a02abce1e7ef5669feea3,C1C5_CANON_v2_PROVISIONAL_P2_FEASIBILITY,INDEPENDENT_UAS_SCORE_ONLY,C2_MVS_COMP_3b9ac290b64ed07a8b9b,C2_MVS|C2_MVS_COMP_3b9ac290b64ed07a8b9b,True,True,INTERNAL_CITYJSON_BOUNDARY_SEMANTICS_PARENT_CHILD_VALIDATION,,True,DIAGNOSTIC_RING_INDEX_SANITY_NOT_G2_NOT_VAL3DITY,,CANONICAL_VALIDATOR_UNAVAILABLE,,,,THRESHOLD_NOT_FROZEN,1,0,0.0,,ROOFER_IMAGE_GNU_TIME_UNAVAILABLE_VERIFIED_IMMUTABLE_IMAGE,73697,191430,3514,2568,2568,1.0,-1.073052297507828,-0.5255000000000791,7.776348403426803,10.10805679565187,0.0,10.10805679565187,18.671779999999963,5.625509270732932,17.088786965685244,
DEBY_LOD2_42364663,GROUP_37b5107f054e56e8,development,C1_L_upper,P2-C1-C2-FEASIBILITY-PILOT-RECOVERY-R3-RUN-v1,5c34f533655997f54e0321c7d3e72aa42054cbf6bf0a02abce1e7ef5669feea3,C1C5_CANON_v2_PROVISIONAL_P2_FEASIBILITY,SELF_REFERENCE_UPPER_BASELINE,C1_L_upper_COMP_84a837b5d7c79565f0e8,C1_L_upper|C1_L_upper_COMP_84a837b5d7c79565f0e8,True,True,INTERNAL_CITYJSON_BOUNDARY_SEMANTICS_PARENT_CHILD_VALIDATION,,True,DIAGNOSTIC_RING_INDEX_SANITY_NOT_G2_NOT_VAL3DITY,,CANONICAL_VALIDATOR_UNAVAILABLE,,,,THRESHOLD_NOT_FROZEN,1,0,1.0,,ROOFER_IMAGE_GNU_TIME_UNAVAILABLE_VERIFIED_IMMUTABLE_IMAGE,100638,223714,3627,54,54,1.0,-5.683481481481514,-5.758450000000039,5.683481481481514,5.686452308810014,0.0,5.686452308810014,5.84217500000006,8.41431823060107,18.48096267505055,
DEBY_LOD2_42364663,GROUP_37b5107f054e56e8,development,C2_MVS,P2-C1-C2-FEASIBILITY-PILOT-RECOVERY-R3-RUN-v1,5c34f533655997f54e0321c7d3e72aa42054cbf6bf0a02abce1e7ef5669feea3,C1C5_CANON_v2_PROVISIONAL_P2_FEASIBILITY,INDEPENDENT_UAS_SCORE_ONLY,C2_MVS_COMP_3b9ac290b64ed07a8b9b,C2_MVS|C2_MVS_COMP_3b9ac290b64ed07a8b9b,True,True,INTERNAL_CITYJSON_BOUNDARY_SEMANTICS_PARENT_CHILD_VALIDATION,,True,DIAGNOSTIC_RING_INDEX_SANITY_NOT_G2_NOT_VAL3DITY,,CANONICAL_VALIDATOR_UNAVAILABLE,,,,THRESHOLD_NOT_FROZEN,1,0,0.0,,ROOFER_IMAGE_GNU_TIME_UNAVAILABLE_VERIFIED_IMMUTABLE_IMAGE,73697,191430,3514,54,54,1.0,-4.995481481481526,-5.070450000000051,4.995481481481526,4.998861204499709,0.0,4.998861204499709,5.1541750000000714,8.41431823060107,18.48096267505055,
DEBY_LOD2_4906965,GROUP_37b5107f054e56e8,development,C1_L_upper,P2-C1-C2-FEASIBILITY-PILOT-RECOVERY-R3-RUN-v1,5c34f533655997f54e0321c7d3e72aa42054cbf6bf0a02abce1e7ef5669feea3,C1C5_CANON_v2_PROVISIONAL_P2_FEASIBILITY,SELF_REFERENCE_UPPER_BASELINE,C1_L_upper_COMP_84a837b5d7c79565f0e8,C1_L_upper|C1_L_upper_COMP_84a837b5d7c79565f0e8,True,True,INTERNAL_CITYJSON_BOUNDARY_SEMANTICS_PARENT_CHILD_VALIDATION,,True,DIAGNOSTIC_RING_INDEX_SANITY_NOT_G2_NOT_VAL3DITY,,CANONICAL_VALIDATOR_UNAVAILABLE,,,,THRESHOLD_NOT_FROZEN,1,0,1.0,,ROOFER_IMAGE_GNU_TIME_UNAVAILABLE_VERIFIED_IMMUTABLE_IMAGE,100638,223714,3627,1308,1308,1.0,3.79065550458713,2.1474999999999795,8.825548929663606,10.715773542031997,0.0,10.715773542031995,18.29966,7.226548674547293,39.25747252851814,
DEBY_LOD2_4906965,GROUP_37b5107f054e56e8,development,C2_MVS,P2-C1-C2-FEASIBILITY-PILOT-RECOVERY-R3-RUN-v1,5c34f533655997f54e0321c7d3e72aa42054cbf6bf0a02abce1e7ef5669feea3,C1C5_CANON_v2_PROVISIONAL_P2_FEASIBILITY,INDEPENDENT_UAS_SCORE_ONLY,C2_MVS_COMP_3b9ac290b64ed07a8b9b,C2_MVS|C2_MVS_COMP_3b9ac290b64ed07a8b9b,True,True,INTERNAL_CITYJSON_BOUNDARY_SEMANTICS_PARENT_CHILD_VALIDATION,,True,DIAGNOSTIC_RING_INDEX_SANITY_NOT_G2_NOT_VAL3DITY,,CANONICAL_VALIDATOR_UNAVAILABLE,,,,THRESHOLD_NOT_FROZEN,1,0,0.0,,ROOFER_IMAGE_GNU_TIME_UNAVAILABLE_VERIFIED_IMMUTABLE_IMAGE,73697,191430,3514,1308,1306,0.9984709480122325,4.473224808575768,2.8355000000000246,8.881579938744252,10.973857646610425,0.3686813121337433,10.984216607857903,18.987659999999988,7.226548674547293,39.25747252851814,
DEBY_LOD2_4906966,GROUP_37b5107f054e56e8,development,C1_L_upper,P2-C1-C2-FEASIBILITY-PILOT-RECOVERY-R3-RUN-v1,5c34f533655997f54e0321c7d3e72aa42054cbf6bf0a02abce1e7ef5669feea3,C1C5_CANON_v2_PROVISIONAL_P2_FEASIBILITY,SELF_REFERENCE_UPPER_BASELINE,C1_L_upper_COMP_84a837b5d7c79565f0e8,C1_L_upper|C1_L_upper_COMP_84a837b5d7c79565f0e8,True,True,INTERNAL_CITYJSON_BOUNDARY_SEMANTICS_PARENT_CHILD_VALIDATION,,True,DIAGNOSTIC_RING_INDEX_SANITY_NOT_G2_NOT_VAL3DITY,,CANONICAL_VALIDATOR_UNAVAILABLE,,,,THRESHOLD_NOT_FROZEN,1,0,1.0,,ROOFER_IMAGE_GNU_TIME_UNAVAILABLE_VERIFIED_IMMUTABLE_IMAGE,100638,223714,3627,664,664,1.0,5.314674246987928,-1.18425000000002,7.390720331325312,10.915100097283565,0.0,10.915100097283561,18.634070000000026,7.3632188088826265,19.94843368964783,
DEBY_LOD2_4906966,GROUP_37b5107f054e56e8,development,C2_MVS,P2-C1-C2-FEASIBILITY-PILOT-RECOVERY-R3-RUN-v1,5c34f533655997f54e0321c7d3e72aa42054cbf6bf0a02abce1e7ef5669feea3,C1C5_CANON_v2_PROVISIONAL_P2_FEASIBILITY,INDEPENDENT_UAS_SCORE_ONLY,C2_MVS_COMP_3b9ac290b64ed07a8b9b,C2_MVS|C2_MVS_COMP_3b9ac290b64ed07a8b9b,True,True,INTERNAL_CITYJSON_BOUNDARY_SEMANTICS_PARENT_CHILD_VALIDATION,,True,DIAGNOSTIC_RING_INDEX_SANITY_NOT_G2_NOT_VAL3DITY,,CANONICAL_VALIDATOR_UNAVAILABLE,,,,THRESHOLD_NOT_FROZEN,1,0,0.0,,ROOFER_IMAGE_GNU_TIME_UNAVAILABLE_VERIFIED_IMMUTABLE_IMAGE,73697,191430,3514,664,664,1.0,6.002674246987915,-0.49625000000003183,7.18054231927712,11.26613269483255,0.0,11.266132694832548,19.322070000000014,7.3632188088826265,19.94843368964783,
