source_run_id,setting,run_name,cityjson,repaired_cityjson,val3dity_returncode,n_features_original,n_features_repaired,valid_features_original,valid_features_repaired,invalid_features_original,invalid_features_repaired,error_405_original,error_405_repaired,error_302_original,error_302_repaired,error_306_original,error_306_repaired,all_errors_original,all_errors_repaired,vertices_same,coordinate_rms_delta_m,changed_geometry_count,repair_rule
e5p_s2p_interaction_20260710_C001,base,gs_e5_C001_s2p_arm1p_dense_r1,phases/p0-audit/runs/e5p_s2p_interaction_20260710_C001/base/cityjson/gs_e5_C001_s2p_arm1p_dense_r1_run_1.city.json,phases/p0-audit/runs/e5p_s2p_405_repair_20260710_C001/e5p_s2p_interaction_20260710_C001/base/cityjson/gs_e5_C001_s2p_arm1p_dense_r1_run_1.city.json,0,18,18,15,15,3,3,0,0,6,6,0,0,302,302,true,0.000000,0,reverse boundary rings only for CityObjects referenced by original val3dity 405 coid/children
e5p_s2p_interaction_20260710_C001,base,gs_e5_C001_s2p_arm1p_dense_r2,phases/p0-audit/runs/e5p_s2p_interaction_20260710_C001/base/cityjson/gs_e5_C001_s2p_arm1p_dense_r2_run_1.city.json,phases/p0-audit/runs/e5p_s2p_405_repair_20260710_C001/e5p_s2p_interaction_20260710_C001/base/cityjson/gs_e5_C001_s2p_arm1p_dense_r2_run_1.city.json,0,18,18,14,14,4,4,0,0,8,8,0,0,302,302,true,0.000000,0,reverse boundary rings only for CityObjects referenced by original val3dity 405 coid/children
