condition,arm,replicate,run_name,building_id,figure,view_idx,crop_xyxy,ckpt,cityjson,status_reason,has_lod22,val3dity_valid,n_gaussians_in_footprint,gaussian_z_p50,gaussian_z_std,gaussian_opacity_p50,readout_pre,readout_minobs,readout_sor,readout_final_fp_points,readout_classified_points
arm1p_r1,arm1p,r1,gs_e5_C001_s2p_arm1p_dense_r1,DEBY_LOD2_4907202,docs/figs/e5_c001_s2p/pipeline_strips/4907202_arm1p_r1.png,146,"312,218,483,355",results/tum_transfer/e5_s2p_interaction/C001/runs/gs_e5_C001_s2p_arm1p_dense_r1/ckpt/final.pt,phases/p0-audit/runs/e5p_s2p_405_repair_20260710_C001/e5p_s2p_interaction_20260710_C001/base/cityjson/gs_e5_C001_s2p_arm1p_dense_r1_run_1.city.json,pointcloud_unusable_no_points,False,True,15,575.191728591919,3.8899009936023976,0.145022913813591,355,32,3,10,1910
arm1p_r1,arm1p,r1,gs_e5_C001_s2p_arm1p_dense_r1,DEBY_LOD2_4908168,docs/figs/e5_c001_s2p/pipeline_strips/4908168_arm1p_r1.png,186,"213,266,326,355",results/tum_transfer/e5_s2p_interaction/C001/runs/gs_e5_C001_s2p_arm1p_dense_r1/ckpt/final.pt,phases/p0-audit/runs/e5p_s2p_405_repair_20260710_C001/e5p_s2p_interaction_20260710_C001/base/cityjson/gs_e5_C001_s2p_arm1p_dense_r1_run_1.city.json,success,True,True,2,575.9400663375854,0.629481315612793,0.4440467804670334,63,58,58,1983,489913
arm1p_r1,arm1p,r1,gs_e5_C001_s2p_arm1p_dense_r1,DEBY_LOD2_4908178,docs/figs/e5_c001_s2p/pipeline_strips/4908178_arm1p_r1.png,146,"279,246,431,355",results/tum_transfer/e5_s2p_interaction/C001/runs/gs_e5_C001_s2p_arm1p_dense_r1/ckpt/final.pt,phases/p0-audit/runs/e5p_s2p_405_repair_20260710_C001/e5p_s2p_interaction_20260710_C001/base/cityjson/gs_e5_C001_s2p_arm1p_dense_r1_run_1.city.json,val3dity_invalid,True,False,6,565.255256652832,0.464143039417838,0.41193559765815735,312,150,101,1682,6219
arm1p_r1,arm1p,r1,gs_e5_C001_s2p_arm1p_dense_r1,DEBY_LOD2_4907184,docs/figs/e5_c001_s2p/pipeline_strips/4907184_arm1p_r1.png,195,"265,195,490,355",results/tum_transfer/e5_s2p_interaction/C001/runs/gs_e5_C001_s2p_arm1p_dense_r1/ckpt/final.pt,phases/p0-audit/runs/e5p_s2p_405_repair_20260710_C001/e5p_s2p_interaction_20260710_C001/base/cityjson/gs_e5_C001_s2p_arm1p_dense_r1_run_1.city.json,success,True,True,7984,581.9543790817261,2.344075798911971,0.9759067296981812,1352,1352,1352,418497,622752
arm1p_r2,arm1p,r2,gs_e5_C001_s2p_arm1p_dense_r2,DEBY_LOD2_4907202,docs/figs/e5_c001_s2p/pipeline_strips/4907202_arm1p_r2.png,146,"312,218,483,355",results/tum_transfer/e5_s2p_interaction/C001/runs/gs_e5_C001_s2p_arm1p_dense_r2/ckpt/final.pt,phases/p0-audit/runs/e5p_s2p_405_repair_20260710_C001/e5p_s2p_interaction_20260710_C001/base/cityjson/gs_e5_C001_s2p_arm1p_dense_r2_run_1.city.json,val3dity_invalid,True,False,11,576.1105613708496,0.600911859086822,0.5131642818450928,248,17,8,50,333
arm1p_r2,arm1p,r2,gs_e5_C001_s2p_arm1p_dense_r2,DEBY_LOD2_4908168,docs/figs/e5_c001_s2p/pipeline_strips/4908168_arm1p_r2.png,186,"213,266,326,355",results/tum_transfer/e5_s2p_interaction/C001/runs/gs_e5_C001_s2p_arm1p_dense_r2/ckpt/final.pt,phases/p0-audit/runs/e5p_s2p_405_repair_20260710_C001/e5p_s2p_interaction_20260710_C001/base/cityjson/gs_e5_C001_s2p_arm1p_dense_r2_run_1.city.json,pointcloud_unusable_no_points,False,True,1,577.0299625396729,0.0,0.0039215306751430035,34,0,0,0,477845
arm1p_r2,arm1p,r2,gs_e5_C001_s2p_arm1p_dense_r2,DEBY_LOD2_4908178,docs/figs/e5_c001_s2p/pipeline_strips/4908178_arm1p_r2.png,146,"279,246,431,355",results/tum_transfer/e5_s2p_interaction/C001/runs/gs_e5_C001_s2p_arm1p_dense_r2/ckpt/final.pt,phases/p0-audit/runs/e5p_s2p_405_repair_20260710_C001/e5p_s2p_interaction_20260710_C001/base/cityjson/gs_e5_C001_s2p_arm1p_dense_r2_run_1.city.json,pointcloud_unusable_no_points,False,True,0,,,,35,12,0,0,5311
arm1p_r2,arm1p,r2,gs_e5_C001_s2p_arm1p_dense_r2,DEBY_LOD2_4907184,docs/figs/e5_c001_s2p/pipeline_strips/4907184_arm1p_r2.png,195,"265,195,490,355",results/tum_transfer/e5_s2p_interaction/C001/runs/gs_e5_C001_s2p_arm1p_dense_r2/ckpt/final.pt,phases/p0-audit/runs/e5p_s2p_405_repair_20260710_C001/e5p_s2p_interaction_20260710_C001/base/cityjson/gs_e5_C001_s2p_arm1p_dense_r2_run_1.city.json,success,True,True,7308,582.1913166046143,2.3204367752716992,0.9729624688625336,1352,1352,1352,415671,609267
