arm,replicate,run_name,seed,config,config_sha256,effective_config,effective_config_sha256,ckpt,ckpt_sha256,start_utc,end_utc,return_code,elapsed_min,host_gpu,max_iter,final_n_gaussians,w_normal,prune_opa,final_prune_opa,depth_weight_floor,audit_csv,densify_audit
arm1p,r1,gs_e5_C001_s2p_arm1p_dense_r1,2001,configs/tum_mob/e5_s2p_interaction/gs_e5_C001_s2p_arm1p_dense_r1.yaml,bdd3d229e6ae8052e60d5d8bbff26d670c62008326ee6ed4d8ee81970a4146df,results/tum_transfer/e5_s2p_interaction/C001/runs/gs_e5_C001_s2p_arm1p_dense_r1/effective_config.json,2965936bf325f3aeb744b9d9758891dca8afa31574b072595fb7d58661bae858,results/tum_transfer/e5_s2p_interaction/C001/runs/gs_e5_C001_s2p_arm1p_dense_r1/ckpt/final.pt,dbdf674a8425836a1526348e2aff0a35b0d01de102914672da0e9d626be81663,2026-07-10T12:12:33.386399+00:00,2026-07-10T13:15:56.231867+00:00,0,63.2,0,30000,557900,,0.05,0.0,,results/tum_transfer/e5_s2p_interaction/C001/runs/gs_e5_C001_s2p_arm1p_dense_r1/audit/loss_grad_norms.csv,results/tum_transfer/e5_s2p_interaction/C001/runs/gs_e5_C001_s2p_arm1p_dense_r1/audit/densify_events.csv
arm1p,r2,gs_e5_C001_s2p_arm1p_dense_r2,2001,configs/tum_mob/e5_s2p_interaction/gs_e5_C001_s2p_arm1p_dense_r2.yaml,3d109937280ea0349cf30d38a7b7155fa0f08b73b5a367545fd4c9032ba7c32d,results/tum_transfer/e5_s2p_interaction/C001/runs/gs_e5_C001_s2p_arm1p_dense_r2/effective_config.json,2965936bf325f3aeb744b9d9758891dca8afa31574b072595fb7d58661bae858,results/tum_transfer/e5_s2p_interaction/C001/runs/gs_e5_C001_s2p_arm1p_dense_r2/ckpt/final.pt,b7036ff7d589cd30dc554cac12d96b921cb478db1f3d21540c7e8d584e6605b3,2026-07-10T12:41:23.161546+00:00,2026-07-10T13:39:12.420153+00:00,0,57.7,1,30000,589550,,0.05,0.0,,results/tum_transfer/e5_s2p_interaction/C001/runs/gs_e5_C001_s2p_arm1p_dense_r2/audit/loss_grad_norms.csv,results/tum_transfer/e5_s2p_interaction/C001/runs/gs_e5_C001_s2p_arm1p_dense_r2/audit/densify_events.csv
