selection_rank,building_id,building_id_short,is_core10,centroid_x,centroid_y,centroid_expansion_distance_m,footprint_minx,footprint_miny,footprint_maxx,footprint_maxy,footprint_area_m2,is_small_lt50m2,dense_has_lod22,dense_roof_rms_m,dense_bar_median_m,dense_bar_median_excluding_lt50m2_m,non_small_sensitivity_count,core10_dense_rms_median_m,core10_reproduces_0p990_3dp,scoring_aoi_minx,scoring_aoi_miny,scoring_aoi_maxx,scoring_aoi_maxy,training_crop_aoi_minx,training_crop_aoi_miny,training_crop_aoi_maxx,training_crop_aoi_maxy,training_context_buffer_m,training_bbox_fully_contained_building_count,training_bbox_intersecting_building_count,dense_success_context_only_fully_contained_count,dense_success_context_only_intersecting_count,selection_sha256,population_source_sha256,dense_status_source_sha256,footprint_source_sha256,dense_rms_source_sha256,crs
17,DEBY_LOD2_4908178,4908178,true,690801.218120961,5336040.498658362,0.000000000,690794.760000000,5336032.930000000,690807.650000000,5336048.060000000,113.412000000,false,true,0.624888129,0.640884566,1.175249793,25,0.989554664,true,690722.296661349,5335966.948661349,690911.966338651,5336172.663338651,690764.890000000,5335918.400000000,690964.530000000,5336202.000000000,20.000000000,78,102,15,35,e98daa670a0753198e8a54502b260a07bcefe2bca42976931c0a08b766c5b3cd,3cabed76b37625fdf8f9a72ed5c5b1f7c90ba23a839d6f1a61fc3727870cee82,4412ee47f8665e1a12663629dd66f9c9612f2e9adca54be38c188f2bc521a9b6,ca7f5b13a52368e1d2ac47b77cc78f12887bad4d598d122ad57b882eb4920a82,a3b89f1907e6e61aead702efe6b742b5c012615df77d90bdb2a859b5418d85ab,EPSG:25832
18,DEBY_LOD2_60098,60098,true,690818.957939442,5336102.553112226,0.000000000,690809.546000000,5336093.763000000,690828.159000000,5336111.098000000,195.930000000,false,true,2.991955569,0.640884566,1.175249793,25,0.989554664,true,690722.296661349,5335966.948661349,690911.966338651,5336172.663338651,690764.890000000,5335918.400000000,690964.530000000,5336202.000000000,20.000000000,78,102,15,35,e98daa670a0753198e8a54502b260a07bcefe2bca42976931c0a08b766c5b3cd,3cabed76b37625fdf8f9a72ed5c5b1f7c90ba23a839d6f1a61fc3727870cee82,4412ee47f8665e1a12663629dd66f9c9612f2e9adca54be38c188f2bc521a9b6,ca7f5b13a52368e1d2ac47b77cc78f12887bad4d598d122ad57b882eb4920a82,a3b89f1907e6e61aead702efe6b742b5c012615df77d90bdb2a859b5418d85ab,EPSG:25832
19,DEBY_LOD2_4907207,4907207,false,690802.943021115,5335995.731354815,3.470645185,690788.830000000,5335983.620000000,690818.040000000,5336007.760000000,324.508000000,false,true,2.403768161,0.640884566,1.175249793,25,0.989554664,true,690722.296661349,5335966.948661349,690911.966338651,5336172.663338651,690764.890000000,5335918.400000000,690964.530000000,5336202.000000000,20.000000000,78,102,15,35,e98daa670a0753198e8a54502b260a07bcefe2bca42976931c0a08b766c5b3cd,3cabed76b37625fdf8f9a72ed5c5b1f7c90ba23a839d6f1a61fc3727870cee82,4412ee47f8665e1a12663629dd66f9c9612f2e9adca54be38c188f2bc521a9b6,ca7f5b13a52368e1d2ac47b77cc78f12887bad4d598d122ad57b882eb4920a82,a3b89f1907e6e61aead702efe6b742b5c012615df77d90bdb2a859b5418d85ab,EPSG:25832
20,DEBY_LOD2_4907165,4907165,false,690799.805923721,5336146.713540701,6.303540701,690786.190000000,5336137.110000000,690813.100000000,5336156.260000000,262.125000000,false,true,9.607732104,0.640884566,1.175249793,25,0.989554664,true,690722.296661349,5335966.948661349,690911.966338651,5336172.663338651,690764.890000000,5335918.400000000,690964.530000000,5336202.000000000,20.000000000,78,102,15,35,e98daa670a0753198e8a54502b260a07bcefe2bca42976931c0a08b766c5b3cd,3cabed76b37625fdf8f9a72ed5c5b1f7c90ba23a839d6f1a61fc3727870cee82,4412ee47f8665e1a12663629dd66f9c9612f2e9adca54be38c188f2bc521a9b6,ca7f5b13a52368e1d2ac47b77cc78f12887bad4d598d122ad57b882eb4920a82,a3b89f1907e6e61aead702efe6b742b5c012615df77d90bdb2a859b5418d85ab,EPSG:25832
21,DEBY_LOD2_4907177,4907177,false,690852.637746982,5336149.210191599,8.800191599,690844.491000000,5336144.454000000,690861.615000000,5336154.794000000,95.570000000,false,true,1.241874985,0.640884566,1.175249793,25,0.989554664,true,690722.296661349,5335966.948661349,690911.966338651,5336172.663338651,690764.890000000,5335918.400000000,690964.530000000,5336202.000000000,20.000000000,78,102,15,35,e98daa670a0753198e8a54502b260a07bcefe2bca42976931c0a08b766c5b3cd,3cabed76b37625fdf8f9a72ed5c5b1f7c90ba23a839d6f1a61fc3727870cee82,4412ee47f8665e1a12663629dd66f9c9612f2e9adca54be38c188f2bc521a9b6,ca7f5b13a52368e1d2ac47b77cc78f12887bad4d598d122ad57b882eb4920a82,a3b89f1907e6e61aead702efe6b742b5c012615df77d90bdb2a859b5418d85ab,EPSG:25832
22,DEBY_LOD2_4907179,4907179,false,690869.898436349,5336151.966597747,11.556597747,690860.920000000,5336144.030000000,690878.560000000,5336159.470000000,160.359000000,false,true,1.175249793,0.640884566,1.175249793,25,0.989554664,true,690722.296661349,5335966.948661349,690911.966338651,5336172.663338651,690764.890000000,5335918.400000000,690964.530000000,5336202.000000000,20.000000000,78,102,15,35,e98daa670a0753198e8a54502b260a07bcefe2bca42976931c0a08b766c5b3cd,3cabed76b37625fdf8f9a72ed5c5b1f7c90ba23a839d6f1a61fc3727870cee82,4412ee47f8665e1a12663629dd66f9c9612f2e9adca54be38c188f2bc521a9b6,ca7f5b13a52368e1d2ac47b77cc78f12887bad4d598d122ad57b882eb4920a82,a3b89f1907e6e61aead702efe6b742b5c012615df77d90bdb2a859b5418d85ab,EPSG:25832
23,DEBY_LOD2_42364665,42364665,false,690891.827746121,5336059.473244865,12.114746121,690878.019000000,5336057.014000000,690905.793000000,5336062.468000000,49.277000000,true,true,0.370900424,0.640884566,1.175249793,25,0.989554664,true,690722.296661349,5335966.948661349,690911.966338651,5336172.663338651,690764.890000000,5335918.400000000,690964.530000000,5336202.000000000,20.000000000,78,102,15,35,e98daa670a0753198e8a54502b260a07bcefe2bca42976931c0a08b766c5b3cd,3cabed76b37625fdf8f9a72ed5c5b1f7c90ba23a839d6f1a61fc3727870cee82,4412ee47f8665e1a12663629dd66f9c9612f2e9adca54be38c188f2bc521a9b6,ca7f5b13a52368e1d2ac47b77cc78f12887bad4d598d122ad57b882eb4920a82,a3b89f1907e6e61aead702efe6b742b5c012615df77d90bdb2a859b5418d85ab,EPSG:25832
24,DEBY_LOD2_4906965,4906965,false,690870.664913853,5335975.216330258,23.985669741,690825.810000000,5335938.400000000,690928.630000000,5336024.430000000,2621.250000000,false,true,2.044035787,0.640884566,1.175249793,25,0.989554664,true,690722.296661349,5335966.948661349,690911.966338651,5336172.663338651,690764.890000000,5335918.400000000,690964.530000000,5336202.000000000,20.000000000,78,102,15,35,e98daa670a0753198e8a54502b260a07bcefe2bca42976931c0a08b766c5b3cd,3cabed76b37625fdf8f9a72ed5c5b1f7c90ba23a839d6f1a61fc3727870cee82,4412ee47f8665e1a12663629dd66f9c9612f2e9adca54be38c188f2bc521a9b6,ca7f5b13a52368e1d2ac47b77cc78f12887bad4d598d122ad57b882eb4920a82,a3b89f1907e6e61aead702efe6b742b5c012615df77d90bdb2a859b5418d85ab,EPSG:25832
25,DEBY_LOD2_42364667,42364667,false,690904.685895380,5336093.514900895,24.972895380,690891.702000000,5336091.347000000,690917.651000000,5336095.022000000,45.705000000,true,true,0.050577814,0.640884566,1.175249793,25,0.989554664,true,690722.296661349,5335966.948661349,690911.966338651,5336172.663338651,690764.890000000,5335918.400000000,690964.530000000,5336202.000000000,20.000000000,78,102,15,35,e98daa670a0753198e8a54502b260a07bcefe2bca42976931c0a08b766c5b3cd,3cabed76b37625fdf8f9a72ed5c5b1f7c90ba23a839d6f1a61fc3727870cee82,4412ee47f8665e1a12663629dd66f9c9612f2e9adca54be38c188f2bc521a9b6,ca7f5b13a52368e1d2ac47b77cc78f12887bad4d598d122ad57b882eb4920a82,a3b89f1907e6e61aead702efe6b742b5c012615df77d90bdb2a859b5418d85ab,EPSG:25832
26,DEBY_LOD2_4907176,4907176,false,690849.977874259,5336166.735130451,26.325130451,690835.490000000,5336151.500000000,690864.200000000,5336182.000000000,515.387000000,false,true,0.444744213,0.640884566,1.175249793,25,0.989554664,true,690722.296661349,5335966.948661349,690911.966338651,5336172.663338651,690764.890000000,5335918.400000000,690964.530000000,5336202.000000000,20.000000000,78,102,15,35,e98daa670a0753198e8a54502b260a07bcefe2bca42976931c0a08b766c5b3cd,3cabed76b37625fdf8f9a72ed5c5b1f7c90ba23a839d6f1a61fc3727870cee82,4412ee47f8665e1a12663629dd66f9c9612f2e9adca54be38c188f2bc521a9b6,ca7f5b13a52368e1d2ac47b77cc78f12887bad4d598d122ad57b882eb4920a82,a3b89f1907e6e61aead702efe6b742b5c012615df77d90bdb2a859b5418d85ab,EPSG:25832
27,DEBY_LOD2_4907180,4907180,false,690873.827096254,5336167.326232750,26.916232750,690859.480000000,5336154.860000000,690886.900000000,5336180.260000000,386.109000000,false,true,1.868614674,0.640884566,1.175249793,25,0.989554664,true,690722.296661349,5335966.948661349,690911.966338651,5336172.663338651,690764.890000000,5335918.400000000,690964.530000000,5336202.000000000,20.000000000,78,102,15,35,e98daa670a0753198e8a54502b260a07bcefe2bca42976931c0a08b766c5b3cd,3cabed76b37625fdf8f9a72ed5c5b1f7c90ba23a839d6f1a61fc3727870cee82,4412ee47f8665e1a12663629dd66f9c9612f2e9adca54be38c188f2bc521a9b6,ca7f5b13a52368e1d2ac47b77cc78f12887bad4d598d122ad57b882eb4920a82,a3b89f1907e6e61aead702efe6b742b5c012615df77d90bdb2a859b5418d85ab,EPSG:25832
28,DEBY_LOD2_4906967,4906967,false,690907.721578123,5335994.201980449,28.008578123,690870.030000000,5335963.820000000,690944.530000000,5336024.550000000,2568.094000000,false,true,1.255436608,0.640884566,1.175249793,25,0.989554664,true,690722.296661349,5335966.948661349,690911.966338651,5336172.663338651,690764.890000000,5335918.400000000,690964.530000000,5336202.000000000,20.000000000,78,102,15,35,e98daa670a0753198e8a54502b260a07bcefe2bca42976931c0a08b766c5b3cd,3cabed76b37625fdf8f9a72ed5c5b1f7c90ba23a839d6f1a61fc3727870cee82,4412ee47f8665e1a12663629dd66f9c9612f2e9adca54be38c188f2bc521a9b6,ca7f5b13a52368e1d2ac47b77cc78f12887bad4d598d122ad57b882eb4920a82,a3b89f1907e6e61aead702efe6b742b5c012615df77d90bdb2a859b5418d85ab,EPSG:25832
29,DEBY_LOD2_4908023,4908023,false,690909.071398420,5336111.749461396,29.358398420,690906.287000000,5336108.243000000,690911.891000000,5336115.248000000,21.914000000,true,true,0.039406673,0.640884566,1.175249793,25,0.989554664,true,690722.296661349,5335966.948661349,690911.966338651,5336172.663338651,690764.890000000,5335918.400000000,690964.530000000,5336202.000000000,20.000000000,78,102,15,35,e98daa670a0753198e8a54502b260a07bcefe2bca42976931c0a08b766c5b3cd,3cabed76b37625fdf8f9a72ed5c5b1f7c90ba23a839d6f1a61fc3727870cee82,4412ee47f8665e1a12663629dd66f9c9612f2e9adca54be38c188f2bc521a9b6,ca7f5b13a52368e1d2ac47b77cc78f12887bad4d598d122ad57b882eb4920a82,a3b89f1907e6e61aead702efe6b742b5c012615df77d90bdb2a859b5418d85ab,EPSG:25832
30,DEBY_LOD2_4908024,4908024,false,690911.966338651,5336100.259701293,32.253338651,690908.460000000,5336097.503000000,690915.476000000,5336103.016000000,21.670000000,true,true,0.027191048,0.640884566,1.175249793,25,0.989554664,true,690722.296661349,5335966.948661349,690911.966338651,5336172.663338651,690764.890000000,5335918.400000000,690964.530000000,5336202.000000000,20.000000000,78,102,15,35,e98daa670a0753198e8a54502b260a07bcefe2bca42976931c0a08b766c5b3cd,3cabed76b37625fdf8f9a72ed5c5b1f7c90ba23a839d6f1a61fc3727870cee82,4412ee47f8665e1a12663629dd66f9c9612f2e9adca54be38c188f2bc521a9b6,ca7f5b13a52368e1d2ac47b77cc78f12887bad4d598d122ad57b882eb4920a82,a3b89f1907e6e61aead702efe6b742b5c012615df77d90bdb2a859b5418d85ab,EPSG:25832
