arm,replicate,building_id,raw_source,gs_source,raw_has_lod22,gs_has_lod22,gs_shell_bucket,gs_status_reason,gs_density_pts_m2,gs_coverage_frac,gs_ref_dist_rms_m,root_cause_proxy,seed_flag
dense,r1,DEBY_LOD2_4907184,raw_dense,gs_dense_r1,true,true,무효·붕괴,val3dity_invalid,1212.7410,0.9993,3.5658,collapse_invalid_or_rms_tail,
dense,r1,DEBY_LOD2_4907185,raw_dense,gs_dense_r1,true,true,조립,success,21.3503,0.2609,3.2756,not_failure,
dense,r1,DEBY_LOD2_4907186,raw_dense,gs_dense_r1,true,true,조립,success,2.7110,0.0282,3.2043,not_failure,
dense,r1,DEBY_LOD2_4907188,raw_dense,gs_dense_r1,true,true,무효·붕괴,val3dity_invalid,1.7723,0.0422,2.2426,collapse_invalid_or_rms_tail,
dense,r1,DEBY_LOD2_4907194,raw_dense,gs_dense_r1,false,false,미조립,pointcloud_unusable_no_planes,0.1551,0.0047,0.9409,no_planes,
dense,r1,DEBY_LOD2_4907195,raw_dense,gs_dense_r1,true,true,조립,success,5.6399,0.0817,0.8855,not_failure,
dense,r1,DEBY_LOD2_4907198,raw_dense,gs_dense_r1,true,true,조립,success,9.4664,0.1488,2.4460,not_failure,
dense,r1,DEBY_LOD2_4907199,raw_dense,gs_dense_r1,false,false,미조립,pointcloud_unusable_no_planes,12.6898,0.1450,5.2977,no_planes,
dense,r1,DEBY_LOD2_4907202,raw_dense,gs_dense_r1,true,false,미조립,pointcloud_unusable_no_planes,4.0696,0.0749,11.5057,no_planes,seed_flip
dense,r1,DEBY_LOD2_4908168,raw_dense,gs_dense_r1,true,false,미조립,pointcloud_unusable_no_points,0.0000,0.0000,,no_points,seed_flip
dense,r1,DEBY_LOD2_4908178,raw_dense,gs_dense_r1,true,true,무효·붕괴,val3dity_invalid,2.0015,0.0551,33.9813,collapse_invalid_or_rms_tail,
dense,r1,DEBY_LOD2_4908179,raw_dense,gs_dense_r1,false,false,미조립,pointcloud_unusable_no_points,0.0000,0.0000,,no_points,
dense,r1,DEBY_LOD2_60098,raw_dense,gs_dense_r1,true,false,미조립,pointcloud_unusable_no_planes,1.7558,0.0408,2.0722,no_planes,seed_flip
dense,r1,DEBY_LOD2_8568391,raw_dense,gs_dense_r1,false,false,미조립,pointcloud_unusable_no_points,0.3421,0.0136,10.8430,no_points,seed_flip
dense,r1,DEBY_LOD2_8568392,raw_dense,gs_dense_r1,false,false,미조립,pointcloud_unusable_no_points,0.0000,0.0000,,no_points,seed_flip
dense,r2,DEBY_LOD2_108247349,raw_dense,gs_dense_r2,false,false,미조립,pointcloud_unusable_no_points,0.0000,0.0000,,no_points,
dense,r2,DEBY_LOD2_108247350,raw_dense,gs_dense_r2,false,true,무효·붕괴,success,2.2246,0.0625,16.0629,collapse_invalid_or_rms_tail,seed_flip
dense,r2,DEBY_LOD2_108247351,raw_dense,gs_dense_r2,false,false,미조립,pointcloud_unusable_no_planes,1.3328,0.0269,10.4894,no_planes,seed_flip
dense,r2,DEBY_LOD2_4907184,raw_dense,gs_dense_r2,true,true,조립,success,1211.2286,0.9993,2.7624,not_failure,
dense,r2,DEBY_LOD2_4907185,raw_dense,gs_dense_r2,true,true,조립,success,29.3077,0.2857,3.4435,not_failure,
dense,r2,DEBY_LOD2_4907186,raw_dense,gs_dense_r2,true,true,조립,success,2.0318,0.0401,3.3193,not_failure,
dense,r2,DEBY_LOD2_4907188,raw_dense,gs_dense_r2,true,true,무효·붕괴,val3dity_invalid,1.3021,0.0286,2.5328,collapse_invalid_or_rms_tail,
dense,r2,DEBY_LOD2_4907194,raw_dense,gs_dense_r2,false,false,미조립,pointcloud_unusable_no_points,0.1457,0.0035,1.8603,no_points,
dense,r2,DEBY_LOD2_4907195,raw_dense,gs_dense_r2,true,true,조립,success,5.2070,0.0930,0.6046,not_failure,
dense,r2,DEBY_LOD2_4907198,raw_dense,gs_dense_r2,true,true,조립,success,13.7771,0.1398,2.8276,not_failure,
dense,r2,DEBY_LOD2_4907199,raw_dense,gs_dense_r2,false,false,미조립,pointcloud_unusable_no_planes,1.1693,0.0127,7.6286,no_planes,
dense,r2,DEBY_LOD2_4907202,raw_dense,gs_dense_r2,true,true,조립,success,21.6504,0.2200,3.4963,not_failure,seed_flip
dense,r2,DEBY_LOD2_4908168,raw_dense,gs_dense_r2,true,true,조립,success,25.8746,0.1930,0.1656,not_failure,seed_flip
dense,r2,DEBY_LOD2_4908178,raw_dense,gs_dense_r2,true,true,무효·붕괴,val3dity_invalid,46.0709,0.5220,0.4078,collapse_invalid_or_rms_tail,
dense,r2,DEBY_LOD2_4908179,raw_dense,gs_dense_r2,false,false,미조립,pointcloud_unusable_no_points,0.0000,0.0000,,no_points,
dense,r2,DEBY_LOD2_60098,raw_dense,gs_dense_r2,true,true,조립,success,1.4546,0.0357,1.3699,not_failure,seed_flip
dense,r2,DEBY_LOD2_8568391,raw_dense,gs_dense_r2,false,true,조립,success,3.6733,0.0724,1.1328,not_failure,seed_flip
dense,r2,DEBY_LOD2_8568392,raw_dense,gs_dense_r2,false,true,조립,success,16.2138,0.3333,1.3036,not_failure,seed_flip
acmp,r1,DEBY_LOD2_108247349,raw_acmp,gs_acmp_r1,false,false,미조립,pointcloud_unusable_no_points,0.3363,0.0075,34.2715,no_points,
acmp,r1,DEBY_LOD2_108247350,raw_acmp,gs_acmp_r1,true,false,미조립,pointcloud_unusable_no_points,0.2472,0.0417,15.9018,no_points,
acmp,r1,DEBY_LOD2_108247351,raw_acmp,gs_acmp_r1,true,false,미조립,pointcloud_unusable_no_points,0.1379,0.0115,23.3731,no_points,
acmp,r1,DEBY_LOD2_4907184,raw_acmp,gs_acmp_r1,true,true,무효·붕괴,val3dity_invalid,1228.2502,0.9985,3.0390,collapse_invalid_or_rms_tail,
acmp,r1,DEBY_LOD2_4907185,raw_acmp,gs_acmp_r1,true,true,조립,success,28.2020,0.3121,4.7425,not_failure,
acmp,r1,DEBY_LOD2_4907186,raw_acmp,gs_acmp_r1,true,true,조립,success,4.0219,0.0550,2.9446,not_failure,
acmp,r1,DEBY_LOD2_4907188,raw_acmp,gs_acmp_r1,true,true,무효·붕괴,val3dity_invalid,1.6277,0.0271,2.2029,collapse_invalid_or_rms_tail,
acmp,r1,DEBY_LOD2_4907194,raw_acmp,gs_acmp_r1,true,false,미조립,pointcloud_unusable_no_planes,0.1363,0.0071,0.8573,no_planes,seed_flip
acmp,r1,DEBY_LOD2_4907195,raw_acmp,gs_acmp_r1,true,true,조립,success,9.1600,0.1085,0.8992,not_failure,
acmp,r1,DEBY_LOD2_4907198,raw_acmp,gs_acmp_r1,true,true,조립,success,8.5298,0.1307,2.3962,not_failure,
acmp,r1,DEBY_LOD2_4907199,raw_acmp,gs_acmp_r1,false,false,미조립,pointcloud_unusable_no_planes,8.3785,0.1628,18.1374,no_planes,seed_flip
acmp,r1,DEBY_LOD2_4907202,raw_acmp,gs_acmp_r1,true,true,무효·붕괴,val3dity_invalid,4.7738,0.0406,44.0604,collapse_invalid_or_rms_tail,
acmp,r1,DEBY_LOD2_4908168,raw_acmp,gs_acmp_r1,true,true,조립,success,83.9709,0.3070,0.4397,not_failure,seed_flip
acmp,r1,DEBY_LOD2_4908178,raw_acmp,gs_acmp_r1,false,false,미조립,pointcloud_unusable_no_planes,8.7469,0.1101,33.2268,no_planes,seed_flip
acmp,r1,DEBY_LOD2_4908179,raw_acmp,gs_acmp_r1,false,false,미조립,pointcloud_unusable_no_planes,0.4482,0.0084,40.5578,no_planes,
acmp,r1,DEBY_LOD2_60098,raw_acmp,gs_acmp_r1,true,true,조립,success,1.6741,0.0574,6.3290,not_failure,
acmp,r1,DEBY_LOD2_8568391,raw_acmp,gs_acmp_r1,false,false,미조립,pointcloud_unusable_no_points,0.2881,0.0090,45.3884,no_points,
acmp,r1,DEBY_LOD2_8568392,raw_acmp,gs_acmp_r1,false,false,미조립,pointcloud_unusable_no_points,0.0000,0.0000,,no_points,
acmp,r2,DEBY_LOD2_108247349,raw_acmp,gs_acmp_r2,false,false,미조립,pointcloud_unusable_no_points,0.0000,0.0000,,no_points,
acmp,r2,DEBY_LOD2_108247350,raw_acmp,gs_acmp_r2,true,false,미조립,pointcloud_unusable_no_points,1.1535,0.0417,16.1208,no_points,
acmp,r2,DEBY_LOD2_108247351,raw_acmp,gs_acmp_r2,true,false,미조립,pointcloud_unusable_no_planes,0.7966,0.0346,13.0153,no_planes,
acmp,r2,DEBY_LOD2_4907184,raw_acmp,gs_acmp_r2,true,true,조립,success,1228.2414,1.0000,3.5052,not_failure,
acmp,r2,DEBY_LOD2_4907185,raw_acmp,gs_acmp_r2,true,true,조립,success,28.9412,0.2857,3.8592,not_failure,
acmp,r2,DEBY_LOD2_4907186,raw_acmp,gs_acmp_r2,true,true,조립,success,3.0626,0.0550,2.9932,not_failure,
acmp,r2,DEBY_LOD2_4907188,raw_acmp,gs_acmp_r2,true,true,무효·붕괴,val3dity_invalid,2.1159,0.0407,4.0698,collapse_invalid_or_rms_tail,
acmp,r2,DEBY_LOD2_4907194,raw_acmp,gs_acmp_r2,true,true,무효·붕괴,val3dity_invalid,0.2679,0.0094,0.8467,collapse_invalid_or_rms_tail,seed_flip
acmp,r2,DEBY_LOD2_4907195,raw_acmp,gs_acmp_r2,true,true,조립,success,8.6427,0.1014,3.2901,not_failure,
acmp,r2,DEBY_LOD2_4907198,raw_acmp,gs_acmp_r2,true,true,조립,success,11.2174,0.1314,6.1224,not_failure,
acmp,r2,DEBY_LOD2_4907199,raw_acmp,gs_acmp_r2,false,true,무효·붕괴,val3dity_invalid,14.9878,0.2010,13.5929,collapse_invalid_or_rms_tail,seed_flip
acmp,r2,DEBY_LOD2_4907202,raw_acmp,gs_acmp_r2,true,true,조립,success,12.7447,0.1716,2.2273,not_failure,
acmp,r2,DEBY_LOD2_4908168,raw_acmp,gs_acmp_r2,true,false,미조립,pointcloud_unusable_no_points,0.0000,0.0000,,no_points,seed_flip
acmp,r2,DEBY_LOD2_4908178,raw_acmp,gs_acmp_r2,false,true,무효·붕괴,val3dity_invalid,45.1450,0.3921,18.9078,collapse_invalid_or_rms_tail,seed_flip
acmp,r2,DEBY_LOD2_4908179,raw_acmp,gs_acmp_r2,false,false,미조립,pointcloud_unusable_no_points,0.1522,0.0042,40.7394,no_points,
acmp,r2,DEBY_LOD2_60098,raw_acmp,gs_acmp_r2,true,true,조립,success,1.3883,0.0485,0.8453,not_failure,
acmp,r2,DEBY_LOD2_8568391,raw_acmp,gs_acmp_r2,false,false,미조립,pointcloud_unusable_no_planes,1.0444,0.0226,38.1128,no_planes,
acmp,r2,DEBY_LOD2_8568392,raw_acmp,gs_acmp_r2,false,false,미조립,pointcloud_unusable_no_points,0.0000,0.0000,,no_points,
