record_type,arm,replicate,run_name,seed,config,config_sha256,effective_config,effective_config_sha256,ckpt,ckpt_sha256,start_utc,end_utc,host_gpu,return_code,elapsed_min,max_iter,final_n_gaussians,w_normal,w_distort,prune_opa,final_prune_opa,w_semdepth_smooth,w_semdepth_plane,w_boundary_normal,distort_norm_denominator,audit_csv,semantic_audit,densify_audit
training_fingerprint,s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,2001,configs/tum_mob/e5_s3_semantic_guided/gs_e5_C001_s3a_semantic_guided_r1.yaml,28145a0926381fe8e11350928f7f109f9893179a3ddbd86c9816b750c9086a82,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/effective_config.json,9c24e27f6c248a55b052da2a4b037a5f3ede8b603125c66ef6f5010e2190d27b,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/ckpt/final.pt,706c9947b480e93f86bf1872cb50b5ea113887d2f06ddf1978e6221a0c1fcd5e,2026-07-14T06:53:52.389758+00:00,2026-07-14T08:18:51.321820+00:00,0,0,84.8,30000,542205,0.05,100.0,0.05,0.0,0.125,0.125,0.01,1453.9804734849022,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/audit/loss_grad_norms.csv,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/audit/semantic_geometry.csv,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/audit/densify_events.csv
training_fingerprint,s3a,r2,gs_e5_C001_s3a_semantic_guided_r2,2001,configs/tum_mob/e5_s3_semantic_guided/gs_e5_C001_s3a_semantic_guided_r2.yaml,ad0baee1f19ced010355391e5f3a8030999cbfa78a9cfdf2365ed1955a49786f,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r2/effective_config.json,9c24e27f6c248a55b052da2a4b037a5f3ede8b603125c66ef6f5010e2190d27b,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r2/ckpt/final.pt,1d817037cf1b69ea90ab07c9d4b0b5909b04c8eb94b37288ca882e724727f8f3,2026-07-14T06:53:52.395229+00:00,2026-07-14T08:17:30.144384+00:00,1,0,83.4,30000,541070,0.05,100.0,0.05,0.0,0.125,0.125,0.01,1453.9804734849022,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r2/audit/loss_grad_norms.csv,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r2/audit/semantic_geometry.csv,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r2/audit/densify_events.csv
