building_id,role,surface_count,symmetric_median_m,all_support_p90_m,bidirectional_matched_support,absolute_signed_bias_m,absolute_criteria_pass
DEBY_LOD2_108580335,fit,2,0.350000000,0.350000000,0.414334608,0.008988372,false
DEBY_LOD2_42364665,fit,2,0.254266969,0.350000000,0.443667444,0.010582292,false
DEBY_LOD2_4906969,fit,2,0.350000000,0.350000000,0.419408441,0.019663959,false
DEBY_LOD2_4906982,fit,2,0.350000000,0.350000000,0.345731707,0.036805687,false
DEBY_LOD2_4906984,fit,2,0.096840698,0.350000000,0.573347663,0.006464090,false
DEBY_LOD2_4906989,fit,2,0.183056836,0.350000000,0.488711819,0.030829682,false
DEBY_LOD2_4907505,fit,2,0.350000000,0.350000000,0.200355661,0.010423668,false
DEBY_LOD2_4907507,fit,2,0.131913155,0.350000000,0.649193548,0.011283712,false
DEBY_LOD2_4907515,fit,2,0.121974204,0.350000000,0.736037080,0.036128422,false
DEBY_LOD2_4907518,fit,2,0.096491402,0.350000000,0.785856354,0.029576305,false
DEBY_LOD2_4907519,fit,2,0.350000000,0.350000000,0.151898734,0.023393202,false
DEBY_LOD2_4959320,fit,2,0.350000000,0.350000000,0.180322781,0.009856934,false
DEBY_LOD2_4959323,fit,2,0.350000000,0.350000000,0.416160389,0.004022059,false
DEBY_LOD2_4959325,fit,2,0.350000000,0.350000000,0.447475832,0.015288861,false
DEBY_LOD2_4959460,fit,2,0.350000000,0.350000000,0.170936902,0.011181358,false
DEBY_LOD2_4959461,fit,2,0.350000000,0.350000000,0.403310456,0.007875679,false
DEBY_LOD2_4959464,fit,2,0.142629357,0.350000000,0.673954829,0.046123086,false
DEBY_LOD2_8573848,fit,2,0.350000000,0.350000000,0.219065078,0.022823782,false
