patch_branch,n_rows,n_ok,mean_delta_F,mean_delta_roof_cov,mean_delta_ground_cov,mean_delta_support_coverage,simple_case_regressions,edge_regressions,hidden_ground_failures,selected_for_combined,decision,decision_reason
Stage3Algo-v1c-ground,30,30,-0.004152520122633883,0.0,-0.000699999999999997,-0.0021222222222222237,6,0,0,False,REJECT,Robust ground branch did not satisfy recovery/no-regression gate.
Stage3Algo-v1c-height-definition,30,30,0.0,0.0,0.0,0.0,0,0,0,False,REJECT,No confirmed safe Stage3 algorithm patch for this branch; kept as diagnostic no-op.
Stage3Algo-v1c-roof-merge-prune,30,30,0.0,0.0,0.0,0.0,0,0,0,False,REJECT,No confirmed safe Stage3 algorithm patch for this branch; kept as diagnostic no-op.
Stage3Algo-v1c-roof-evaluator-matching,30,30,0.0,0.0,0.0,0.0,0,0,0,False,REJECT,No confirmed safe Stage3 algorithm patch for this branch; kept as diagnostic no-op.
Stage3Algo-v1c-support-attribution,30,30,0.0,0.0,0.0,0.0,0,0,0,False,REJECT,No confirmed safe Stage3 algorithm patch for this branch; kept as diagnostic no-op.
Stage3Algo-v1c-combined-selected,30,30,0.0,0.0,0.0,0.0,0,0,0,False,REJECT,No confirmed safe Stage3 algorithm patch for this branch; kept as diagnostic no-op.
