building_id,source_files,part_count,intersecting_part_count,area_m2,min_x,min_y,max_x,max_y
DEBY_LOD2_4907156,690_5336.gml,1,1,295.441,690773.948,5336218.085,690793.578,5336243.459
DEBY_LOD2_4907164,690_5336.gml,1,1,322.770,690771.170,5336137.667,690792.382,5336166.519
DEBY_LOD2_4907165,690_5336.gml,1,1,262.125,690786.190,5336137.110,690813.100,5336156.260
DEBY_LOD2_4907166,690_5336.gml,1,1,160.195,690780.929,5336162.063,690797.260,5336178.584
DEBY_LOD2_4907167,690_5336.gml,1,1,203.195,690785.740,5336174.424,690803.080,5336194.892
DEBY_LOD2_4907168,690_5336.gml,1,1,207.379,690792.237,5336190.463,690809.649,5336211.256
DEBY_LOD2_4907169,690_5336.gml,1,1,317.445,690798.655,5336207.277,690823.527,5336232.403
DEBY_LOD2_4907170,690_5336.gml,1,1,239.910,690818.772,5336207.255,690840.750,5336226.029
DEBY_LOD2_4907171,690_5336.gml,1,1,189.008,690835.701,5336201.306,690853.340,5336219.275
DEBY_LOD2_4907172,690_5336.gml,1,1,165.273,690848.829,5336198.213,690865.704,5336214.579
DEBY_LOD2_4907173,690_5336.gml,1,1,377.953,690873.808,5336175.864,690895.781,5336205.091
DEBY_LOD2_4907174,690_5336.gml,1,1,260.426,690819.510,5336159.218,690838.473,5336187.715
DEBY_LOD2_4907175,690_5336.gml,1,1,413.891,690823.901,5336131.019,690851.456,5336160.247
DEBY_LOD2_4907176,690_5336.gml,1,1,515.387,690835.490,5336151.500,690864.200,5336182.000
DEBY_LOD2_4907177,690_5336.gml,1,1,95.570,690844.491,5336144.454,690861.615,5336154.794
DEBY_LOD2_4907178,690_5336.gml,1,1,192.957,690856.670,5336131.070,690874.280,5336148.980
DEBY_LOD2_4907179,690_5336.gml,1,1,160.359,690860.920,5336144.030,690878.560,5336159.470
DEBY_LOD2_4907180,690_5336.gml,1,1,386.109,690859.480,5336154.860,690886.900,5336180.260
DEBY_LOD2_4907181,690_5336.gml,1,1,190.789,690820.660,5336120.226,690842.434,5336135.392
DEBY_LOD2_4907182,690_5336.gml,1,1,95.004,690836.070,5336129.230,690849.280,5336143.140
DEBY_LOD2_4907183,690_5336.gml,1,1,361.680,690847.560,5336106.450,690869.160,5336135.870
DEBY_LOD2_4907184,690_5336.gml,1,1,337.875,690836.639,5336083.195,690859.713,5336111.925
DEBY_LOD2_4907185,690_5336.gml,1,1,160.980,690823.749,5336088.726,690840.839,5336104.576
DEBY_LOD2_4907186,690_5336.gml,1,1,167.836,690797.374,5336099.254,690814.266,5336115.932
DEBY_LOD2_4907187,690_5336.gml,1,1,119.906,690809.860,5336126.241,690824.327,5336140.538
DEBY_LOD2_4907188,690_5336.gml,1,1,165.881,690784.890,5336103.990,690801.800,5336120.410
DEBY_LOD2_4907194,690_5336.gml,1,1,212.727,690774.550,5336076.450,690792.810,5336096.540
DEBY_LOD2_4907195,690_5336.gml,1,1,177.840,690786.440,5336074.700,690805.030,5336091.970
DEBY_LOD2_4907196,690_5336.gml,1,1,427.391,690821.060,5336047.490,690845.770,5336079.520
DEBY_LOD2_4907198,690_5336.gml,1,1,359.797,690794.980,5336060.480,690824.860,5336087.310
DEBY_LOD2_4907199,690_5336.gml,1,1,98.346,690790.430,5336048.400,690802.100,5336063.250
DEBY_LOD2_4907201,690_5336.gml,1,1,190.867,690816.020,5336036.010,690835.390,5336053.690
DEBY_LOD2_4907202,690_5336.gml,1,1,160.461,690788.390,5336023.060,690811.100,5336037.480
DEBY_LOD2_4907204,690_5336.gml,1,1,224.359,690813.390,5336017.250,690831.050,5336039.940
DEBY_LOD2_4907205,690_5336.gml,1,1,105.059,690792.583,5336009.794,690804.228,5336027.123
