building_id,arm,run,iteration,observation_phase,scope,gaussians_total,seed_lineage_count,opacity_median,cum_prune_candidates,cum_pruned,cum_prune_seed_protected,seed_protect_active,source_path
DEBY_LOD2_42364609,Aprime,r1,4500,post_dynamics,all_seed_lineage,7922,7922,0.03076588362455368,8429,8429,0,False,phases/p2-gsjso/runs/20260726_fusion_w1_aprime/training/by_building/DEBY_LOD2_42364609/arm_Aprime/r1/audit/seed_lineage.csv
DEBY_LOD2_42364609,Aprime,r1,5000,post_dynamics,all_seed_lineage,8021,8021,0.0300095584243536,8622,8622,0,False,phases/p2-gsjso/runs/20260726_fusion_w1_aprime/training/by_building/DEBY_LOD2_42364609/arm_Aprime/r1/audit/seed_lineage.csv
DEBY_LOD2_42364609,Aprime,r1,5500,post_dynamics,all_seed_lineage,8081,8081,0.02951672114431858,8794,8794,0,False,phases/p2-gsjso/runs/20260726_fusion_w1_aprime/training/by_building/DEBY_LOD2_42364609/arm_Aprime/r1/audit/seed_lineage.csv
DEBY_LOD2_42364609,Aprime,r1,6000,post_dynamics,all_seed_lineage,8150,8150,0.009999998845160007,8969,8969,0,False,phases/p2-gsjso/runs/20260726_fusion_w1_aprime/training/by_building/DEBY_LOD2_42364609/arm_Aprime/r1/audit/seed_lineage.csv
DEBY_LOD2_42364609,Aprime,r1,6500,post_dynamics,all_seed_lineage,6840,6840,0.04173358157277107,10635,10635,0,False,phases/p2-gsjso/runs/20260726_fusion_w1_aprime/training/by_building/DEBY_LOD2_42364609/arm_Aprime/r1/audit/seed_lineage.csv
DEBY_LOD2_42364609,Aprime,r1,7000,post_dynamics,all_seed_lineage,6944,6944,0.037549830973148346,10728,10728,0,False,phases/p2-gsjso/runs/20260726_fusion_w1_aprime/training/by_building/DEBY_LOD2_42364609/arm_Aprime/r1/audit/seed_lineage.csv
DEBY_LOD2_42364609,Aprime,r1,7500,post_dynamics,all_seed_lineage,7080,7080,0.03378560021519661,10826,10826,0,False,phases/p2-gsjso/runs/20260726_fusion_w1_aprime/training/by_building/DEBY_LOD2_42364609/arm_Aprime/r1/audit/seed_lineage.csv
DEBY_LOD2_42364609,Aprime,r1,8000,post_dynamics,all_seed_lineage,7197,7197,0.03230135142803192,10951,10951,0,False,phases/p2-gsjso/runs/20260726_fusion_w1_aprime/training/by_building/DEBY_LOD2_42364609/arm_Aprime/r1/audit/seed_lineage.csv
DEBY_LOD2_42364609,Aprime,r1,8500,post_dynamics,all_seed_lineage,7304,7304,0.03100862354040146,11073,11073,0,False,phases/p2-gsjso/runs/20260726_fusion_w1_aprime/training/by_building/DEBY_LOD2_42364609/arm_Aprime/r1/audit/seed_lineage.csv
DEBY_LOD2_42364609,Aprime,r1,9000,post_dynamics,all_seed_lineage,7408,7408,0.009999998845160007,11189,11189,0,False,phases/p2-gsjso/runs/20260726_fusion_w1_aprime/training/by_building/DEBY_LOD2_42364609/arm_Aprime/r1/audit/seed_lineage.csv
DEBY_LOD2_42364609,Aprime,r1,9500,post_dynamics,all_seed_lineage,6767,6767,0.03996514901518822,12129,12129,0,False,phases/p2-gsjso/runs/20260726_fusion_w1_aprime/training/by_building/DEBY_LOD2_42364609/arm_Aprime/r1/audit/seed_lineage.csv
DEBY_LOD2_42364609,Aprime,r1,10000,post_dynamics,all_seed_lineage,6892,6892,0.03715147823095322,12234,12234,0,False,phases/p2-gsjso/runs/20260726_fusion_w1_aprime/training/by_building/DEBY_LOD2_42364609/arm_Aprime/r1/audit/seed_lineage.csv
DEBY_LOD2_42364609,Aprime,r1,10500,post_dynamics,all_seed_lineage,7028,7028,0.03357972204685211,12317,12317,0,False,phases/p2-gsjso/runs/20260726_fusion_w1_aprime/training/by_building/DEBY_LOD2_42364609/arm_Aprime/r1/audit/seed_lineage.csv
DEBY_LOD2_42364609,Aprime,r1,11000,post_dynamics,all_seed_lineage,7173,7173,0.03155764192342758,12404,12404,0,False,phases/p2-gsjso/runs/20260726_fusion_w1_aprime/training/by_building/DEBY_LOD2_42364609/arm_Aprime/r1/audit/seed_lineage.csv
DEBY_LOD2_42364609,Aprime,r1,11500,post_dynamics,all_seed_lineage,7275,7275,0.030467107892036438,12524,12524,0,False,phases/p2-gsjso/runs/20260726_fusion_w1_aprime/training/by_building/DEBY_LOD2_42364609/arm_Aprime/r1/audit/seed_lineage.csv
DEBY_LOD2_42364609,Aprime,r1,12000,post_dynamics,all_seed_lineage,7351,7351,0.009999998845160007,12629,12629,0,False,phases/p2-gsjso/runs/20260726_fusion_w1_aprime/training/by_building/DEBY_LOD2_42364609/arm_Aprime/r1/audit/seed_lineage.csv
DEBY_LOD2_42364609,Aprime,r1,12500,post_dynamics,all_seed_lineage,6860,6860,0.04086322337388992,13402,13402,0,False,phases/p2-gsjso/runs/20260726_fusion_w1_aprime/training/by_building/DEBY_LOD2_42364609/arm_Aprime/r1/audit/seed_lineage.csv
DEBY_LOD2_42364609,Aprime,r1,13000,post_dynamics,all_seed_lineage,7007,7007,0.0369965136051178,13491,13491,0,False,phases/p2-gsjso/runs/20260726_fusion_w1_aprime/training/by_building/DEBY_LOD2_42364609/arm_Aprime/r1/audit/seed_lineage.csv
DEBY_LOD2_42364609,Aprime,r1,13500,post_dynamics,all_seed_lineage,7143,7143,0.03388151526451111,13592,13592,0,False,phases/p2-gsjso/runs/20260726_fusion_w1_aprime/training/by_building/DEBY_LOD2_42364609/arm_Aprime/r1/audit/seed_lineage.csv
DEBY_LOD2_42364609,Aprime,r1,14000,post_dynamics,all_seed_lineage,7239,7239,0.03227384760975838,13707,13707,0,False,phases/p2-gsjso/runs/20260726_fusion_w1_aprime/training/by_building/DEBY_LOD2_42364609/arm_Aprime/r1/audit/seed_lineage.csv
DEBY_LOD2_42364609,Aprime,r1,14500,post_dynamics,all_seed_lineage,7315,7315,0.02924557588994503,13815,13815,0,False,phases/p2-gsjso/runs/20260726_fusion_w1_aprime/training/by_building/DEBY_LOD2_42364609/arm_Aprime/r1/audit/seed_lineage.csv
DEBY_LOD2_42364609,Aprime,r1,15000,post_dynamics,all_seed_lineage,7376,7376,0.02741624414920807,13916,13916,0,False,phases/p2-gsjso/runs/20260726_fusion_w1_aprime/training/by_building/DEBY_LOD2_42364609/arm_Aprime/r1/audit/seed_lineage.csv
DEBY_LOD2_42364609,Aprime,r1,15500,post_dynamics,all_seed_lineage,7376,7376,0.032402947545051575,13916,13916,0,False,phases/p2-gsjso/runs/20260726_fusion_w1_aprime/training/by_building/DEBY_LOD2_42364609/arm_Aprime/r1/audit/seed_lineage.csv
DEBY_LOD2_42364609,Aprime,r1,16000,post_dynamics,all_seed_lineage,7376,7376,0.03229779750108719,13916,13916,0,False,phases/p2-gsjso/runs/20260726_fusion_w1_aprime/training/by_building/DEBY_LOD2_42364609/arm_Aprime/r1/audit/seed_lineage.csv
DEBY_LOD2_42364609,Aprime,r1,16500,post_dynamics,all_seed_lineage,7376,7376,0.03154763579368591,13916,13916,0,False,phases/p2-gsjso/runs/20260726_fusion_w1_aprime/training/by_building/DEBY_LOD2_42364609/arm_Aprime/r1/audit/seed_lineage.csv
DEBY_LOD2_42364609,Aprime,r1,17000,post_dynamics,all_seed_lineage,7376,7376,0.030175743624567986,13916,13916,0,False,phases/p2-gsjso/runs/20260726_fusion_w1_aprime/training/by_building/DEBY_LOD2_42364609/arm_Aprime/r1/audit/seed_lineage.csv
DEBY_LOD2_42364609,Aprime,r1,17500,post_dynamics,all_seed_lineage,7376,7376,0.03081880882382393,13916,13916,0,False,phases/p2-gsjso/runs/20260726_fusion_w1_aprime/training/by_building/DEBY_LOD2_42364609/arm_Aprime/r1/audit/seed_lineage.csv
DEBY_LOD2_42364609,Aprime,r1,18000,post_dynamics,all_seed_lineage,7376,7376,0.030139382928609848,13916,13916,0,False,phases/p2-gsjso/runs/20260726_fusion_w1_aprime/training/by_building/DEBY_LOD2_42364609/arm_Aprime/r1/audit/seed_lineage.csv
DEBY_LOD2_42364609,Aprime,r1,18500,post_dynamics,all_seed_lineage,7376,7376,0.028654079884290695,13916,13916,0,False,phases/p2-gsjso/runs/20260726_fusion_w1_aprime/training/by_building/DEBY_LOD2_42364609/arm_Aprime/r1/audit/seed_lineage.csv
