run,bid,job_status,config_path,status,F,precision,recall,roof_cov,wall_cov,ground_cov,support_cov,roof_support_cov,wall_support_cov,ground_support_cov,h_err,vol_ratio,chamfer,hausdorff,open_edges,non_manifold_edges,failure_reason
M5,B0,COMPLETED,configs/mutual_loss/fc_screening/fc_s5/M5_terrain_off.yaml,OK,0.9753304853041694,0.9736666666666667,0.977,0.7793333333333333,0.977,1.0,0.6386666666666666,0.986,0.703,0.259,0.553694234955163,1.6085201188708753,0.21706545434253707,0.8344427697419524,0,0,
M5,B1,COMPLETED,configs/mutual_loss/fc_screening/fc_s5/M5_terrain_off.yaml,OK,0.9610581808722797,0.966,0.9561666666666667,0.7753333333333333,0.9326666666666666,1.0,0.5196666666666666,0.96,0.53,0.093,0.00595901143006472,0.8616479391842063,0.2310345780303118,1.0855226266002755,0,0,
M5,B2,COMPLETED,configs/mutual_loss/fc_screening/fc_s5/M5_terrain_off.yaml,OK,0.9931585836549756,0.9903333333333333,0.996,1.0,0.9856666666666667,1.0,0.5263333333333333,1.0,0.429,0.196,0.47898976637285173,2.072092914128969,0.19777274002147444,0.864734236964432,0,0,
M5,B8,COMPLETED,configs/mutual_loss/fc_screening/fc_s5/M5_terrain_off.yaml,OK,0.8988260735248687,0.8816666666666667,0.9166666666666666,1.0,0.9783333333333334,0.0,0.5559999999999999,1.0,0.461,0.194,0.770552608371009,1.6155850248811314,0.21916219557670255,0.7856860502842464,0,0,
M5,B6,COMPLETED,configs/mutual_loss/fc_screening/fc_s5/M5_terrain_off.yaml,OK,0.9370219653179191,0.9446666666666667,0.9295,0.5963333333333334,0.9433333333333334,1.0,0.4216666666666667,0.764,0.402,0.106,2.4304621013461336,0.6203196433262044,0.25399785112206263,2.7641964406265926,0,0,
M5,B3,COMPLETED,configs/mutual_loss/fc_screening/fc_s5/M5_terrain_off.yaml,OK,0.44375455057234,0.432,0.45616666666666666,0.146,0.608,0.9166666666666666,0.2576666666666667,0.294,0.432,0.088,0.20970780864112726,0.9110301318991838,1.0909464467600487,12.034666201421311,0,0,
M5,B123,COMPLETED,configs/mutual_loss/fc_screening/fc_s5/M5_terrain_off.yaml,OK,0.5632495564754583,0.579,0.5483333333333333,0.148,0.6416666666666667,0.929,0.38866666666666666,0.321,0.691,0.173,0.24390220679508445,0.916568997471733,0.8808281490409712,5.552609733038342,0,0,
M5,B126,COMPLETED,configs/mutual_loss/fc_screening/fc_s5/M5_terrain_off.yaml,OK,0.5697445773757417,0.5996666666666667,0.5426666666666666,0.15466666666666667,0.612,0.994,0.2773333333333334,0.242,0.497,0.075,1.3864855261893432,0.639673713399055,1.0245693837422878,5.337286360273738,0,0,
M5,B50,COMPLETED,configs/mutual_loss/fc_screening/fc_s5/M5_terrain_off.yaml,OK,0.9337275026030045,0.9383333333333334,0.9291666666666667,0.53,0.9496666666666667,1.0,0.4696666666666667,0.923,0.377,0.111,0.1556874176376759,1.01485988163884,0.24470953304635013,1.6004358251402648,0,0,
M5,B104,COMPLETED,configs/mutual_loss/fc_screening/fc_s5/M5_terrain_off.yaml,OK,1.0,1.0,1.0,1.0,1.0,1.0,0.757,1.0,0.74,0.51,0.029693173808334805,1.007014016318292,0.09502493218044675,0.27408265024018447,0,0,
