run,job_status,B104_ground_cov,B104_ground_support_cov,B104_h_err,terrain_drift_status,note
M3,COMPLETED,1.0,0.486,0.1423154694011437,RECOVERED_TO_E1,Compared against FC-S3 E1/E2 B104 ground_cov baselines.
M5,COMPLETED,1.0,0.51,0.029693173808334805,RECOVERED_TO_E1,Compared against FC-S3 E1/E2 B104 ground_cov baselines.
M10,COMPLETED,1.0,0.488,0.177788306648476,RECOVERED_TO_E1,Compared against FC-S3 E1/E2 B104 ground_cov baselines.
