metric,n_paired_finite,als_median,dim_median,dim_minus_als,dim_over_als,definition
internal_boundary_chamfer_m,36,0.396221,0.414909,0.018688,1.047167,matched roof-surface shared boundaries sampled at 0.50 m
internal_boundary_hausdorff_m,36,1.439189,1.800416,0.361227,1.250993,matched roof-surface shared boundaries sampled at 0.50 m
