building_id,als_plane_f1,dim_plane_f1,delta_plane_f1_als_minus_dim,dim_internal_boundary_hausdorff_m,dim_internal_boundary_chamfer_m,dim_height_nmad_m,dim_point_count,dim_density_pts_m2,dim_hole_ratio,dim_density_cv,dim_plane_rmse_m,image_texture_sample_count,image_texture_gradient_median,image_texture_gradient_p10,image_gray_std_median,image_brightness_median,image_shadow_ratio_median,image_incidence_deg_median,texture_deficit_score
DEBY_LOD2_108246888,0.3333,0.3333,0.0000,n/a,n/a,0.1029,1293,92.6151,0.0000,0.96134,0.32057,8,0.04689,0.03496,0.0732,0.3863,0.0029,17.0065,0.43168
DEBY_LOD2_108580336,0.6341,0.3235,0.3106,6.4556,0.5219,0.0859,1638208,341.3311,0.0621,1.08768,2.31996,6,0.02181,0.02119,0.1538,0.3627,0.0358,10.2373,0.77681
DEBY_LOD2_42364657,1.0000,1.0000,0.0000,n/a,n/a,0.0659,3780,35.2280,0.2130,0.78080,0.24030,6,0.02865,0.02467,0.1290,0.7490,0.0015,16.8793,0.61549
DEBY_LOD2_42364665,0.6667,0.6667,0.0000,n/a,n/a,0.4291,41190,835.8869,0.0000,0.63078,1.67513,8,0.03060,0.02569,0.2518,0.4804,0.1594,10.7900,0.42393
DEBY_LOD2_42364667,0.6667,1.0000,-0.3333,n/a,n/a,0.0530,56367,1233.2786,0.0000,0.33614,0.38374,8,0.02457,0.02263,0.1895,0.2804,0.2335,11.7798,0.30207
DEBY_LOD2_4906966,0.6250,0.4444,0.1806,1.4261,0.3486,0.3725,1888930,1314.4808,0.0000,1.54154,1.59545,8,0.02616,0.02429,0.1585,0.6765,0.0136,8.8954,0.53602
DEBY_LOD2_4906968,0.5000,0.0370,0.4630,n/a,n/a,0.1166,761618,427.5395,0.0028,1.49774,1.06486,8,0.02734,0.02677,0.1610,0.2255,0.3916,12.8747,0.64712
DEBY_LOD2_4906969,0.8571,0.2857,0.5714,n/a,n/a,0.1493,49208,283.8241,0.0000,0.60548,1.22620,8,0.02675,0.02267,0.0996,0.2882,0.1558,9.6138,0.53308
DEBY_LOD2_4906970,0.5000,0.5714,-0.0714,1.5136,0.4878,0.5114,125341,811.3211,0.0000,1.41505,1.60084,8,0.02719,0.02366,0.1607,0.3941,0.1484,11.0249,0.53002
DEBY_LOD2_4906972,1.0000,1.0000,0.0000,0.5735,0.1899,0.1644,388215,1046.3565,0.0000,1.38948,0.99246,8,0.04298,0.02619,0.2228,0.4863,0.0786,7.0221,0.41180
DEBY_LOD2_4906973,1.0000,0.5000,0.5000,n/a,n/a,0.1214,11614,210.0295,0.0000,0.58377,4.05403,8,0.02773,0.02379,0.1522,0.4647,0.0416,3.0566,0.55843
