metric,n,als_median,dim_median,dim_minus_als,dim_over_als,interpretation
plane_f1,67,0.700000,0.571429,-0.128571,0.816327,higher_is_better
boundary_chamfer_m,67,0.132148,0.143199,0.011051,1.083626,lower_is_better
boundary_hausdorff_m,67,0.190758,0.189572,-0.001186,0.993783,lower_is_better
height_bias_m,63,0.013801,-0.038490,-0.052291,,signed_median_pred_minus_ref
height_nmad_m,63,0.056373,0.080454,0.024081,1.427173,lower_is_better
