population,n,als_success,dim_success,both_success,als_only,dim_only,both_fail
full_199,199,4/199 (2.0%),1/199 (0.5%),0/199 (0.0%),4/199 (2.0%),1/199 (0.5%),194/199 (97.5%)
both_attempted_179,179,4/179 (2.2%),1/179 (0.6%),0/179 (0.0%),4/179 (2.2%),1/179 (0.6%),174/179 (97.2%)
coverage_controlled,93,1/93 (1.1%),1/93 (1.1%),0/93 (0.0%),1/93 (1.1%),1/93 (1.1%),91/93 (97.8%)
