bid,bucket,GS_model(sp/de/ac),raw_model(sp/de/ac),LiDAR_model,v6_rms_rawACMP,v6_rms_GSde,v6_rms_GSac,facets_ref,facets_GSd4,facets_GSv6de,h_common,h_abs,slope,psd
104586480,2_assembly,1/1/1,0/0/0,0,,,,,,,,,,
42364609,2_assembly,1/0/0,0/0/0,1,4.414,,,1,1,0,0.17,3.08,8.39,0.447
4908046,2_assembly,0/1/0,0/0/0,1,,,,,,,,,,
42364659,2_assembly,1/1/1,0/0/1,0,4.748,2.283,1.792,2,6,3,2.698,4.582,28.5,3.863
42364663,,0/0/0,0/0/0,0,8.315,2.905,1.911,1,1,1,0.71,0.94,56.24,2.304
4907510,2_assembly,1/1/1,0/0/1,1,2.915,1.34,0.349,1,6,0,2.797,2.727,13.22,2.907
4906969,,0/0/0,0/0/0,0,2.447,4.074,0.771,3,16,7,1.483,1.538,60.0,2.002
4906972,,0/0/0,0/0/0,0,2.919,2.064,1.478,3,4,15,0.24,1.94,39.82,3.71
4908023,,0/0/0,0/0/0,0,2.61,0.292,0.463,1,3,1,0.733,2.453,50.55,1.33
4907182,2_assembly,0/0/0,0/0/0,1,9.291,,,2,1,0,0.55,2.47,49.18,2.687
