bid,bid_int,method,F,roof_cov,wall_cov,semantic_face_acc,edge_ok,open_edges,vol_ratio,status
B0,0,B0_Geometric_readout_E3_Baseline_primitive,0.8652486365094643,0.06333333333333334,0.9433333333333334,0.8906666666666667,True,0,1.0077553919558868,OK
B0,0,B0_Geometric_readout_E4_Mutual_primitive,0.7925405102326885,0.060333333333333336,0.944,0.8848333333333334,True,0,1.0247760937241734,OK
B1,1,B0_Geometric_readout_E3_Baseline_primitive,0.7569066754743294,0.0,0.9033333333333333,0.921,True,0,0.9804209564060218,OK
B1,1,B0_Geometric_readout_E4_Mutual_primitive,0.7537484429703336,0.0,0.901,0.917,True,0,0.9781334288619886,OK
B2,2,B0_Geometric_readout_E3_Baseline_primitive,0.794556895647614,0.014333333333333333,0.9616666666666667,0.9276666666666666,True,0,2.0091332500324017,OK
B2,2,B0_Geometric_readout_E4_Mutual_primitive,0.7894349447611004,0.0,0.958,0.92,True,0,2.020610410783273,OK
B8,8,B0_Geometric_readout_E3_Baseline_primitive,0.802738157029655,0.179,0.9573333333333334,0.928,True,0,1.5816360190767855,OK
B8,8,B0_Geometric_readout_E4_Mutual_primitive,0.8004874731070858,0.179,0.9553333333333334,0.9256666666666666,True,0,1.5817841849045309,OK
B6,6,B0_Geometric_readout_E3_Baseline_primitive,0.7914935269971582,0.08233333333333333,0.906,0.8746666666666667,True,0,0.6612205255419897,OK
B6,6,B0_Geometric_readout_E4_Mutual_primitive,0.7924134777123634,0.08033333333333334,0.9073333333333333,0.8766666666666667,True,0,0.6629088507941483,OK
B3,3,B0_Geometric_readout_E3_Baseline_primitive,0.2569714131607335,0.0,0.38466666666666666,0.6386666666666667,True,0,0.7130070513096787,OK
B3,3,B0_Geometric_readout_E4_Mutual_primitive,0.2510891909814324,0.0,0.3863333333333333,0.638,True,0,0.7169749180358048,OK
B123,123,B0_Geometric_readout_E3_Baseline_primitive,0.3489614772365489,0.0,0.54,0.764,True,0,1.2081767268371735,OK
B123,123,B0_Geometric_readout_E4_Mutual_primitive,0.3478797604790419,0.0,0.5393333333333333,0.763,True,0,1.2067203983119066,OK
B126,126,B0_Geometric_readout_E3_Baseline_primitive,0.3675754076086956,0.018333333333333333,0.536,0.6991666666666667,True,0,1.0567217458733802,OK
B126,126,B0_Geometric_readout_E4_Mutual_primitive,0.3646897810218978,0.015333333333333332,0.53,0.6943333333333334,True,0,1.048578008768413,OK
B50,50,B0_Geometric_readout_E4_Mutual_primitive,0.8010575836366788,0.14033333333333334,0.9343333333333333,0.8878333333333334,True,0,0.9891942905689088,OK
B104,104,B0_Geometric_readout_E3_Baseline_primitive,0.8664907060818378,1.0,1.0,0.8775,True,0,1.1041833898112714,OK
