building_id,evaluation_scope,priority_group,priority_rank,footprint_area_m2,small_lt50_candidate,texture_low_gradient_fraction,texture_grad_p10,texture_valid,texture_view,texture_source,texture_projection_reference_height_used,sfm_point_count,dense_point_count,point_count_source,dense_assembled,dense_outcome_source,mast3r_correspondence_count,mast3r_reciprocal_raw_count,mast3r_border_count,mast3r_status,mast3r_view_a,mast3r_view_b,mast3r_crop_a_xyxy,mast3r_crop_b_xyxy,mast3r_model_revision,mast3r_model_sha256,mast3r_result_source,outline_inframe_frac_max,outline_inframe_frac_median,outline_valid_pixel_count_max,outline_valid_pixel_count_median,representative_view_count,representative_views_json,projection_reference_height_m,projection_reference_height_used,projection_reference_source,projection_status,crs,learning_runs_started,new_inference_type
DEBY_LOD2_107802038,evaluation_178,surface_failure_48,2,388.477000,false,0.751000,0.003900,valid,DJI_20241217095143_0078_D.JPG,docs/lowtex_v5.csv,true,0,0,docs/pointcloud_attributes_v1_3.csv,0,docs/regression_input_snapshot.csv,0,327,261,complete,DJI_20241217095127_0070_D.JPG,DJI_20241217101327_0016_D.JPG,488;33;840;297,4184;1054;4632;1390,06e7259f34c3060f322df5cb0c7b9094f57e41fc,0a615eb05fa9db654050aa655945ee5696e7c6c1b7f93f1ee8c37249010f6feb,phases/p2-gsjso/runs/20260716_boundary_map/mast3r_correspondence.csv,1.000000,1.000000,178,178.000000,3,"[{""name"":""DJI_20241217095127_0070_D.JPG"",""outline_inframe_frac"":1.0,""outline_valid_pixel_count"":178,""zenith_deg"":86.333274},{""name"":""DJI_20241217101327_0016_D.JPG"",""outline_inframe_frac"":1.0,""outline_valid_pixel_count"":178,""zenith_deg"":86.781134},{""name"":""DJI_20241217101530_0002_D.JPG"",""outline_inframe_frac"":1.0,""outline_valid_pixel_count"":178,""zenith_deg"":84.378791}]",529.461000,true,LoD2 CityGML; measurement/classification projection only,prepared,EPSG:25832,0,MASt3R correspondence only
DEBY_LOD2_107807336,evaluation_178,surface_failure_48,3,100.627000,false,0.547000,0.005500,valid,DJI_20241217102931_0011_D.JPG,docs/lowtex_v5.csv,true,0,0,docs/pointcloud_attributes_v1_3.csv,0,docs/regression_input_snapshot.csv,0,258,199,complete,DJI_20241217101530_0002_D.JPG,DJI_20241217102527_0016_D.JPG,4264;439;4648;727,4768;1055;5120;1319,06e7259f34c3060f322df5cb0c7b9094f57e41fc,0a615eb05fa9db654050aa655945ee5696e7c6c1b7f93f1ee8c37249010f6feb,phases/p2-gsjso/runs/20260716_boundary_map/mast3r_correspondence.csv,1.000000,1.000000,136,136.000000,3,"[{""name"":""DJI_20241217101530_0002_D.JPG"",""outline_inframe_frac"":1.0,""outline_valid_pixel_count"":136,""zenith_deg"":83.380417},{""name"":""DJI_20241217102527_0016_D.JPG"",""outline_inframe_frac"":1.0,""outline_valid_pixel_count"":136,""zenith_deg"":84.887116},{""name"":""DJI_20241217102931_0011_D.JPG"",""outline_inframe_frac"":1.0,""outline_valid_pixel_count"":136,""zenith_deg"":82.782787}]",520.143000,true,LoD2 CityGML; measurement/classification projection only,prepared,EPSG:25832,0,MASt3R correspondence only
DEBY_LOD2_108247351,evaluation_178,surface_failure_48,5,65.279000,false,0.549000,0.005900,valid,DJI_20241217084723_0145_D.JPG,docs/lowtex_v5.csv,true,0,11,docs/pointcloud_attributes_v1_3.csv,0,docs/regression_input_snapshot.csv,0,28,19,complete,DJI_20241217084917_0202_D.JPG,DJI_20241217084835_0181_D.JPG,4050;3008;5138;3824,1077;507;4373;2979,06e7259f34c3060f322df5cb0c7b9094f57e41fc,0a615eb05fa9db654050aa655945ee5696e7c6c1b7f93f1ee8c37249010f6feb,phases/p2-gsjso/runs/20260716_boundary_map/mast3r_correspondence.csv,1.000000,1.000000,68,68.000000,3,"[{""name"":""DJI_20241217084917_0202_D.JPG"",""outline_inframe_frac"":1.0,""outline_valid_pixel_count"":68,""zenith_deg"":57.833883},{""name"":""DJI_20241217084835_0181_D.JPG"",""outline_inframe_frac"":1.0,""outline_valid_pixel_count"":68,""zenith_deg"":61.827796},{""name"":""DJI_20241217084915_0201_D.JPG"",""outline_inframe_frac"":1.0,""outline_valid_pixel_count"":68,""zenith_deg"":57.426351}]",518.952000,true,LoD2 CityGML; measurement/classification projection only,prepared,EPSG:25832,0,MASt3R correspondence only
DEBY_LOD2_42364607,evaluation_178,surface_failure_48,6,90.441000,false,0.374000,0.004400,valid,DJI_20241217090905_0035_D.JPG,docs/lowtex_v5.csv,true,1,0,docs/pointcloud_attributes_v1_3.csv,0,docs/regression_input_snapshot.csv,0,99,73,complete,DJI_20241217084855_0191_D.JPG,DJI_20241217090827_0016_D.JPG,1143;807;4471;3303,2092;32;4748;2024,06e7259f34c3060f322df5cb0c7b9094f57e41fc,0a615eb05fa9db654050aa655945ee5696e7c6c1b7f93f1ee8c37249010f6feb,phases/p2-gsjso/runs/20260716_boundary_map/mast3r_correspondence.csv,1.000000,1.000000,87,87.000000,3,"[{""name"":""DJI_20241217084855_0191_D.JPG"",""outline_inframe_frac"":1.0,""outline_valid_pixel_count"":87,""zenith_deg"":60.500034},{""name"":""DJI_20241217090827_0016_D.JPG"",""outline_inframe_frac"":1.0,""outline_valid_pixel_count"":87,""zenith_deg"":60.614182},{""name"":""DJI_20241217084743_0155_D.JPG"",""outline_inframe_frac"":1.0,""outline_valid_pixel_count"":87,""zenith_deg"":58.377598}]",518.920000,true,LoD2 CityGML; measurement/classification projection only,prepared,EPSG:25832,0,MASt3R correspondence only
DEBY_LOD2_4906999,evaluation_178,surface_failure_48,7,221.160000,false,0.464000,0.004400,valid,DJI_20241217101357_0031_D.JPG,docs/lowtex_v5.csv,true,0,0,docs/pointcloud_attributes_v1_3.csv,0,docs/regression_input_snapshot.csv,0,219,142,complete,DJI_20241217090935_0050_D.JPG,DJI_20241217095013_0033_D.JPG,199;143;5159;3863,985;84;1273;300,06e7259f34c3060f322df5cb0c7b9094f57e41fc,0a615eb05fa9db654050aa655945ee5696e7c6c1b7f93f1ee8c37249010f6feb,phases/p2-gsjso/runs/20260716_boundary_map/mast3r_correspondence.csv,1.000000,1.000000,127,127.000000,3,"[{""name"":""DJI_20241217090935_0050_D.JPG"",""outline_inframe_frac"":1.0,""outline_valid_pixel_count"":127,""zenith_deg"":61.324217},{""name"":""DJI_20241217095013_0033_D.JPG"",""outline_inframe_frac"":1.0,""outline_valid_pixel_count"":127,""zenith_deg"":87.007968},{""name"":""DJI_20241217103613_0076_D.JPG"",""outline_inframe_frac"":1.0,""outline_valid_pixel_count"":127,""zenith_deg"":83.850494}]",530.350000,true,LoD2 CityGML; measurement/classification projection only,prepared,EPSG:25832,0,MASt3R correspondence only
DEBY_LOD2_4907012,evaluation_178,surface_failure_48,8,51.113000,false,0.658000,0.002000,valid,DJI_20241217102935_0013_D.JPG,docs/lowtex_v5.csv,true,0,0,docs/pointcloud_attributes_v1_3.csv,0,docs/regression_input_snapshot.csv,11,710,689,complete,DJI_20241217101530_0002_D.JPG,DJI_20241217095149_0081_D.JPG,5024;447;5280;639,1342;1133;1598;1325,06e7259f34c3060f322df5cb0c7b9094f57e41fc,0a615eb05fa9db654050aa655945ee5696e7c6c1b7f93f1ee8c37249010f6feb,phases/p2-gsjso/runs/20260716_boundary_map/mast3r_correspondence.csv,1.000000,1.000000,67,67.000000,3,"[{""name"":""DJI_20241217101530_0002_D.JPG"",""outline_inframe_frac"":1.0,""outline_valid_pixel_count"":67,""zenith_deg"":85.088324},{""name"":""DJI_20241217095149_0081_D.JPG"",""outline_inframe_frac"":1.0,""outline_valid_pixel_count"":67,""zenith_deg"":87.221231},{""name"":""DJI_20241217103547_0063_D.JPG"",""outline_inframe_frac"":1.0,""outline_valid_pixel_count"":67,""zenith_deg"":85.650411}]",533.880000,true,LoD2 CityGML; measurement/classification projection only,prepared,EPSG:25832,0,MASt3R correspondence only
DEBY_LOD2_4907013,evaluation_178,surface_failure_48,9,116.320000,false,0.392000,0.002000,valid,DJI_20241217103545_0062_D.JPG,docs/lowtex_v5.csv,true,0,0,docs/pointcloud_attributes_v1_3.csv,0,docs/regression_input_snapshot.csv,21,726,677,complete,DJI_20241217095139_0076_D.JPG,DJI_20241217101307_0006_D.JPG,1122;0;1378;192,4689;75;4945;267,06e7259f34c3060f322df5cb0c7b9094f57e41fc,0a615eb05fa9db654050aa655945ee5696e7c6c1b7f93f1ee8c37249010f6feb,phases/p2-gsjso/runs/20260716_boundary_map/mast3r_correspondence.csv,1.000000,1.000000,88,88.000000,3,"[{""name"":""DJI_20241217095139_0076_D.JPG"",""outline_inframe_frac"":1.0,""outline_valid_pixel_count"":88,""zenith_deg"":87.264911},{""name"":""DJI_20241217101307_0006_D.JPG"",""outline_inframe_frac"":1.0,""outline_valid_pixel_count"":88,""zenith_deg"":87.499385},{""name"":""DJI_20241217103545_0062_D.JPG"",""outline_inframe_frac"":1.0,""outline_valid_pixel_count"":88,""zenith_deg"":85.797429}]",533.967000,true,LoD2 CityGML; measurement/classification projection only,prepared,EPSG:25832,0,MASt3R correspondence only
DEBY_LOD2_4907014,evaluation_178,surface_failure_48,10,149.949000,false,0.389000,0.005900,valid,DJI_20241217103459_0039_D.JPG,docs/lowtex_v5.csv,true,1,0,docs/pointcloud_attributes_v1_3.csv,0,docs/regression_input_snapshot.csv,0,278,243,complete,DJI_20241217095145_0079_D.JPG,DJI_20241217101307_0006_D.JPG,1433;1156;1689;1348,4759;116;5031;320,06e7259f34c3060f322df5cb0c7b9094f57e41fc,0a615eb05fa9db654050aa655945ee5696e7c6c1b7f93f1ee8c37249010f6feb,phases/p2-gsjso/runs/20260716_boundary_map/mast3r_correspondence.csv,1.000000,1.000000,99,99.000000,3,"[{""name"":""DJI_20241217095145_0079_D.JPG"",""outline_inframe_frac"":1.0,""outline_valid_pixel_count"":99,""zenith_deg"":86.897745},{""name"":""DJI_20241217101307_0006_D.JPG"",""outline_inframe_frac"":1.0,""outline_valid_pixel_count"":99,""zenith_deg"":87.038122},{""name"":""DJI_20241217103549_0064_D.JPG"",""outline_inframe_frac"":1.0,""outline_valid_pixel_count"":99,""zenith_deg"":85.166958}]",531.640000,true,LoD2 CityGML; measurement/classification projection only,prepared,EPSG:25832,0,MASt3R correspondence only
DEBY_LOD2_4907015,evaluation_178,surface_failure_48,11,168.434000,false,0.291000,0.009800,valid,DJI_20241217103553_0066_D.JPG,docs/lowtex_v5.csv,true,0,0,docs/pointcloud_attributes_v1_3.csv,0,docs/regression_input_snapshot.csv,0,581,506,complete,DJI_20241217101311_0008_D.JPG,DJI_20241217094945_0019_D.JPG,4722;1167;5010;1383,336;73;592;265,06e7259f34c3060f322df5cb0c7b9094f57e41fc,0a615eb05fa9db654050aa655945ee5696e7c6c1b7f93f1ee8c37249010f6feb,phases/p2-gsjso/runs/20260716_boundary_map/mast3r_correspondence.csv,1.000000,1.000000,106,106.000000,3,"[{""name"":""DJI_20241217101311_0008_D.JPG"",""outline_inframe_frac"":1.0,""outline_valid_pixel_count"":106,""zenith_deg"":86.903883},{""name"":""DJI_20241217094945_0019_D.JPG"",""outline_inframe_frac"":1.0,""outline_valid_pixel_count"":106,""zenith_deg"":87.185712},{""name"":""DJI_20241217102939_0015_D.JPG"",""outline_inframe_frac"":1.0,""outline_valid_pixel_count"":106,""zenith_deg"":84.773714}]",531.680000,true,LoD2 CityGML; measurement/classification projection only,prepared,EPSG:25832,0,MASt3R correspondence only
DEBY_LOD2_4907016,evaluation_178,surface_failure_48,12,282.211000,false,0.585000,0.004400,valid,DJI_20241217095143_0078_D.JPG,docs/lowtex_v5.csv,true,1,0,docs/pointcloud_attributes_v1_3.csv,0,docs/regression_input_snapshot.csv,0,3,0,complete,DJI_20241217090825_0015_D.JPG,DJI_20241217095009_0031_D.JPG,326;293;5126;3893,810;1067;1146;1319,06e7259f34c3060f322df5cb0c7b9094f57e41fc,0a615eb05fa9db654050aa655945ee5696e7c6c1b7f93f1ee8c37249010f6feb,phases/p2-gsjso/runs/20260716_boundary_map/mast3r_correspondence.csv,1.000000,1.000000,142,142.000000,3,"[{""name"":""DJI_20241217090825_0015_D.JPG"",""outline_inframe_frac"":1.0,""outline_valid_pixel_count"":142,""zenith_deg"":59.200251},{""name"":""DJI_20241217095009_0031_D.JPG"",""outline_inframe_frac"":1.0,""outline_valid_pixel_count"":142,""zenith_deg"":86.956024},{""name"":""DJI_20241217101311_0008_D.JPG"",""outline_inframe_frac"":1.0,""outline_valid_pixel_count"":142,""zenith_deg"":86.599105}]",530.861000,true,LoD2 CityGML; measurement/classification projection only,prepared,EPSG:25832,0,MASt3R correspondence only
