building_id,role,surface_count,symmetric_median_m,all_support_p90_m,bidirectional_matched_support,absolute_signed_bias_m,absolute_criteria_pass
DEBY_LOD2_108580335,fit,2,0.350000000,0.350000000,0.399234951,0.047084075,false
DEBY_LOD2_42364665,fit,2,0.350000000,0.350000000,0.409479409,0.092692775,false
DEBY_LOD2_4906969,fit,2,0.350000000,0.350000000,0.380349195,0.086551962,false
DEBY_LOD2_4906982,fit,2,0.350000000,0.350000000,0.336788618,0.042167459,false
DEBY_LOD2_4906984,fit,2,0.152717382,0.350000000,0.538957550,0.078955395,false
DEBY_LOD2_4906989,fit,2,0.265853522,0.350000000,0.464807437,0.093463907,false
DEBY_LOD2_4907505,fit,2,0.350000000,0.350000000,0.193242442,0.067236348,false
DEBY_LOD2_4907507,fit,2,0.149135472,0.350000000,0.612428843,0.042213225,false
DEBY_LOD2_4907515,fit,2,0.121055428,0.350000000,0.720722835,0.037334939,false
DEBY_LOD2_4907518,fit,2,0.111175816,0.350000000,0.769502762,0.058150437,false
DEBY_LOD2_4907519,fit,2,0.350000000,0.350000000,0.142810776,0.104018167,false
DEBY_LOD2_4959320,fit,2,0.350000000,0.350000000,0.174736189,0.091409239,false
DEBY_LOD2_4959323,fit,2,0.350000000,0.350000000,0.398946942,0.060732160,false
DEBY_LOD2_4959325,fit,2,0.350000000,0.350000000,0.414393126,0.068089113,false
DEBY_LOD2_4959460,fit,2,0.350000000,0.350000000,0.164818356,0.047659547,false
DEBY_LOD2_4959461,fit,2,0.350000000,0.350000000,0.390997174,0.050037180,false
DEBY_LOD2_4959464,fit,2,0.138097774,0.350000000,0.651129265,0.011125964,false
DEBY_LOD2_8573848,fit,2,0.350000000,0.350000000,0.224335472,0.028986337,false
