building_id,cell_label,anchor_status,anchor_footprint_inside_point_count,anchor_inside_z_median_m,anchor_inside_z_mad_m,anchor_coverage_ratio,small_lt50,ref_roof_type,ref_roof_slope_group,record_note,learning_runs_started
DEBY_LOD2_107802038,cell_2_anchored,measured,4,-18.010503,0.127067,0.001795,false,slanted,sloped,inside count sensitivity interval 1-99,0
DEBY_LOD2_107807336,cell_2_anchored,measured,22,-28.812032,0.740816,0.018256,false,slanted,sloped,inside count sensitivity interval 1-99,0
DEBY_LOD2_4907034,cell_2_anchored,measured,41,-17.963860,0.529169,0.009742,false,slanted,sloped,inside count sensitivity interval 1-99,0
DEBY_LOD2_8568392,cell_2_anchored,measured,6,-40.570602,0.069191,0.108108,true,slanted,sloped,2026-07-15 n<20 material-insufficient precedent,0
