bid,source,stage3_algo_version,metric_version,status,n_faces,n_roof_faces,n_wall_faces,n_ground_faces,roof_cov,wall_cov,ground_cov,semantic_face_acc,face_planarity_mean,face_planarity_max,support_coverage,roof_support_cov,wall_support_cov,ground_support_cov,F,precision,recall,h_err,vol_ratio,hausdorff,chamfer,footprint_IoU,edge_ok,open_edges,nonmanifold_edges,roof_wall_adjacency_count,wall_ground_adjacency_count,shell_completeness,metric_artifact_dir,readout_artifact_dir,failure_reason,patch_branch,patch_status,patch_reason,ground_y_strategy
B0,E1_Baseline_rendered,Stage3Algo-v1c-ground,Metric-v1,OK,23,10,12,1,0.7083333333333334,0.967,0.9983333333333333,0.944,1.892227044181459e-15,9.821561306426032e-15,0.564,0.75,0.694,0.276,0.9217109464425568,0.9016666666666666,0.9426666666666667,0.5779858336181647,1.111404107140757,2.032316039035035,0.25156465779751247,1.0,True,0,0,12,12,CLOSED,results/footprint_conditioned_readout/FC_S2_baseline_rendered_recovery_stage3_v1c/phaseC_stage3_v1c_ablation/metric_v1/Stage3Algo-v1c-ground/E1_Baseline_rendered/B0,results/footprint_conditioned_readout/FC_S2_baseline_rendered_recovery_stage3_v1c/phaseC_stage3_v1c_ablation/readout/Stage3Algo-v1c-ground/E1_Baseline_rendered/B0,,Stage3Algo-v1c-ground,APPLIED,explicit ground y estimated by robust quantile; no Stage2 evidence mutation,weighted_median_of_explicit_ground_evidence
B1,E1_Baseline_rendered,Stage3Algo-v1c-ground,Metric-v1,OK,11,4,6,1,0.876,0.9383333333333334,1.0,0.974,2.520996552590052e-15,7.37887668394044e-15,0.5153333333333333,0.984,0.542,0.074,0.9737391527599487,0.977,0.9705,0.0797591897401162,0.8987647299937322,0.9604372668093405,0.22261285758257113,1.0,True,0,0,6,6,CLOSED,results/footprint_conditioned_readout/FC_S2_baseline_rendered_recovery_stage3_v1c/phaseC_stage3_v1c_ablation/metric_v1/Stage3Algo-v1c-ground/E1_Baseline_rendered/B1,results/footprint_conditioned_readout/FC_S2_baseline_rendered_recovery_stage3_v1c/phaseC_stage3_v1c_ablation/readout/Stage3Algo-v1c-ground/E1_Baseline_rendered/B1,,Stage3Algo-v1c-ground,APPLIED,explicit ground y estimated by robust quantile; no Stage2 evidence mutation,weighted_median_of_explicit_ground_evidence
B2,E1_Baseline_rendered,Stage3Algo-v1c-ground,Metric-v1,OK,11,4,6,1,1.0,0.9873333333333333,0.9743333333333334,0.968,1.1809546374985634e-15,6.8499678032787015e-15,0.505,1.0,0.4,0.115,0.9517418140430748,0.9425,0.9611666666666666,0.6775977694888446,2.0950664124360663,0.9228449910380112,0.21338192691103436,1.0,True,0,0,6,6,CLOSED,results/footprint_conditioned_readout/FC_S2_baseline_rendered_recovery_stage3_v1c/phaseC_stage3_v1c_ablation/metric_v1/Stage3Algo-v1c-ground/E1_Baseline_rendered/B2,results/footprint_conditioned_readout/FC_S2_baseline_rendered_recovery_stage3_v1c/phaseC_stage3_v1c_ablation/readout/Stage3Algo-v1c-ground/E1_Baseline_rendered/B2,,Stage3Algo-v1c-ground,APPLIED,explicit ground y estimated by robust quantile; no Stage2 evidence mutation,weighted_median_of_explicit_ground_evidence
B8,E1_Baseline_rendered,Stage3Algo-v1c-ground,Metric-v1,OK,15,6,8,1,0.9816666666666667,0.979,0.9243333333333333,0.9591666666666666,1.604460375593837e-15,4.384982005077581e-15,0.496,1.0,0.429,0.065,0.9393632842528532,0.9281666666666667,0.9508333333333333,0.47878843420743955,1.6159736826603286,0.8817767963303947,0.21497440024081757,1.0,True,0,0,8,8,CLOSED,results/footprint_conditioned_readout/FC_S2_baseline_rendered_recovery_stage3_v1c/phaseC_stage3_v1c_ablation/metric_v1/Stage3Algo-v1c-ground/E1_Baseline_rendered/B8,results/footprint_conditioned_readout/FC_S2_baseline_rendered_recovery_stage3_v1c/phaseC_stage3_v1c_ablation/readout/Stage3Algo-v1c-ground/E1_Baseline_rendered/B8,,Stage3Algo-v1c-ground,APPLIED,explicit ground y estimated by robust quantile; no Stage2 evidence mutation,weighted_median_of_explicit_ground_evidence
B6,E1_Baseline_rendered,Stage3Algo-v1c-ground,Metric-v1,OK,23,10,12,1,0.6693333333333333,0.9363333333333334,1.0,0.9351666666666667,1.5279354165273858e-15,6.016873487609362e-15,0.4656666666666667,0.903,0.397,0.081,0.9492420331840927,0.952,0.9465,3.29799131322455,0.6924620791751064,3.5667136390646914,0.22620863672485758,1.0,True,0,0,12,12,CLOSED,results/footprint_conditioned_readout/FC_S2_baseline_rendered_recovery_stage3_v1c/phaseC_stage3_v1c_ablation/metric_v1/Stage3Algo-v1c-ground/E1_Baseline_rendered/B6,results/footprint_conditioned_readout/FC_S2_baseline_rendered_recovery_stage3_v1c/phaseC_stage3_v1c_ablation/readout/Stage3Algo-v1c-ground/E1_Baseline_rendered/B6,,Stage3Algo-v1c-ground,APPLIED,explicit ground y estimated by robust quantile; no Stage2 evidence mutation,weighted_median_of_explicit_ground_evidence
B3,E1_Baseline_rendered,Stage3Algo-v1c-ground,Metric-v1,OK,83,40,42,1,0.14966666666666667,0.624,0.8986666666666666,0.7865,1.3128277998302007e-15,8.369689884328633e-15,0.251,0.304,0.42,0.079,0.4452465557010162,0.43333333333333335,0.4578333333333333,1.9689669906957796,0.9962498405321565,11.121050384368926,1.046706369150053,1.0,True,0,0,42,42,CLOSED,results/footprint_conditioned_readout/FC_S2_baseline_rendered_recovery_stage3_v1c/phaseC_stage3_v1c_ablation/metric_v1/Stage3Algo-v1c-ground/E1_Baseline_rendered/B3,results/footprint_conditioned_readout/FC_S2_baseline_rendered_recovery_stage3_v1c/phaseC_stage3_v1c_ablation/readout/Stage3Algo-v1c-ground/E1_Baseline_rendered/B3,,Stage3Algo-v1c-ground,APPLIED,explicit ground y estimated by robust quantile; no Stage2 evidence mutation,weighted_median_of_explicit_ground_evidence
B123,E1_Baseline_rendered,Stage3Algo-v1c-ground,Metric-v1,OK,55,26,28,1,0.167,0.6413333333333333,0.8173333333333334,0.8363333333333334,1.6404234233981484e-15,8.098176861125858e-15,0.3413333333333333,0.309,0.626,0.113,0.5342800998128509,0.5396666666666666,0.529,0.11155123865137284,1.0269453466371659,5.305519254153722,0.8760983161021221,1.0,True,0,0,28,28,CLOSED,results/footprint_conditioned_readout/FC_S2_baseline_rendered_recovery_stage3_v1c/phaseC_stage3_v1c_ablation/metric_v1/Stage3Algo-v1c-ground/E1_Baseline_rendered/B123,results/footprint_conditioned_readout/FC_S2_baseline_rendered_recovery_stage3_v1c/phaseC_stage3_v1c_ablation/readout/Stage3Algo-v1c-ground/E1_Baseline_rendered/B123,,Stage3Algo-v1c-ground,APPLIED,explicit ground y estimated by robust quantile; no Stage2 evidence mutation,weighted_median_of_explicit_ground_evidence
B126,E1_Baseline_rendered,Stage3Algo-v1c-ground,Metric-v1,OK,49,23,25,1,0.14133333333333334,0.62,0.4633333333333333,0.7415,2.6873465155076012e-15,1.1901962209948715e-14,0.23233333333333336,0.222,0.459,0.043,0.4473082650781831,0.4603333333333333,0.435,0.9689807969244555,0.2948336607882725,5.4164174580267215,1.0683515015178313,1.0,True,0,0,25,25,CLOSED,results/footprint_conditioned_readout/FC_S2_baseline_rendered_recovery_stage3_v1c/phaseC_stage3_v1c_ablation/metric_v1/Stage3Algo-v1c-ground/E1_Baseline_rendered/B126,results/footprint_conditioned_readout/FC_S2_baseline_rendered_recovery_stage3_v1c/phaseC_stage3_v1c_ablation/readout/Stage3Algo-v1c-ground/E1_Baseline_rendered/B126,,Stage3Algo-v1c-ground,APPLIED,explicit ground y estimated by robust quantile; no Stage2 evidence mutation,weighted_median_of_explicit_ground_evidence
B50,E1_Baseline_rendered,Stage3Algo-v1c-ground,Metric-v1,OK,19,8,10,1,0.5476666666666666,0.9486666666666667,1.0,0.9421666666666667,1.1482797277384867e-15,4.37550078775494e-15,0.4386666666666667,0.917,0.33,0.048,0.9326522516082917,0.9363333333333334,0.929,0.022753919510552834,1.016324975828603,1.5157838155860595,0.24097383029107322,1.0,True,0,0,10,10,CLOSED,results/footprint_conditioned_readout/FC_S2_baseline_rendered_recovery_stage3_v1c/phaseC_stage3_v1c_ablation/metric_v1/Stage3Algo-v1c-ground/E1_Baseline_rendered/B50,results/footprint_conditioned_readout/FC_S2_baseline_rendered_recovery_stage3_v1c/phaseC_stage3_v1c_ablation/readout/Stage3Algo-v1c-ground/E1_Baseline_rendered/B50,,Stage3Algo-v1c-ground,APPLIED,explicit ground y estimated by robust quantile; no Stage2 evidence mutation,weighted_median_of_explicit_ground_evidence
B104,E1_Baseline_rendered,Stage3Algo-v1c-ground,Metric-v1,OK,7,2,4,1,1.0,1.0,1.0,0.948,2.1757158780290998e-15,6.791255390804561e-15,0.7706666666666667,1.0,0.741,0.538,1.0,1.0,1.0,0.020413688194251822,0.924384449256817,0.46300447768003145,0.0978333242827394,1.0,True,0,0,4,4,CLOSED,results/footprint_conditioned_readout/FC_S2_baseline_rendered_recovery_stage3_v1c/phaseC_stage3_v1c_ablation/metric_v1/Stage3Algo-v1c-ground/E1_Baseline_rendered/B104,results/footprint_conditioned_readout/FC_S2_baseline_rendered_recovery_stage3_v1c/phaseC_stage3_v1c_ablation/readout/Stage3Algo-v1c-ground/E1_Baseline_rendered/B104,,Stage3Algo-v1c-ground,APPLIED,explicit ground y estimated by robust quantile; no Stage2 evidence mutation,weighted_median_of_explicit_ground_evidence
