schema_version,condition_id,seed,checkpoint_step,checkpoint_sha256,iter,term,raw,weighted,share,roof_share
jointbuildgs.pilot_1wave.scoring.v1,01,1001,20000,484208e4835a29764c52e3f7e3a44874f6a3dbd323501ecb0a913ad0184281c6,400,plane,0.0,0.0,0.0,0.0
jointbuildgs.pilot_1wave.scoring.v1,01,1001,20000,484208e4835a29764c52e3f7e3a44874f6a3dbd323501ecb0a913ad0184281c6,500,pho,0.2546840012073517,0.2546840012073517,0.9212096271801661,0.909839574546157
jointbuildgs.pilot_1wave.scoring.v1,01,1001,20000,484208e4835a29764c52e3f7e3a44874f6a3dbd323501ecb0a913ad0184281c6,500,dep,10.222681999206543,0.0,0.0,0.0
jointbuildgs.pilot_1wave.scoring.v1,01,1001,20000,484208e4835a29764c52e3f7e3a44874f6a3dbd323501ecb0a913ad0184281c6,500,nrm,0.8090025186538696,0.0,0.0,0.0
jointbuildgs.pilot_1wave.scoring.v1,01,1001,20000,484208e4835a29764c52e3f7e3a44874f6a3dbd323501ecb0a913ad0184281c6,500,nc,0.43565866351127625,0.021782932803034782,0.07879037281983396,0.09016042545384292
jointbuildgs.pilot_1wave.scoring.v1,01,1001,20000,484208e4835a29764c52e3f7e3a44874f6a3dbd323501ecb0a913ad0184281c6,500,str.na,0.0,0.0,0.0,0.0
jointbuildgs.pilot_1wave.scoring.v1,01,1001,20000,484208e4835a29764c52e3f7e3a44874f6a3dbd323501ecb0a913ad0184281c6,500,str.cp,0.0,0.0,0.0,0.0
jointbuildgs.pilot_1wave.scoring.v1,01,1001,20000,484208e4835a29764c52e3f7e3a44874f6a3dbd323501ecb0a913ad0184281c6,500,plane,0.0,0.0,0.0,0.0
jointbuildgs.pilot_1wave.scoring.v1,01,1001,20000,484208e4835a29764c52e3f7e3a44874f6a3dbd323501ecb0a913ad0184281c6,600,pho,0.2503634989261627,0.2503634989261627,0.9189388779818273,0.9090715351742317
jointbuildgs.pilot_1wave.scoring.v1,01,1001,20000,484208e4835a29764c52e3f7e3a44874f6a3dbd323501ecb0a913ad0184281c6,600,dep,11.289345741271973,0.0,0.0,0.0
jointbuildgs.pilot_1wave.scoring.v1,01,1001,20000,484208e4835a29764c52e3f7e3a44874f6a3dbd323501ecb0a913ad0184281c6,600,nrm,0.38360482454299927,0.0,0.0,0.0
jointbuildgs.pilot_1wave.scoring.v1,01,1001,20000,484208e4835a29764c52e3f7e3a44874f6a3dbd323501ecb0a913ad0184281c6,600,nc,0.4416995644569397,0.022084979340434074,0.0810611220181727,0.09092846482576837
jointbuildgs.pilot_1wave.scoring.v1,01,1001,20000,484208e4835a29764c52e3f7e3a44874f6a3dbd323501ecb0a913ad0184281c6,600,str.na,0.0,0.0,0.0,0.0
jointbuildgs.pilot_1wave.scoring.v1,01,1001,20000,484208e4835a29764c52e3f7e3a44874f6a3dbd323501ecb0a913ad0184281c6,600,str.cp,0.0,0.0,0.0,0.0
jointbuildgs.pilot_1wave.scoring.v1,01,1001,20000,484208e4835a29764c52e3f7e3a44874f6a3dbd323501ecb0a913ad0184281c6,600,plane,0.0,0.0,0.0,0.0
jointbuildgs.pilot_1wave.scoring.v1,01,1001,20000,484208e4835a29764c52e3f7e3a44874f6a3dbd323501ecb0a913ad0184281c6,700,pho,0.273220956325531,0.273220956325531,0.9294334370223435,0.8943475853951901
jointbuildgs.pilot_1wave.scoring.v1,01,1001,20000,484208e4835a29764c52e3f7e3a44874f6a3dbd323501ecb0a913ad0184281c6,700,dep,89.05931854248047,0.0,0.0,0.0
jointbuildgs.pilot_1wave.scoring.v1,01,1001,20000,484208e4835a29764c52e3f7e3a44874f6a3dbd323501ecb0a913ad0184281c6,700,nrm,0.3751950263977051,0.0,0.0,0.0
jointbuildgs.pilot_1wave.scoring.v1,01,1001,20000,484208e4835a29764c52e3f7e3a44874f6a3dbd323501ecb0a913ad0184281c6,700,nc,0.4148820638656616,0.02074410393834114,0.07056656297765657,0.10565241460480988
jointbuildgs.pilot_1wave.scoring.v1,01,1001,20000,484208e4835a29764c52e3f7e3a44874f6a3dbd323501ecb0a913ad0184281c6,700,str.na,0.0,0.0,0.0,0.0
jointbuildgs.pilot_1wave.scoring.v1,01,1001,20000,484208e4835a29764c52e3f7e3a44874f6a3dbd323501ecb0a913ad0184281c6,700,str.cp,0.0,0.0,0.0,0.0
